5TH MOVE: 5199, f8f7
4TH MOVE: 5199, h7f7
3RD MOVE: 5199, e4e5
5TH MOVE: 5079, f8f7
4TH MOVE: 5079, h7f7
3RD MOVE: 5079, e4f3
5TH MOVE: -2737, f6h7
5TH MOVE: -10657, f6g4
5TH MOVE: -9186, d4e3
5TH MOVE: -11774, f8e8
5TH MOVE: -11774, f8e7
5TH MOVE: -11774, a8e8
5TH MOVE: -11774, a8d8
5TH MOVE: -11774, a8c8
5TH MOVE: -11774, a8b8
5TH MOVE: -11777, f6g8
5TH MOVE: -11777, f6e8
5TH MOVE: -11777, f6d7
5TH MOVE: -11775, f6h5
5TH MOVE: -11622, f6d5
5TH MOVE: -11602, f6e4
5TH MOVE: -11746, c7c6
5TH MOVE: -11747, b7b6
5TH MOVE: -11748, a7a6
5TH MOVE: -11748, h6h5
5TH MOVE: -11889, d4d3
5TH MOVE: -11719, c7c5
5TH MOVE: -11719, b7b5
5TH MOVE: -11722, a7a5
4TH MOVE: -2737, d5e3
3RD MOVE: -2737, e4e3
5TH MOVE: 5079, f8f7
4TH MOVE: 5079, h7f7
3RD MOVE: 5079, e4d3
5TH MOVE: -2909, f6h7
5TH MOVE: -8919, f6d5
5TH MOVE: -10829, f6g4
5TH MOVE: -11946, f8e8
5TH MOVE: -11946, a8e8
5TH MOVE: -11946, a8d8
5TH MOVE: -11946, a8c8
5TH MOVE: -11946, a8b8
5TH MOVE: -11949, f6g8
5TH MOVE: -11949, f6e8
5TH MOVE: -11949, f6d7
5TH MOVE: -11947, f6h5
5TH MOVE: -11774, f6e4
5TH MOVE: -11918, c7c6
5TH MOVE: -11919, b7b6
5TH MOVE: -11920, a7a6
5TH MOVE: -11920, h6h5
5TH MOVE: -12061, d4d3
5TH MOVE: -11891, c7c5
5TH MOVE: -11891, b7b5
5TH MOVE: -11894, a7a5
4TH MOVE: -2909, g1g2
3RD MOVE: -2909, e4g2
5TH MOVE: 5084, f8f7
4TH MOVE: 5084, h7f7
3RD MOVE: 5084, e4e2
5TH MOVE: 5084, f8f7
4TH MOVE: 5084, h7f7
3RD MOVE: 5084, e4c2
5TH MOVE: -2909, f6h7
5TH MOVE: -8919, f6d5
5TH MOVE: -10829, f6g4
5TH MOVE: -11946, f8e8
5TH MOVE: -11946, a8e8
5TH MOVE: -11946, a8d8
5TH MOVE: -11946, a8c8
5TH MOVE: -11946, a8b8
5TH MOVE: -11949, f6g8
5TH MOVE: -11949, f6e8
5TH MOVE: -11949, f6d7
5TH MOVE: -11947, f6h5
5TH MOVE: -11774, f6e4
5TH MOVE: -11918, c7c6
5TH MOVE: -11919, b7b6
5TH MOVE: -11920, a7a6
5TH MOVE: -11920, h6h5
5TH MOVE: -12061, d4d3
5TH MOVE: -11891, c7c5
5TH MOVE: -11891, b7b5
5TH MOVE: -11894, a7a5
4TH MOVE: -2909, g1h1
3RD MOVE: -2909, e4h1
5TH MOVE: 5044, f8f7
4TH MOVE: 5044, h7f7
3RD MOVE: 5044, e4e1
5TH MOVE: 5044, f8f7
4TH MOVE: 5044, h7f7
3RD MOVE: 5044, e4b1
5TH MOVE: 5247, f8f7
4TH MOVE: 5247, h7f7
3RD MOVE: 5247, c7c6
5TH MOVE: 5246, f8f7
4TH MOVE: 5246, h7f7
3RD MOVE: 5246, b7b6
5TH MOVE: 5245, f8f7
4TH MOVE: 5245, h7f7
3RD MOVE: 5245, a7a6
5TH MOVE: 5245, f8f7
4TH MOVE: 5245, h7f7
3RD MOVE: 5245, h6h5
5TH MOVE: 5104, f8f7
4TH MOVE: 5104, h7f7
3RD MOVE: 5104, d4d3
5TH MOVE: 5274, f8f7
4TH MOVE: 5274, h7f7
3RD MOVE: 5274, c7c5
5TH MOVE: 5274, f8f7
4TH MOVE: 5274, h7f7
3RD MOVE: 5274, b7b5
5TH MOVE: 5271, f8f7
4TH MOVE: 5271, h7f7
3RD MOVE: 5271, a7a5
2ND MOVE: 6306, f5h7
5TH MOVE: 10371, f8f7
4TH MOVE: 10371, f6f7
5TH MOVE: 10346, h7h6
4TH MOVE: 10346, f6h6
5TH MOVE: 10141, d5d4
4TH MOVE: 10141, f6d4
5TH MOVE: 6106, d5d4
5TH MOVE: 1866, d5a2
5TH MOVE: 931, f8g8
5TH MOVE: 931, f8e8
5TH MOVE: 931, a8e8
5TH MOVE: 931, a8d8
5TH MOVE: 931, a8c8
5TH MOVE: 931, a8b8
5TH MOVE: 931, h7h8
5TH MOVE: 931, h7g7
5TH MOVE: 776, d5d8
5TH MOVE: 776, d5d7
5TH MOVE: 779, d5e6
5TH MOVE: 779, d5d6
5TH MOVE: 779, d5c6
5TH MOVE: 778, d5h5
5TH MOVE: 781, d5g5
5TH MOVE: 781, d5f5
5TH MOVE: 931, d5e5
5TH MOVE: 781, d5c5
5TH MOVE: 781, d5b5
5TH MOVE: 778, d5a5
5TH MOVE: 951, d5e4
5TH MOVE: 801, d5c4
5TH MOVE: 811, d5f3
5TH MOVE: 801, d5b3
5TH MOVE: 816, d5g2
5TH MOVE: 776, d5h1
5TH MOVE: 959, c7c6
5TH MOVE: 958, b7b6
5TH MOVE: 957, a7a6
5TH MOVE: 957, h6h5
5TH MOVE: 986, c7c5
5TH MOVE: 986, b7b5
5TH MOVE: 983, a7a5
4TH MOVE: 6106, d1d4
5TH MOVE: 11421, h7h8
4TH MOVE: 11421, f6h8
5TH MOVE: 11421, a8d8
4TH MOVE: 11421, f6d8
5TH MOVE: 11421, f8g7
4TH MOVE: 11421, f6g7
5TH MOVE: 11421, f8e7
4TH MOVE: 11421, f6e7
5TH MOVE: 3331, d5a2
5TH MOVE: 11448, f7g6
4TH MOVE: 11448, f6g6
5TH MOVE: 11269, d5e6
4TH MOVE: 11269, f6e6
5TH MOVE: 11269, d5d6
4TH MOVE: 11269, f6d6
5TH MOVE: 11269, d5c6
4TH MOVE: 11269, f6c6
5TH MOVE: 3331, d5a2
5TH MOVE: 11448, c7b6
4TH MOVE: 11448, f6b6
5TH MOVE: 3341, d5a2
5TH MOVE: 11447, b7a6
4TH MOVE: 11447, f6a6
5TH MOVE: 11271, d5g5
4TH MOVE: 11271, f6g5
5TH MOVE: 11271, d5f5
4TH MOVE: 11271, f6f5
5TH MOVE: 11421, d5e5
4TH MOVE: 11421, f6e5
5TH MOVE: 3354, d5a2
5TH MOVE: 2419, f8g8
5TH MOVE: 2419, f8e8
5TH MOVE: 2419, f8g7
5TH MOVE: 2419, a8e8
5TH MOVE: 2419, a8d8
5TH MOVE: 2419, a8c8
5TH MOVE: 2419, a8b8
5TH MOVE: 2419, h7h8
5TH MOVE: 2419, h7g7
5TH MOVE: 2264, d5d8
5TH MOVE: 2264, d5d7
5TH MOVE: 2267, d5e6
5TH MOVE: 2267, d5d6
5TH MOVE: 2267, d5c6
5TH MOVE: 2266, d5h5
5TH MOVE: 2269, d5g5
5TH MOVE: 2269, d5f5
5TH MOVE: 2419, d5e5
5TH MOVE: 2269, d5c5
5TH MOVE: 2269, d5b5
5TH MOVE: 2266, d5a5
5TH MOVE: 2439, d5e4
5TH MOVE: 2289, d5c4
5TH MOVE: 2299, d5f3
5TH MOVE: 2289, d5b3
5TH MOVE: 2304, d5g2
5TH MOVE: 2264, d5h1
5TH MOVE: 2447, f7f6
5TH MOVE: 2447, c7c6
5TH MOVE: 2446, b7b6
5TH MOVE: 2445, a7a6
5TH MOVE: 2445, h6h5
5TH MOVE: 2304, d4d3
5TH MOVE: 2474, f7f5
5TH MOVE: 2474, c7c5
5TH MOVE: 2474, b7b5
5TH MOVE: 2471, a7a5
4TH MOVE: 3354, f6h4
5TH MOVE: 3321, d5a2
5TH MOVE: 2386, f8g8
5TH MOVE: 2386, f8e8
5TH MOVE: 2386, a8e8
5TH MOVE: 2386, a8d8
5TH MOVE: 2386, a8c8
5TH MOVE: 2386, a8b8
5TH MOVE: 2386, h7h8
5TH MOVE: 2386, h7g7
5TH MOVE: 2231, d5d8
5TH MOVE: 2231, d5d7
5TH MOVE: 2234, d5e6
5TH MOVE: 2234, d5d6
5TH MOVE: 2234, d5c6
5TH MOVE: 2233, d5h5
5TH MOVE: 2236, d5g5
5TH MOVE: 2236, d5f5
5TH MOVE: 2386, d5e5
5TH MOVE: 2236, d5c5
5TH MOVE: 2236, d5b5
5TH MOVE: 2233, d5a5
5TH MOVE: 2406, d5e4
5TH MOVE: 2256, d5c4
5TH MOVE: 2266, d5f3
5TH MOVE: 2256, d5b3
5TH MOVE: 2271, d5g2
5TH MOVE: 2231, d5h1
5TH MOVE: 2414, c7c6
5TH MOVE: 2413, b7b6
5TH MOVE: 2412, a7a6
5TH MOVE: 2412, h6h5
5TH MOVE: 2271, d4d3
5TH MOVE: 2441, c7c5
5TH MOVE: 2441, b7b5
5TH MOVE: 2438, a7a5
4TH MOVE: 3321, g1h2
5TH MOVE: 3321, d5a2
4TH MOVE: 3321, g1f2
5TH MOVE: 7266, d5f3
4TH MOVE: 7266, f1f3
5TH MOVE: 3321, d5a2
4TH MOVE: 3321, f1f2
5TH MOVE: 3321, d5a2
4TH MOVE: 3321, f1e1
5TH MOVE: 3318, d5a2
5TH MOVE: 2383, f8g8
5TH MOVE: 2383, f8e8
5TH MOVE: 2383, a8e8
5TH MOVE: 2383, a8d8
5TH MOVE: 2383, a8c8
5TH MOVE: 2383, a8b8
5TH MOVE: 2383, h7h8
5TH MOVE: 2383, h7g7
5TH MOVE: 2228, d5d8
5TH MOVE: 2228, d5d7
5TH MOVE: 2231, d5e6
5TH MOVE: 2231, d5d6
5TH MOVE: 2231, d5c6
5TH MOVE: 2230, d5h5
5TH MOVE: 2233, d5g5
5TH MOVE: 2233, d5f5
5TH MOVE: 2383, d5e5
5TH MOVE: 2233, d5c5
5TH MOVE: 2233, d5b5
5TH MOVE: 2230, d5a5
5TH MOVE: 2403, d5e4
5TH MOVE: 2253, d5c4
5TH MOVE: 2263, d5f3
5TH MOVE: 2253, d5b3
5TH MOVE: 2268, d5g2
5TH MOVE: 2228, d5h1
5TH MOVE: 2411, c7c6
5TH MOVE: 2410, b7b6
5TH MOVE: 2409, a7a6
5TH MOVE: 2409, h6h5
