fen,target_ks,target_total,our_total_base,our_ks_base,tier,phase_bucket,split
2b5/1p2bk2/2r5/3R1P1p/5BP1/p1P2P1P/PP6/2K1R3 b - - 1 28,1.23,5.59,8.911,0.0,target,endgame,train
2nr1b2/5pr1/Qnk5/3pP1p1/P1pP2B1/2P3p1/3B1P2/6K1 w - - 0 33,2.94,1.74,1.998,2.94,diverse,midgame,train
4r3/2b1k3/Rn1rpnpB/pP6/1pB5/5NP1/PP3PK1/4R3 w - - 1 37,0.0,2.57,3.182,0.0,diverse,midgame,train
r2k1b1r/pp2p1p1/3qb2p/2pnNp2/Q2P4/2P3P1/P3PPBP/R1B2RK1 b - - 0 15,2.52,3.68,2.569,2.52,diverse,opening,train
r1bqkb1r/ppp4p/3p2p1/1N2n3/2P2Q1N/8/PP3p2/R1BK1B1R b kq - 3 13,-1.08,-2.28,0.679,-0.18,target,opening,val
8/8/2K5/8/8/2kp4/8/8 w - - 0 58,0.0,-48.47,-5.331,0.0,calm,adveg,train
8/8/3k2p1/PP1p4/3Kn3/4P1P1/7P/8 w - - 2 48,0.0,2.91,2.314,0.0,diverse,adveg,val
8/8/8/8/2nn4/3k4/K7/8 b - - 25 79,0.0,0.0,-13.927,0.0,calm,adveg,train
2b5/1p2bk2/2r5/5P1p/5BP1/p1P2P1P/PP6/2KRR3 w - - 0 28,1.17,5.33,9.823,0.0,target,endgame,train
3k1b1r/1B2p1p1/p2qb2p/2r1Np2/Q4P2/2P5/P3PP1P/3R1RK1 b - - 1 20,2.88,7.07,4.633,2.88,diverse,opening,train
4rk1r/pp1qp1b1/2n2nQp/3p2p1/2PP4/BP4P1/P2NRPBP/R5K1 b - - 0 19,3.06,4.35,5.111,3.06,diverse,opening,train
8/8/2kp2p1/5p2/5P1p/8/PPP2P2/4R1K1 w - - 0 31,0.0,7.56,10.238,0.0,calm,adveg,val
8/8/8/8/8/5kp1/6r1/R6K b - - 15 81,-3.31,0.0,-4.685,0.0,target,adveg,train
8/3k1p2/7R/1p1n3P/1P6/PK6/8/3r4 w - - 0 67,-1.99,-3.45,-4.609,0.0,target,endgame,val
5rk1/5ppp/3p1q2/2pp4/Pr6/4QPP1/5P1P/R4K1R w - - 1 23,-2.02,-1.99,-2.741,0.0,target,midgame,train
r3kbr1/1p1nnp2/p6p/3pPpp1/2pP1B1P/2P5/P1Q2PP1/3B1NK1 w q - 0 19,0.0,2.56,-1.637,0.0,diverse,midgame,train
4rk1r/pp1qp1b1/2n2npp/3p2p1/2PP4/BP4P1/P2NRPBP/RQ4K1 w - - 7 19,1.8,3.65,3.687,1.8,working,opening,val
7Q/P5p1/8/2b4p/2p5/n3k2P/8/5K2 b - - 0 48,1.31,5.63,1.775,0.0,target,endgame,train
2r1kb1r/1pqn1ppp/p3b3/6P1/Q2pP2P/P1N2P2/1PP1B3/2KR3R w k - 0 20,-1.62,-3.03,-4.066,-1.62,working,opening,train
n7/P3k3/5pp1/7p/7P/6P1/3R1P2/7K w - - 0 50,2.38,7.05,6.663,0.0,target,adveg,val
8/6k1/1pr4p/pNp2p2/2b2P2/P1N1P2P/8/4K2R w - - 0 31,0.0,2.4,1.052,0.0,calm,endgame,train
2r1r1k1/1p1bqpp1/8/p1pn2p1/Pb1P4/1Q1BP2P/1P1N1P2/2R1K1R1 w - - 0 22,-2.96,-4.78,-2.359,0.0,target,opening,train
1rb1k2r/1p1nqpbp/p2p1np1/2pP4/5Q2/P1N1P1PP/1P2NPB1/R1B2RK1 b k - 6 14,0.0,-0.81,1.129,0.0,calm,opening,train
4r3/5k2/1p4Rp/p4P1P/P1pN4/2Nbp3/8/4K3 w - - 4 47,0.0,2.43,0.325,0.0,diverse,endgame,train
1k1r4/4q1p1/1p1rp3/4Q3/2PP1R1p/7P/3N1P1K/7B w - - 1 51,2.41,4.96,2.332,0.0,target,midgame,train
2b2b1r/1p2kppp/8/r1PBB3/p7/2P3P1/PP2PP1P/R3K2R b KQ - 0 16,1.14,3.65,7.078,1.14,working,endgame,val
rn2k3/3pbpr1/pq4p1/2pBP1Np/5Q1P/1P3PP1/1BN3K1/R7 b q - 0 22,1.62,5.77,3.812,1.62,diverse,opening,val
1bbqk2r/r4pp1/p1p4p/1p2PPn1/1P1p1N2/PB6/2P1Q1PP/R1B2RK1 b k - 2 21,1.44,0.84,2.586,1.44,working,opening,train
rnb1qrk1/4bpp1/p1p1p2p/1p1nN3/3P4/P4NPB/1PQBPP1P/2RR1K2 w - - 0 17,0.0,2.04,2.522,0.0,diverse,opening,train
8/8/k3P3/3p2P1/7p/4PKP1/8/8 w - - 0 58,0.0,8.64,8.376,0.0,diverse,adveg,train
8/8/4pPk1/6B1/6p1/P6p/7K/8 b - - 0 49,1.91,1.73,0.196,0.0,target,adveg,train
