fen,target_ks,target_total,our_total_base,our_ks_base,tier,phase_bucket,split
bnq2k1r/2n3p1/2P1pp1p/1P1p4/3N4/1NQ2P2/4BKPP/7R w - - 1 28,1.32,6.02,-1.181,0.0,target,midgame,val
r1kr4/1pp2pp1/p1bbq3/2PN4/1P2B1Pp/P7/1B3P1P/R2QR1K1 b - - 0 23,1.82,5.36,5.336,0.0,target,opening,train
rnbqk2r/pp3ppp/2pb1n2/3Pp1N1/8/1B1P4/PPP2PPP/RNBQK2R b KQkq - 0 7,-1.67,-0.95,0.511,0.0,target,opening,val
r4rk1/1bb1qppp/p3p3/n3P3/PpBPnR2/1P1QP2P/N1P3P1/R1B4K b - - 2 19,-1.38,-4.7,-3.313,0.0,target,opening,train
rn1qnrk1/pbppb1pp/1p2p3/4Pp2/2PP4/3BBN2/PPQ2PPP/RN2K2R b KQ - 3 9,0.0,-0.18,0.48,0.0,calm,opening,train
8/7p/6p1/3kp3/PK4pP/8/8/8 b - - 0 60,0.0,-5.15,-6.54,0.0,diverse,adveg,val
3R3R/1p2bkp1/p1p2p1p/3p4/q2P2P1/2B2N1P/1P3P2/1b4K1 w - - 2 32,1.02,-2.38,2.274,1.02,diverse,endgame,val
r3kb1r/1pp2pp1/4p3/p2pP2P/5P1q/2N1P3/PPP4P/R2Q1RK1 b kq - 0 14,-1.26,-2.83,-0.872,-1.26,working,midgame,train
3r3k/p4pp1/5n1p/PPp5/2Pq1Pb1/R2Br1P1/5Q1P/5RK1 w - - 0 27,-1.46,-5.51,-4.292,0.0,target,midgame,train
r4r1k/pp2q2n/2nbp3/3p1p1Q/3P4/2NBP1P1/PP3P1P/2R1K2R w K - 0 19,1.98,-1.44,1.176,1.98,diverse,opening,train
2k4r/ppq1ppb1/3rb2p/2p5/1nN2B1P/1N1P2P1/PP2QPB1/R4RK1 w - - 6 19,1.85,6.77,6.852,0.0,target,opening,train
r2qnrk1/pbp1bppp/1pnpp3/4P3/2PP4/3B1N2/PP3PPP/RNBQR1K1 w - - 0 10,0.0,0.73,1.078,0.0,diverse,opening,train
8/7k/4R2p/6pK/8/6P1/6P1/8 b - - 7 54,1.09,6.41,10.947,0.0,target,adveg,train
8/4R1p1/4p1k1/pp2P2p/5P2/5K2/1r6/8 w - - 0 47,0.0,-4.74,-5.915,0.0,diverse,adveg,train
6k1/p4pp1/2B5/7p/P4n1P/6n1/7K/8 b - - 0 41,-1.66,-6.06,-10.255,0.0,target,adveg,train
6k1/4b2p/pp6/3pP1p1/3Pn1r1/PP4P1/8/2R3K1 w - - 0 33,0.0,-7.37,-12.252,0.0,calm,endgame,train
r3kn2/4n1Q1/2p3p1/p3N3/2pP1p2/2P4P/PP3PP1/6K1 b q - 1 25,5.95,7.31,9.785,0.0,target,endgame,train
7k/6p1/p1B1b1np/2R2pq1/P3p3/B3P3/5PPP/2R3K1 w - - 12 41,0.0,1.98,-0.095,0.0,diverse,endgame,train
r4r1k/p4pp1/2p2n1p/P3q3/1PP5/3BP1Pb/5P1P/1R1QK2R w K - 0 19,-1.71,-4.22,-2.506,0.0,target,midgame,train
6k1/1pR2pp1/4qn1p/1N1p4/1b1P4/1P1BBn2/r4P1P/5Q1K w - - 2 24,-1.62,-2.95,-2.656,-1.62,working,midgame,val
2r2k2/1b2Rppr/q4n2/1N6/P1p1P2p/3P1N1P/PB3QP1/5RK1 b - - 0 34,1.24,5.46,1.511,0.0,target,opening,train
1k5r/1p4R1/2p5/2Pp4/5P2/2PKP3/PP6/8 w - - 1 46,0.0,5.03,6.101,0.0,calm,adveg,train
5k2/r1pp2p1/ppB1p2r/4P1pp/2PP4/P5P1/4PP1P/R4RK1 b - - 0 21,0.0,1.52,2.994,0.0,diverse,endgame,train
2kr4/ppq5/4p2Q/2npP3/2pB2Pp/8/PP2B3/5RK1 w - - 1 28,-1.27,3.36,1.879,0.0,target,midgame,train
6r1/R2n2rk/3p1p1p/2pPp3/4P2P/2PP1BPb/1R1B1K2/8 w - - 1 41,0.0,2.85,0.388,0.0,diverse,endgame,train
r3k2r/pp2qpp1/3pbn1p/2p1p3/2PNP3/3PB1PP/PP3PB1/R2Q1RK1 b kq - 0 13,0.0,0.46,2.85,0.0,diverse,opening,train
3rr1k1/p1qn1pp1/1p3n2/P1p2b1p/2P5/3pPNPP/1R1N1PB1/QR4K1 w - - 1 22,0.0,-0.76,-2.085,0.0,calm,opening,train
rn2k1nr/pp3pb1/2p1p1p1/3p2qp/P2P1N2/4P3/1PPN1PBP/R1BQ1RK1 b kq - 3 14,0.0,3.95,3.9,0.0,calm,opening,val
8/2p2pK1/2p5/p4p1P/3k4/8/PP3P2/8 w - - 0 35,0.0,2.58,1.366,0.0,diverse,adveg,train
2r2krR/1R6/8/2P4p/4p3/6P1/5PK1/8 w - - 4 52,1.5,2.87,1.229,0.0,target,endgame,train
6k1/6pp/p7/R3Rp2/4BP2/4P1K1/1p1r2P1/3q4 w - - 0 36,-4.52,-7.25,-4.914,0.0,target,endgame,train
3r4/RR1n2rk/3p1p2/2pPp2p/4P1PP/2PP1B1b/3B1K2/8 w - - 0 43,0.0,3.67,1.412,0.0,diverse,endgame,train
r3k2r/4np1p/5b2/1p1p2Nn/1Q6/7P/PP3PP1/R4RK1 b kq - 0 24,2.52,4.17,6.035,2.52,working,midgame,train
4k2r/1p1q1p2/4bp2/p2p3p/1b5N/2r3PP/PQ2PPB1/R2R2K1 b k - 5 20,0.0,-0.15,-2.048,0.0,calm,opening,train
r1b1kn1r/1p3p2/pn4p1/3pP2p/1P1N4/3B4/P2N1PPP/R1B2RK1 w kq - 1 16,0.0,4.94,5.945,0.0,diverse,midgame,train
r2qr1k1/1p2bppp/p3b3/3pp3/2P1n3/1P2QNPP/PB3P2/RN2K2R w KQ - 2 19,-2.52,-5.05,-6.132,-2.52,working,opening,train
1n5r/qpk2p2/1Np2b1p/P6K/1p1rn1p1/1Q2NbP1/1B3p1P/R1R2B2 b - - 3 31,-0.72,-2.97,-10.362,-0.72,diverse,opening,train
2r3k1/1R5R/2P5/6r1/4p3/6P1/5PK1/8 w - - 1 56,1.78,4.25,4.694,0.0,target,endgame,val
r1bk1b1r/1p3ppp/2n5/p1pNP3/4nB2/2P2NP1/PP2PP1P/R3KB1R b KQ - 0 12,0.0,3.0,3.423,0.0,diverse,midgame,val
8/5pp1/4k2p/pp2P2P/3K1P2/8/8/8 b - - 5 50,0.0,-4.16,-5.542,0.0,calm,adveg,train
8/8/6p1/1p3p2/2k2N1P/p5P1/4KP2/8 w - - 2 47,0.0,-1.04,2.75,0.0,diverse,adveg,train
2k5/8/8/BPP1p1Pn/4P2P/3K4/8/8 b - - 2 55,1.31,8.76,13.987,0.0,target,adveg,train
8/2k5/6pp/2N5/P1nPP3/2B2PK1/1P6/8 b - - 0 46,0.0,7.09,14.768,0.0,calm,adveg,train
8/5k2/5p2/3n1K2/8/8/8/8 w - - 4 58,-2.62,-3.77,-10.209,0.0,target,adveg,val
1R6/4p3/p5pp/4k3/7P/1P2n3/r7/6K1 b - - 5 40,-3.32,-8.16,-10.684,0.0,target,endgame,train
3r4/6kp/6p1/4qp2/Pp2b3/2p1P3/4R1PP/Q6K b - - 1 31,-1.1,-9.39,-8.385,0.0,target,midgame,train
3r2k1/5p2/3P1b2/3P4/2P5/p4PPK/4pqB1/2R1R3 b - - 0 47,-1.65,-7.07,-7.056,-1.65,diverse,endgame,val
2k2br1/1pp3pp/6q1/pPnQ4/3B3P/P3P3/5P2/3RK3 b - - 4 29,1.26,-4.14,-1.8,1.26,diverse,midgame,train
5k1r/3b2b1/p3qp1p/4p2Q/1N1pP1pP/3P2B1/PPR2PP1/6K1 w - - 0 24,1.36,2.28,1.789,0.0,target,midgame,val
1r1qk2r/p1pn1p1p/2Q2np1/2Ppp3/7N/3BP3/PP1B1PPP/1R3RK1 b k - 1 14,0.0,3.97,6.231,0.0,diverse,opening,val
3rr1k1/1p1qnppp/p2p1n2/P1pP1b2/2N5/N5P1/1P3PBP/3QRRK1 w - - 1 23,0.0,-0.72,-2.237,0.0,calm,opening,train
r1b2rk1/1pq1ppb1/1np4p/3p2p1/p2P2nP/P1PQBNP1/1P1NPPB1/R1R3K1 b - - 0 17,0.0,-0.77,1.978,0.0,calm,opening,train
8/8/1p6/4k3/2Pp4/5K2/1PP5/8 w - - 0 44,0.0,1.13,0.811,0.0,diverse,adveg,train
8/R3p3/p5pp/3nk3/7P/1P6/r7/6K1 w - - 2 39,-1.67,-6.68,-10.822,0.0,target,endgame,train
2k5/1R3pr1/4R3/p1Np4/2p4p/P7/1P3PPP/5K2 b - - 0 32,0.0,9.8,11.139,0.0,calm,endgame,train
3r4/6kp/pp4p1/2p1qp2/2P1b3/P3P3/4R1PP/2Q3K1 b - - 0 26,-1.17,-5.59,-7.266,-1.17,working,midgame,train
1r2k3/1bQn1pp1/pp2p2r/3P3p/3PP3/6P1/P2K1P1P/2R1R3 w - - 2 23,1.95,5.59,7.687,1.95,diverse,midgame,train
3q1rk1/1b2npp1/pN2p2p/2R1P3/Pp1p4/1Q1P4/1P2BPPP/6K1 w - - 1 24,0.0,1.14,0.983,0.0,calm,midgame,train
r2qr1k1/4bppp/1p6/p1Pp4/5N2/P1Q1PbP1/1P1B1P1P/R4KR1 w - - 0 20,0.0,-1.3,-0.467,0.0,diverse,opening,train
8/8/1p6/8/2Pp4/5k2/1PPK4/8 w - - 4 46,0.0,2.24,0.905,0.0,diverse,adveg,val
8/1p1r2pp/p3k3/1pB1P3/5P2/1P4PP/P3K3/8 b - - 0 33,0.0,-2.5,1.073,0.0,calm,adveg,train
8/3n1pk1/3R4/5pB1/1n1P4/5BP1/5PKP/1r6 b - - 6 37,1.16,4.43,7.269,0.0,target,endgame,train
1r2k2r/1bQn1pp1/pp2p3/3P3p/3PP3/6P1/P2K1P1P/2R1R3 b - - 1 22,1.95,5.89,6.731,1.95,diverse,midgame,train
1k1r4/2p2pp1/pp2qn2/n2p4/5Q1P/3PB1P1/PPP2PB1/1K1R4 b - - 4 26,0.0,2.63,1.044,0.0,diverse,midgame,train
1r2k3/4p1bN/2n3p1/1p3r2/1n1PQ3/BP5P/5PP1/5RK1 b - - 0 27,1.98,5.51,6.148,1.98,working,midgame,train
1qr1r1k1/5ppp/2P2b2/p1Q5/3p1N2/P3PbP1/1P1B1P1P/2R2KR1 w - - 2 25,-1.07,-0.94,-0.723,0.0,target,opening,train
5b1k/2R5/6p1/4P2p/5P2/6PP/q2QK3/8 b - - 15 51,-1.31,4.64,8.049,0.0,target,endgame,train
5rk1/p2b1p1p/3p2p1/3Pp3/1q2P1PP/1Pn2P2/2B4R/Q3K3 b - - 1 30,-1.3,-5.63,-4.943,0.0,target,midgame,train
2r1k3/q2n1p1r/2p1p1pp/8/2P5/2BQ2P1/PP2PP1P/R2R2K1 b - - 1 22,1.18,4.26,3.514,0.0,target,midgame,train
r2qr1k1/1p2bppp/8/p1Pp4/4bN2/P1Q1P1P1/1P3P1P/R1B1K1R1 w Q - 2 18,0.0,-2.29,-1.078,0.0,diverse,opening,train
1rb1k1nr/1pq2p2/pN1ppbp1/3P3p/2P4P/P3B1PB/5P2/1R1Q1K1R w k - 4 18,1.21,2.39,0.122,0.0,target,opening,val
r1b1kbnr/1p3p1p/p1N2q2/2Pp2p1/5B2/6P1/PPP1PP1P/RN1QKB1R b KQkq - 0 9,0.0,0.78,3.872,0.0,diverse,opening,train
8/6rp/1ppk4/p1p5/P1P1R3/1P1r4/5K2/8 w - - 4 45,0.0,-7.63,-12.512,0.0,calm,endgame,train
3r4/kp4Rp/p1p2pb1/8/3P4/2P2N2/PP3K2/4r3 w - - 0 30,-1.58,-0.97,-7.526,0.0,target,endgame,val
2r4k/p2n1p1p/1p2pp2/8/3PQ3/4P1P1/PP2KP2/R1B3q1 w - - 13 27,-1.47,-0.47,-3.509,-1.47,working,midgame,train
8/8/4k3/p5K1/P3p3/4P3/5P2/8 b - - 9 55,0.0,1.41,1.231,0.0,diverse,adveg,train
8/8/pN1n4/6p1/3k2p1/1P6/P4PPP/4K3 w - - 0 37,0.0,2.5,5.352,0.0,calm,adveg,val
8/1kp5/3p4/p1pP2P1/qrP1Q3/6K1/5P2/8 b - - 2 51,-4.66,-6.68,-6.422,0.0,target,endgame,train
5b1k/2R2Q2/6p1/4P3/5PP1/5K2/8/1q6 b - - 0 57,14.34,10.32,8.13,0.0,target,endgame,train
5b1r/1p1k2p1/3P2R1/3n3p/5B2/p3P3/P4PPP/4K2R w K - 3 29,1.81,4.65,7.631,0.0,target,endgame,train
r5k1/4b1pp/3p4/2qPp3/2N5/1P2P3/r1P3PP/1K1R3R b - - 1 25,-2.28,-11.31,-13.028,-2.28,calm,midgame,train
5k2/p2q3p/1n1p2p1/2r1bp2/2PN4/P2Q1N2/1P3PPP/4R1K1 w - - 1 28,0.0,2.8,1.544,0.0,diverse,midgame,val
1nq2k1r/1b4p1/2P1pp1p/1P1p4/1b1Nn3/1N6/1BQ1BPPP/5K1R b - - 2 23,0.0,3.25,-0.407,0.0,calm,opening,train
8/2p5/8/p1k5/P7/8/8/4K3 w - - 1 73,0.0,-1.5,-1.528,0.0,calm,adveg,train
6k1/2R4R/2pp1pP1/3b4/p2P2P1/P6P/1rP5/6K1 b - - 0 36,3.92,6.39,6.497,0.0,target,endgame,train
r7/1p2rkpQ/p3N3/2P5/5Pp1/4P3/qB4PP/5RK1 b - - 0 24,8.64,1.33,15.969,8.64,diverse,midgame,train
Nqb2rk1/pp3p1p/2n3p1/2Qp4/4p2P/2P3P1/PP2PPB1/R3K2R w KQ - 4 17,0.0,3.88,4.786,0.0,calm,midgame,train
r1b1k2r/pp2Npp1/2n3q1/4p3/2PpN2p/P2P1Q1B/1P3PPP/R4RK1 b kq - 0 18,1.62,0.42,3.999,1.62,working,opening,train
r1b2rk1/pp4pp/2p2n2/q3np2/1bP5/1P2PNPP/P1Q1NPB1/R4K1R b - - 4 19,0.0,-3.76,-4.086,0.0,calm,opening,val
5k2/5p2/1p6/p7/5K2/1P6/8/8 b - - 3 59,0.0,-2.38,-5.031,0.0,calm,adveg,train
8/5p2/pp1b1P2/5kPK/PP6/8/8/8 b - - 0 60,0.0,-4.49,-6.507,0.0,calm,adveg,train
8/8/p7/1n2N1p1/2K3p1/1P6/k4PPP/8 w - - 2 46,0.0,2.55,5.344,0.0,diverse,adveg,train
3R4/8/8/4p3/3bP3/3k1K2/r7/8 w - - 20 68,-1.03,-3.41,-8.22,0.0,target,endgame,val
2R1qk2/6R1/p4B1p/3n1p2/P7/4P2P/5PP1/6K1 w - - 5 52,9.82,6.93,6.484,0.0,target,endgame,train
3Q4/5ppk/7p/8/3P4/1q2n3/1r4P1/4N1NK w - - 6 43,-1.05,-4.77,-3.896,0.0,target,midgame,train
r4rk1/1ppbq1pp/5p2/p1b1p3/2P1P3/PP1P1N1P/1Q2B1P1/R3K2R b KQ - 2 22,0.0,-3.03,-1.472,0.0,diverse,opening,train
1r1q1rk1/1p1b1pb1/p1np2pp/2p4n/2P2p1P/P1NPP1P1/1PQN1PB1/R2K3R w - - 0 16,-1.66,-4.87,-3.27,0.0,target,opening,train
r3k3/1ppbq1r1/3p1n1b/p1n5/2PN3P/2N1P1Q1/PP3P2/R1B1KB1R w KQq - 3 16,0.0,-2.22,2.894,0.0,diverse,opening,val
5b2/5p2/pp1k1P2/3P2P1/P7/1P6/6K1/8 w - - 1 56,0.0,-2.91,-0.372,0.0,calm,adveg,train
4k3/1p5r/p7/P1PPp3/1R2p2P/4K3/7P/8 b - - 0 36,0.0,4.64,2.726,0.0,calm,adveg,val
8/1Q2nk2/3p4/p2p2P1/P4p2/1P6/4RPPK/1q6 b - - 6 39,8.08,0.0,4.808,0.0,target,endgame,train
1rq4r/6k1/8/p4p2/P1bRB2P/2P2PP1/8/4K2R w K - 0 29,0.0,-7.46,-8.587,0.0,calm,midgame,train
r1r3k1/4n2p/1p4p1/5p2/P2qp3/7P/2B1QPP1/1R3K1R w - - 0 26,0.0,-0.88,-1.951,0.0,diverse,midgame,train
8/p4p2/1p2pk2/P1p4R/5P1p/1PPK4/3P3r/8 b - - 1 33,0.0,-1.78,-4.26,0.0,diverse,adveg,train
1R6/2pk2pp/1b6/4p3/NPP5/P7/2r5/7K b - - 4 37,-3.18,-4.0,-3.519,0.0,target,endgame,train
3r2k1/pp3ppp/2pP4/8/P6P/5Pq1/1P4P1/n2Q1K1R w - - 2 34,-1.14,-3.78,-2.983,0.0,target,midgame,train
2rr2k1/ppp2p1p/8/2b5/P4N2/1n1P2PP/1P3PQq/1RBK4 b - - 2 24,-1.26,-6.08,3.419,-1.26,working,midgame,val
r3k2r/1p1q1pp1/p1n2n2/2bp1b1p/8/5NPP/PPN1PPB1/R1BQ1RK1 w kq - 0 13,0.0,-0.04,-2.084,0.0,diverse,opening,train
3k4/5p2/R5p1/8/1P6/3K1Pb1/P5P1/8 w - - 1 44,0.0,6.14,7.192,0.0,diverse,adveg,train
8/8/1p2p3/4Pkp1/4Nn1p/2B5/PP5K/8 w - - 1 37,0.0,1.72,0.348,0.0,diverse,adveg,val
1R6/2pk2pp/8/4p3/NPPb4/P7/2r5/7K w - - 5 38,-3.25,-4.07,-3.767,0.0,target,endgame,train
kq1r4/1R6/pQ2P3/3p4/2pB2P1/5K2/PP6/8 b - - 0 41,0.87,9.69,2.185,0.87,diverse,midgame,train
2k1r3/1p3p2/1Bn3p1/4P2p/P1P1BP2/1P4Pb/3R1K1P/8 w - - 1 40,0.0,5.15,6.379,0.0,diverse,endgame,train
2r2rk1/ppp1bp1p/8/8/P2n1N2/6PP/1P1P1P1q/R1B1KQ2 w Q - 0 21,-2.52,-4.69,-8.243,-2.52,diverse,midgame,train
3kn2r/pr1npQ2/1p3b2/2p1p2p/1BP1N3/6PB/PP5P/3R3K w - - 2 25,2.7,9.59,9.59,2.7,diverse,midgame,val
r4knr/3bq1p1/1RpNp1Q1/4Pp1p/3P4/p1NB4/P4PPP/5RK1 w - - 0 26,1.83,6.82,6.354,0.0,target,opening,train
r2qkb1r/2p1np1p/p1n3p1/1p1p2N1/8/1BP2Q2/PP3PPP/RNB2RK1 b kq - 2 14,2.34,5.89,7.186,2.34,working,opening,val
3r3k/4R3/8/R6p/8/3p4/3K4/8 b - - 0 51,1.27,4.59,5.016,0.0,target,endgame,val
2r2k2/4b3/PB3p2/3Kp3/7p/2P5/8/R6R b - - 4 39,0.0,6.91,9.535,0.0,diverse,endgame,train
2k1r3/1p3p2/1Bn3p1/3BPb1p/2P2P2/PP4P1/3R1K1P/8 b - - 6 37,0.0,5.13,6.568,0.0,calm,endgame,train
4r1k1/5qr1/2pR3p/2p2p2/2P1pPp1/PPQ1P3/1B5P/3R2K1 w - - 4 40,1.8,7.62,10.266,1.8,diverse,midgame,train
r2q1rk1/pp2bpp1/3p3p/2pPp3/8/PP1PnNP1/3QPP2/2R1K2B w - - 0 20,0.0,-3.97,-5.221,0.0,calm,midgame,val
1rb1k2r/1p2b1pp/p4q2/3Q1p2/2B1p3/P1N5/1PP2PPP/3R1RK1 w k - 4 17,2.67,2.96,1.933,0.0,target,opening,train
rnbqk2r/1p2bppp/5n2/p1pp4/3P4/3BPNP1/PP1N1P1P/R1BQK2R w KQkq - 0 9,1.4,-0.33,0.678,0.0,target,opening,train
8/8/5k2/5P2/6K1/8/8/8 b - - 0 71,0.0,0.0,4.418,0.0,calm,adveg,train
8/r7/8/8/2k5/8/7K/3R4 b - - 0 76,1.1,0.0,0.025,0.0,target,adveg,train
2r3k1/5ppp/5n2/ppPbN3/3P4/4RPP1/r7/2R3K1 w - - 0 36,0.0,-5.35,-5.799,0.0,diverse,endgame,train
1r3k1r/3Qnpp1/1p1Np3/p2nP1Bp/8/8/PP2BPPP/R5K1 w - - 2 22,1.26,9.97,13.027,1.26,calm,midgame,train
8/8/5R2/8/8/1k6/3K4/1r6 w - - 23 88,-1.04,0.0,-0.1,0.0,target,adveg,train
5k2/1R4p1/5p1p/r1p1p3/n1K5/3NP2P/5PP1/8 b - - 0 38,0.0,0.01,-2.019,0.0,crowded_safe,endgame,train
r5k1/1R6/3N1n2/p7/3N4/6K1/PP6/8 w - - 0 39,0.0,5.1,8.517,0.0,diverse,endgame,train
2r3k1/p1q2p2/6pp/3pp3/8/P1PnPP1P/3NK1P1/1R5R b - - 2 24,0.0,-7.65,-8.167,0.0,calm,endgame,val
2r3k1/pp3ppp/5n2/4Nb2/3P4/2P2RP1/P3rP2/2R3K1 b - - 7 31,0.0,-5.21,-5.708,0.0,diverse,endgame,val
2k5/1p2q2r/rn2p3/p1p1N1pp/P1P1P3/1P1Q4/R4PPP/3R2K1 w - - 3 35,1.8,4.12,4.823,1.8,working,midgame,train
r1b1k2r/1p2b3/pq6/3p4/PP3P2/2PBRQP1/8/1N4K1 b kq - 4 26,1.26,-4.57,-1.15,1.26,diverse,midgame,train
r1bqr1k1/pp3pp1/7p/2Rp4/1n3Q2/1P1P1NP1/P2NPnBP/2K4R b - - 1 15,-2.4,-3.96,0.25,0.0,target,opening,val
1r6/8/5kN1/2R4P/5PK1/8/8/8 w - - 7 63,6.48,6.27,12.791,0.0,target,endgame,train
5k2/pr3p2/2K5/R1p2N1p/P1b5/2P1P3/6PP/8 b - - 4 31,-5.7,2.07,0.536,0.0,target,endgame,train
r3r1k1/pp3ppp/8/2N5/3P4/P4b2/6PP/5R1K w - - 0 28,0.0,-5.22,-7.602,0.0,calm,endgame,train
1n1r3k/1P5p/r1p1BppB/4N3/p3P3/P2P2P1/6KP/5R2 b - - 0 30,4.24,9.23,5.226,0.0,target,endgame,train
2brr1k1/5pp1/7p/Q2p3P/P1p5/2P1q3/1PB5/1K3R1R w - - 2 49,0.0,-0.76,-1.246,0.0,calm,midgame,train
r1b1k2r/1p6/p6q/3p2b1/PP3P2/2PB1QP1/R7/1N4K1 b kq - 0 24,0.18,-3.08,-2.59,0.18,diverse,midgame,train
r1bqr1k1/pp3pp1/5n1p/2pp4/1n3Q2/1P1P1NP1/P2NPPBP/2RK3R b - - 8 13,-1.26,-2.9,-1.696,-1.26,working,opening,train
rn1q1rk1/p1p1b1pp/4bp2/8/2P1Q1PP/P3P3/1B3P1N/nN2KB1R b K - 1 16,1.62,-2.33,3.362,1.62,working,opening,train
r1bqr1k1/pp3pbp/n2p2p1/2p3Pn/2Pp4/1NN1PP2/PP5P/R1BQKBR1 w Q - 0 13,-1.04,-3.95,-1.251,0.0,target,opening,train
8/8/4k3/6Kp/7P/8/8/8 b - - 3 61,0.0,0.1,0.35,0.0,diverse,adveg,train
8/ppk5/2p5/2P4p/8/1P3BP1/7P/6K1 w - - 3 47,0.0,5.29,7.319,0.0,calm,adveg,train
8/r4p2/8/5R2/5p1N/4kP1P/6K1/8 w - - 1 43,3.07,3.74,7.709,0.0,target,endgame,train
4rk2/p4ppp/1p6/r7/3P4/P1N2P2/7P/3R3K w - - 8 33,0.0,-4.84,-4.451,0.0,diverse,endgame,train
B7/6kp/3p2p1/8/4pp1P/P5R1/2r1r3/R5K1 b - - 0 41,-2.28,-3.12,-5.05,0.0,target,endgame,val
3r3r/pp1k1pp1/2n1p3/3pP3/Pp1P1P1p/4P2P/1R1NK1P1/7R b - - 0 22,0.0,-2.28,-1.389,0.0,calm,endgame,train
3q1k2/6rp/Q2p1ppB/2p4n/4P1P1/1N1P4/1PP4P/5RK1 b - - 0 27,1.12,7.09,8.287,0.0,target,midgame,val
3nk2r/pp1b2p1/2q1p2p/2N2p2/3Q4/2P5/PP3PPP/3R1RK1 b k - 3 19,1.26,5.74,5.143,1.26,working,midgame,train
1r2kb2/p4pp1/1qp1p2r/3p2Np/3P2n1/2N3P1/PPP1QP1P/R1B1R1K1 w - - 5 18,1.42,5.2,4.696,0.0,target,opening,train
r1bqr1k1/pp3pp1/5n1p/2pp4/1n3Q2/1P1P1NP1/P2NPPBP/2R1K2R w K - 7 13,-1.2,-1.8,-0.161,0.0,target,opening,train
rnbqk1nr/2p3pp/pp1Bpp2/3p4/3P4/P4NP1/1PP1PP1P/RN1QKB1R b KQkq - 0 7,0.0,0.36,4.319,0.0,calm,opening,train
r2qr1k1/pp3p1p/3p2p1/2p1bbPn/1nP1N3/1N1B1P2/P2BQ2P/1R2K1R1 w - - 6 19,-1.32,-5.01,-4.038,0.0,target,opening,train
8/5p2/8/3K3p/6kP/6P1/8/8 b - - 4 48,0.0,-1.14,0.211,0.0,diverse,adveg,train
8/p1k5/1pp5/2P4B/8/1P4P1/7P/6K1 w - - 0 48,0.0,6.07,8.742,0.0,calm,adveg,train
3k4/8/3pbP2/pB5p/2P2K2/6P1/7P/8 b - - 3 56,0.0,2.32,2.679,0.0,calm,adveg,train
3k4/3r4/P5p1/3B1p1p/2PP4/8/5PPP/R4K2 b - - 0 39,0.0,7.81,12.628,0.0,calm,endgame,train
8/1R4pp/4kp2/4p3/6P1/5P2/2r3r1/4R2K b - - 13 55,0.0,-2.35,-3.301,0.0,calm,endgame,train
7r/p7/1p2ppp1/3p1n2/k4P2/r6P/R2R2K1/N7 w - - 4 50,0.0,-5.42,-8.221,0.0,calm,endgame,val
3r2k1/7p/p1p1bp2/1p6/1P1qP1P1/2N1P2P/2P5/R1B2K1R b - - 0 25,-1.98,-3.39,-3.985,0.0,target,midgame,train
2bqk2r/p3b1pp/2p1p3/2p2p2/Pr6/3P2P1/1PPBNP1P/R2Q1RK1 b k - 3 13,0.0,0.27,-0.687,0.0,calm,opening,train
8/4ppk1/6p1/1pr4p/1R2b3/P3P3/4K1PP/8 w - - 0 33,-2.25,-1.44,-4.981,0.0,target,endgame,train
8/p3kp2/1p6/2p5/2PnN3/PP1Pp3/1Q2P1K1/4q3 w - - 1 39,-2.76,-2.39,-1.072,0.0,target,endgame,train
8/1pp3k1/p1nbR1p1/5P2/2qPQ3/2P5/5PK1/8 w - - 2 38,3.79,0.93,-2.17,0.12,target,endgame,train
1rbq1rk1/p3b2p/2p1p3/2p2pp1/P4N2/2BP2P1/1PP1QP1P/R4RK1 b - - 1 16,1.55,1.35,-0.661,0.0,target,opening,val
r2r2k1/2n1ppbn/3p2p1/q1pP4/2P3P1/2P1PP1R/3Q4/3RBKN1 b - - 2 28,0.0,-3.97,-3.225,0.0,calm,opening,train
r3k2r/pp1bppbp/2Np1np1/q7/2P1P3/2N4P/PP2BPP1/1RBQ1RK1 b kq - 0 11,0.0,0.83,2.072,0.0,diverse,opening,train
3k4/p7/2p5/2p4B/7P/1P4P1/5K2/8 w - - 2 50,0.0,5.97,8.127,0.0,calm,adveg,val
4kb2/8/5P2/8/1p1K3P/8/1R6/8 b - - 0 54,1.14,4.52,6.387,0.0,target,adveg,train
8/p3k3/1p6/2P5/2Pn2q1/P1NPpp2/1Q2P3/7K w - - 0 45,-8.3,-0.15,-0.391,0.0,target,endgame,train
6k1/5p2/1p2pPp1/2r4p/p1b4P/P2rP1P1/6B1/2R1K2R w K - 1 31,-1.53,-2.68,-0.889,0.0,target,endgame,val
6k1/p4pp1/2qb4/P7/6nr/3Q3P/6R1/3N3K b - - 0 33,-2.52,-7.25,-10.165,-2.52,diverse,midgame,train
1rqr3k/p1p3p1/4p3/1Q1R2B1/4p2p/6PB/PP2PPKP/4R3 b - - 0 24,0.0,5.3,4.379,0.0,calm,midgame,train
3r2k1/3qb2p/p4pp1/1p2pP2/2b1N3/P1Q1PB2/1B3P2/4K2R b - - 0 30,-1.62,-4.01,-0.599,-1.62,diverse,midgame,val
rq3rk1/3bppbp/pp4p1/3P4/3pPB2/P5P1/1PQ1BP1P/R2R2K1 b - - 2 19,0.0,0.5,0.798,0.0,calm,opening,train
