fen,src,phase_score,our_total,our_ks,sf11_total,sf11_ks,geo_class,kzone_w,kzone_b,in_check_w,in_check_b,sf18
1r4k1/r4ppp/2b1p3/8/1bp1P3/4RP1P/1KB3P1/3R4 w - - 4 35,vssf1_win_d8,69,-7.991,0.0,-7.77,-3.52,ks,3,0,0,0,-8.3
1r2kb2/1b2n3/p2Q4/1pp2pP1/3p4/P2P2K1/NP1B3P/4R3 b - - 2 29,vssf1_win_d8,58,10.986,3.09,7.81,0.0,quiet,2,2,0,0,5.71
q3k2r/1p3ppp/2pbpn2/3p4/1p1P4/3NPN1P/1P1B1PP1/1B3QK1 b k - 3 17,vssf1_win_d8,42,0.358,0.0,1.16,-0.0,quiet,1,0,0,0,0.52
r3r1k1/pp3pbp/5q2/3p4/P1pP1N2/2PnPBPb/1P1Q3P/R5KR b - - 2 22,vssf1_win_d8,16,-4.311,0.0,-3.83,-0.77,quiet,2,0,0,0,-4.61
r1b1kb1r/pp3p2/2npp2p/2q2P2/P7/2NP3Q/BP4PP/R1B2R1K b kq - 0 17,vssf1_win_d8,10,-0.125,0.0,0.9,0.61,quiet,1,0,0,0,3.22
r1bq1rk1/1p3ppp/p1n5/2bn4/8/4P1P1/PP3PBP/RNBQK2R w KQ - 0 11,vssf1_win_d8,5,-4.021,-1.08,-6.77,-3.33,quiet,0,0,0,0,-1.17
r2qkb1r/1pp2p2/p1n1pnp1/1B1pNb2/3P3p/1P2P2P/PBP2PP1/RN1Q1RK1 w kq - 0 10,vssf1_win_d8,0,-1.64,0.0,1.16,0.8,quiet,0,1,0,0,1.58
8/8/5k2/8/4p1K1/4P2P/5P2/8 b - - 0 86,gnt_d90_s1,128,5.418,0.0,1.67,-0.13,quiet,2,1,0,0,6.38
8/2k5/8/8/1PK1N3/8/8/8 b - - 10 99,sb_on_s1_m750,122,9.97,0.0,3.23,0.23,quiet,0,1,0,0,5.36
3k4/6p1/6p1/3p4/1P1p1R2/3P2P1/r4PKP/8 w - - 0 31,vssf1_win_d8,106,4.14,0.0,2.35,1.1,quiet,1,0,0,0,4.95
r5k1/ppp2ppp/8/3p4/P1nP4/2B2PPP/P1P4K/8 b - - 0 25,vssf1_win_d8,106,-10.358,0.0,-7.67,-0.29,quiet,0,0,0,0,-6.43
1n3b2/1P6/5Pp1/2B4k/2P1NK1P/4P3/8/8 b - - 0 54,vssf1_win_d8,106,10.786,0.0,10.77,2.18,ks,2,3,0,0,10.21
5r2/pp1k3p/2p5/PbP1BP2/3P3b/5P1P/8/3R2K1 b - - 2 31,vssf1_win_d8,90,-2.691,0.0,-4.02,-0.64,ks,2,3,0,0,-4.59
3r3r/ppk2pp1/2pRp3/2P1P1P1/3N3p/N6b/P3KP2/8 w - - 0 33,vssf1_win_d8,80,-6.038,0.0,-5.46,0.46,ks,1,4,0,0,-5.08
1r1k1r2/2pB4/1p3p2/p7/2b2Q1n/P5P1/1P2PP2/5RK1 w - - 0 25,vssf1_win_d8,58,10.412,1.89,5.01,0.78,quiet,1,2,0,0,7.39
2r1kb2/1b2n3/p2Q4/1pp2pP1/3p4/P2P2K1/NP1B3P/4R3 w - - 3 30,vssf1_win_d8,58,10.084,2.34,7.79,0.0,quiet,2,2,0,0,8.42
5rk1/1bB3pp/3p1b2/1R5P/2P1qn2/P3P3/3Q2PR/4K3 w - - 4 31,vssf1_win_d8,32,-6.236,-3.06,-5.68,-6.44,quiet,1,0,0,0,-5.91
r3r1k1/2Qn1pb1/2p3pp/5b2/3N4/1PB3P1/P3PPBP/5RK1 b - - 4 24,vssf1_win_d8,42,8.503,0.0,8.93,0.0,quiet,0,0,0,0,4.36
1rbk1r2/2ppq3/1pBn1p2/p7/2PN1Q1B/P5P1/1P2PP2/R4RK1 b - - 3 20,vssf1_win_d8,16,5.958,1.26,6.87,0.84,quiet,0,1,0,0,5.16
r1b1kb1r/pp3pp1/1qnpp2p/5P1Q/P3P3/2Np4/BPP3PP/R1B2R1K b kq - 0 14,vssf1_win_d8,10,-0.503,0.0,-1.23,0.48,quiet,1,1,0,0,2.64
r2qkb1r/p4p1p/5np1/pb1p4/1n1N4/BP2P1NP/5PP1/R2Q1RK1 w kq - 0 21,vssf1_win_d8,5,-3.218,0.0,-3.52,0.33,quiet,1,0,0,0,-0.38
rn2k2r/1bqp1p2/pp1bpnpp/3P4/2P1N3/PP1B1N2/3B1PPP/R2QR1K1 b kq - 2 14,vssf1_win_d8,0,0.519,0.0,5.6,2.25,quiet,1,0,0,0,3.64
8/p7/1P6/3k4/1P1P1Kpp/8/8/8 b - - 0 49,gnt_d90_s1,128,-5.522,0.0,0.75,-0.1,ks,3,3,0,0,-5.37
2k5/2r5/8/4K3/8/8/8/8 w - - 34 150,sb_on_s1_m750,117,-9.748,0.0,-53.41,0.0,quiet,0,0,0,0,-74.37
5r2/P5kP/2R5/2K5/4B3/2P5/8/8 w - - 1 72,vssf1_win_d8,101,13.805,0.0,10.1,0.88,ks,0,3,0,0,13.69
1n3b2/1P6/3N2pk/2B5/2P1pPKP/4P3/8/8 w - - 3 51,vssf1_win_d8,106,9.513,0.0,7.36,0.63,ks,3,3,0,0,9.34
6k1/5pp1/6p1/p3p3/b7/5q1P/4N2R/2N3K1 b - - 1 34,vssf1_win_d8,80,-12.922,0.0,-8.92,-3.48,quiet,1,0,0,0,-8.06
4rk2/1R6/3q1n2/5Q2/2Rp3p/P5P1/3P1P1P/6K1 w - - 0 32,vssf1_win_d8,48,10.177,4.14,7.92,2.65,quiet,0,1,0,0,5.96
8/3b1k2/3ppb2/rp5r/3N2p1/2P1B3/2BK1P2/1R6 w - - 0 44,vssf1_win_d8,69,-4.976,0.0,-4.83,0.23,quiet,0,2,0,0,-4.15
1r4k1/1b2q1pp/3p1b2/B6P/2P2n2/P3P3/3Q2PR/1R2K3 w - - 0 29,vssf1_win_d8,32,-4.128,-2.4,-3.75,-3.88,quiet,1,0,0,0,-2.87
2r3k1/3n1pb1/2N1b2p/4r1p1/6P1/1PB5/P2QPPBP/5RK1 b - - 1 28,vssf1_win_d8,42,11.006,0.0,9.61,0.0,quiet,0,0,0,0,6.34
r2qk2r/pp2npp1/8/2b1Pb1p/2P5/2p1P1P1/P1Q2P1P/1RB1KBR1 w kq - 2 15,vssf1_win_d8,16,-5.024,0.0,-6.09,-0.9,quiet,2,0,0,0,-4.43
r1b1kb1r/pp3p2/2npp1pp/2q2P2/P3P3/2NP3Q/BP4PP/R1B2R1K b kq - 1 16,vssf1_win_d8,10,-0.107,0.0,1.21,0.48,quiet,1,0,0,0,3.2
r3kb1r/pb1qpppp/1p1p1n2/8/N1PB4/1P2PQ1P/P4PP1/3RKBNR b Kkq - 0 13,vssf1_win_d8,5,2.24,0.0,3.59,0.3,quiet,0,0,0,0,-2.62
rnbqkb1r/3p1p1p/pp2pnp1/8/2PP4/1PNB1N2/P4PPP/R1BQK2R b KQkq - 0 8,vssf1_win_d8,0,0.599,0.0,2.11,0.45,quiet,0,0,0,0,0.53
8/p7/1p1k4/P2P4/1P1P2pp/4K3/8/8 w - - 1 48,gnt_d90_s1,128,-5.144,0.0,-4.76,0.14,ks,1,3,0,0,-12.24
8/8/pp1kp3/8/P2P4/4R3/3K4/5q2 b - - 0 47,vssf1_win_d8,96,-12.118,0.0,-7.01,0.0,quiet,1,2,0,0,-5.74
1r6/6kP/1p2R3/p7/P3B3/2P5/4K3/8 w - - 2 61,vssf1_win_d8,101,9.22,0.0,6.85,2.15,ks,0,3,0,0,15.49
8/p5Qp/1p3R1P/3k4/4q3/Pbr5/1P4P1/K7 w - - 6 40,vssf1_win_d8,58,3.563,0.87,-6.21,-9.22,quiet,2,1,0,0,6.01
1n3b1r/Np1k4/4p1p1/5p1p/3PpP2/1P4PP/1PP1K3/2B4R w - - 0 18,vssf1_win_d8,85,1.096,0.0,1.12,-0.07,quiet,1,1,0,0,0.76
2b2N1k/1p2Rpp1/2p5/3p4/1pn5/3B3P/PP3rP1/2KR4 w - - 0 29,vssf1_win_d8,74,2.436,0.0,4.74,-0.69,quiet,2,2,0,0,4.9
1r3rk1/RP3pp1/8/2pRp3/8/2P3nP/1P1Bb1B1/6K1 b - - 1 29,vssf1_win_d8,64,1.373,0.0,3.26,-0.64,quiet,2,0,0,0,4.57
3q1rk1/4bpp1/3p3p/1ppP4/1nB5/2N1PNP1/1P1Q3P/R5K1 b - - 0 23,vssf1_win_d8,37,0.439,0.0,2.91,-0.51,quiet,0,0,0,0,-2.08
5rk1/p1q1b1p1/2pp2Np/2n5/1QP1P1bP/P2p2PN/5PB1/4R1K1 b - - 5 28,vssf1_win_d8,32,-0.813,0.0,-2.2,-0.02,quiet,1,1,0,0,-0.7
r4Nk1/2p3pp/p2n1b2/P1pq4/3p1P2/7b/1PP1NR1P/R1BQ2K1 b - - 0 23,vssf1_win_d8,21,-0.494,-1.17,0.61,-1.56,quiet,2,1,0,0,-3.08
1r3rkb/1P2p2p/1Qpqp1p1/p7/1n1nPP2/2P3PB/1P5P/RNB2RK1 w - - 2 20,vssf1_win_d8,10,5.877,0.0,4.54,-0.85,quiet,0,0,0,0,3.85
r2k3r/1pq3pb/p1nbBn1p/8/P7/1QP5/1P3PP1/RNB1R2K w - - 2 19,vssf1_win_d8,5,-1.517,2.1,-1.97,1.06,quiet,1,1,0,0,-0.05
rnbqkb1r/3p1p1p/pp2pnp1/2pP4/2P5/1PN1PN2/P4PPP/R1BQKB1R b KQkq - 0 7,vssf1_win_d8,0,0.618,0.0,1.75,0.38,quiet,0,0,0,0,0.16
8/p7/1p1k4/P2P4/1P1P1Kpp/8/8/8 b - - 2 48,gnt_d90_s1,128,-1.951,0.0,-3.0,-0.06,ks,3,4,0,0,-9.48
8/8/8/8/2k3P1/5K2/R7/8 b - - 2 83,sb_on_s1_m750,117,12.075,0.0,54.46,0.0,quiet,0,0,0,0,99.0
8/7p/7R/Pp1kp1r1/1K3p2/8/8/8 b - - 1 51,vssf1_win_d8,106,-4.762,0.0,-3.09,-0.18,quiet,2,2,0,0,-4.08
8/1p5r/p7/P7/1knR4/8/8/1K6 w - - 0 51,vssf1_win_d8,101,-7.942,0.0,-4.03,-0.01,quiet,1,1,0,0,-5.34
r4b2/7k/7p/3P4/p1P1R1P1/5pP1/2K2B1P/8 b - - 0 34,vssf1_win_d8,96,4.434,0.0,2.0,-0.42,quiet,1,0,0,0,-2.14
4qk2/8/1P3pr1/P4Q2/3N4/8/4PPB1/6K1 b - - 0 35,vssf1_win_d8,64,13.619,2.55,9.33,5.34,quiet,1,0,0,0,8.31
1R3bk1/2P2ppp/1n2p3/1pR1N3/8/1P2P2P/5PPK/3r4 b - - 3 26,vssf1_win_d8,80,12.176,0.0,7.25,0.18,quiet,1,2,0,0,7.05
6k1/6b1/2n1r3/p5pp/4p3/2N1B1K1/PP2PP2/1RR5 b - - 1 34,vssf1_win_d8,74,8.069,0.0,6.89,-0.19,ks,3,0,0,0,5.14
1r3rk1/RP3pp1/3R4/2p1p2n/8/2P3PP/1P1Bb1B1/6K1 b - - 0 28,vssf1_win_d8,64,1.212,0.0,4.47,-0.2,quiet,1,0,0,0,4.49
1q1r1kbr/1pRB2pp/5p2/1N6/1P1Q4/1P2P3/5PPP/5RK1 b - - 0 26,vssf1_win_d8,26,9.787,2.34,8.74,2.28,quiet,0,1,0,0,8.33
3rkb1r/ppq2pp1/2p5/3p3p/6b1/1PNPP3/P2P1QPP/R1B2RK1 w k - 1 15,vssf1_win_d8,21,-1.719,-1.26,-0.37,-0.41,quiet,1,1,0,0,-0.55
3nrk1r/N2q1pp1/R1p2n2/2Pp1p2/B6p/4PP2/1P1BQ1PP/5RK1 b - - 0 29,vssf1_win_d8,16,5.629,0.0,4.46,-0.6,quiet,0,0,0,0,3.75
rn2r1k1/1b1pqppp/3b4/2pP4/pp6/4B1PP/PPQ1NPB1/R3K2R b KQ - 1 17,vssf1_win_d8,10,-1.386,0.0,-1.79,-0.1,quiet,0,1,0,0,-1.91
r2qkb1r/1p2pppp/p1n2n2/2p5/P1BP2P1/4PN1P/1P3P2/RbBQ1RK1 w kq - 0 10,vssf1_win_d8,5,0.055,0.0,-1.47,-0.14,quiet,0,1,0,0,0.36
rnbqkb1r/1p2pp2/2p2np1/p2p3p/3P1B1P/P3PN2/1PPN1PP1/R2QKB1R b KQkq - 0 7,vssf1_win_d8,0,1.031,0.0,1.24,0.41,quiet,0,0,0,0,0.5
8/8/p7/1p5p/P4K1P/2k5/8/8 w - - 0 55,gnt_d90_s1,128,-1.35,0.0,-2.06,0.0,quiet,1,0,0,0,-9.88
8/8/8/8/p7/3k4/4R3/1K6 w - - 6 93,sb_on_s1_m750,117,8.099,0.0,1.09,0.0,quiet,1,2,0,0,4.67
8/8/8/qp5Q/2p5/8/1P3k2/1K6 w - - 24 83,vssf1_win_d8,85,-0.381,0.0,-0.35,-0.32,quiet,1,1,0,0,0.0
4k3/1R1N4/6n1/2K1p3/5n1p/5PP1/7P/8 b - - 0 57,vssf1_win_d8,101,5.998,0.0,4.87,4.01,quiet,2,2,0,0,4.72
3r2kr/7R/p2Bp1pp/4Pp2/7P/P3P1P1/1P6/5RK1 w - - 1 36,vssf1_win_d8,80,6.856,0.0,6.64,1.33,quiet,0,2,0,0,6.07
n3k2r/1R3p1p/6pB/1p2b3/pP2P3/P6P/5PP1/3R2K1 w k - 3 30,vssf1_win_d8,80,5.403,0.0,6.02,2.19,ks,1,3,0,0,7.05
4rr1k/ppRQ1p1p/3p1q2/3B4/4P3/8/P4PPP/3R2K1 b - - 3 29,vssf1_win_d8,37,6.313,0.0,5.88,0.32,quiet,1,0,0,0,5.2
r2r2k1/pp2qp1p/2b1pp2/8/2P5/P1B2PP1/3PP1BP/R3K2R w KQ - 3 20,vssf1_win_d8,48,-8.482,0.0,-7.43,-0.36,quiet,1,0,0,0,-4.61
3nk3/qp2br2/1B1p2Q1/2p1pB1p/4P2P/3P1PP1/PP3K2/1R5R b - - 0 29,vssf1_win_d8,32,11.088,3.6,9.0,0.0,ks,0,3,0,0,4.81
3r2kr/ppq2pp1/2pbb3/3p2Qp/8/1P1PP2P/PB1PN1P1/R4RK1 b - - 8 19,vssf1_win_d8,21,2.319,2.34,1.79,2.65,ks,1,3,0,0,0.59
r3r1k1/5p1p/5np1/2R5/p2qP3/P3nPQb/1PRNB2P/7K w - - 6 28,vssf1_win_d8,16,-2.578,0.0,-2.97,-0.54,quiet,2,0,0,0,-4.52
rn2r1k1/1b1p1ppp/3b1q2/2pP4/p1Q5/1p2B1PP/PP2NPB1/R3K2R w KQ - 2 19,vssf1_win_d8,10,-0.006,0.0,-1.76,-0.38,quiet,1,0,0,0,-1.05
r1b2rkb/1p2q2p/p2pp2P/2p2p1R/PnP3p1/2N1PB2/1P3PP1/R1BQ1KN1 w - - 0 18,vssf1_win_d8,5,3.843,0.0,1.18,0.68,quiet,0,1,0,0,1.98
r1bq1rk1/pp3ppp/2n1pn2/2pp4/1bPP4/1QNBPN2/PP1B1PPP/R3K2R w KQ - 4 9,vssf1_win_d8,0,0.67,0.0,-0.27,-0.02,quiet,0,1,0,0,0.0
8/8/1p6/1Pk5/7p/5K2/8/8 b - - 2 52,gnt_d90_s0,128,-5.184,0.0,-2.19,0.03,quiet,1,1,0,0,-6.95
8/8/8/8/p2k4/8/8/1K2R3 b - - 9 94,sb_on_s1_m750,117,7.694,0.0,1.09,0.0,quiet,0,1,0,0,4.59
3q4/p5K1/1p4P1/1B6/P4k2/8/8/8 b - - 6 63,vssf1_win_d8,101,-12.429,0.0,-8.43,0.0,quiet,1,0,0,0,-9.46
3R4/3b4/N6k/1p1p4/1P1P4/2P4P/4K3/8 b - - 2 47,vssf1_win_d8,106,11.989,0.0,7.74,0.0,quiet,0,0,0,0,8.39
8/4kpRp/3bp3/R7/1p2p3/4Pb2/1P3P1P/4K3 b - - 1 26,vssf1_win_d8,96,4.767,0.0,3.38,-0.07,quiet,1,1,0,0,4.17
4r3/5k1p/8/5p1P/1r3N2/p3nR2/7K/8 w - - 0 52,vssf1_win_d8,85,-13.524,0.0,-7.64,0.0,quiet,1,2,0,0,-10.16
1r2k3/2bn4/8/p2RpN1p/1P6/2B3PP/1PP1K3/8 b - - 0 34,vssf1_win_d8,85,3.085,0.0,4.22,0.89,quiet,0,2,0,0,2.17
3kr3/rp1n3p/p1p5/5pN1/1Q1P4/7P/PPP2PP1/R1B3K1 b - - 0 20,vssf1_win_d8,58,18.029,2.94,13.36,0.0,quiet,0,1,0,0,7.58
r5k1/pp3p1p/2b1p3/2q5/2PB4/P2rPPP1/3P2BP/R3K2R b KQ - 2 22,vssf1_win_d8,48,-9.544,0.0,-7.79,-0.73,quiet,1,1,0,0,-6.27
2k5/pp1rqp2/6p1/1bp3b1/8/P1R1n3/1P3N2/1K2Q2B w - - 0 36,vssf1_win_d8,37,-9.828,0.0,-8.15,0.0,quiet,1,1,0,0,-5.54
2kr3r/1pp2p1p/p1n1b1p1/4p1Q1/1q6/1P1PP2P/P3BPP1/R1BR2K1 b - - 0 18,vssf1_win_d8,21,-0.562,0.0,0.37,0.09,quiet,0,1,0,0,0.04
r1b1k2r/1pp2p2/p2qp1p1/6Bp/2B1P1n1/2N5/PP3PP1/2RQ1RK1 w kq - 4 15,vssf1_win_d8,16,4.268,-0.12,4.76,0.8,quiet,2,1,0,0,4.28
rn3rk1/pp2p1bp/2pp1np1/q3p3/P2PPN2/3B4/1PPB1PPP/R2Q1RK1 b - - 1 13,vssf1_win_d8,10,1.53,0.0,1.86,1.15,quiet,0,0,0,0,3.87
r1b1kb1r/ppqp1pp1/4pn1p/n1p5/P1B1PP2/2NP4/1PP1N1PP/R1BQK2R w KQkq - 1 8,vssf1_win_d8,0,0.4,0.0,1.61,-0.16,quiet,0,0,0,0,1.18
8/8/8/2P5/1k1PP1PP/8/5K2/8 b - - 0 47,gnt_d90_s0,128,17.055,0.0,9.39,0.38,quiet,0,1,0,0,7.46
8/4k3/6r1/7p/4K2P/8/8/8 w - - 10 72,sb_on_s1_m750,117,-9.902,0.0,-4.23,0.09,quiet,0,0,0,0,-5.53
8/5ppk/p3p2p/7P/3PpBP1/4P1P1/4K3/2q5 b - - 1 45,vssf1_win_d8,101,-15.554,0.0,-8.9,0.0,quiet,2,2,0,0,-7.33
5k2/1R1R4/8/4rp1p/P7/5PP1/5K2/8 w - - 0 49,vssf1_win_d8,96,10.605,0.0,7.24,0.0,quiet,1,1,0,0,7.38
2r3k1/1p2pp2/3p2p1/3R4/4P2q/P3K3/5R1P/8 b - - 2 44,vssf1_win_d8,74,-11.33,0.0,-8.85,0.0,quiet,1,1,0,0,-7.44
7k/ppR5/1r2Bn2/3p3p/3N4/1P4P1/P3PP1P/6K1 w - - 2 36,vssf1_win_d8,90,9.423,0.0,7.34,0.0,quiet,0,2,0,0,7.36
1r6/2bR2N1/5k2/4p3/4K1P1/1pP4P/1PnB4/8 b - - 4 43,vssf1_win_d8,85,5.319,0.0,5.28,9.08,ks,4,5,0,0,5.46
3k4/rp1nr2p/p1p5/5pN1/1Q1P1B2/7P/PPP2PP1/R5K1 b - - 2 21,vssf1_win_d8,58,18.775,3.24,13.48,0.0,quiet,0,2,0,0,8.61
r3k2r/pp4p1/2n3q1/4pp2/1PPp3p/P2P3Q/3N1PPP/4RRK1 b kq - 0 22,vssf1_win_d8,32,0.597,0.0,0.32,0.06,quiet,1,0,0,0,2.26
5rk1/p4ppp/2pq4/P7/1bP2P2/1p1rB3/1P1NR2P/R2N1K2 b - - 2 27,vssf1_win_d8,42,-9.637,0.0,-6.83,-0.89,quiet,0,0,0,0,-6.26
r1br2k1/1pb3p1/p3pq1p/7Q/4BP2/4B1P1/PP5P/3R1RK1 b - - 1 19,vssf1_win_d8,21,1.92,1.59,2.58,1.41,quiet,0,2,0,0,3.59
r4rk1/pp4pp/n1q2n2/2b5/2p1PQ2/P1N5/1PPN1PPP/R3K2R b KQ - 2 17,vssf1_win_d8,16,-1.578,0.0,-2.63,0.33,quiet,1,0,0,0,-4.7
r2qkb1r/p5pp/3pp3/1Np1n3/4n3/8/PPP1NPPP/R1BQ1RK1 w kq - 0 11,vssf1_win_d8,10,-0.255,0.0,1.09,0.25,quiet,1,0,0,0,2.52
r1Bqkb1r/pp4pp/2n2n2/3p4/3p4/5N2/PP3PPP/R1BQK1NR b KQkq - 0 12,vssf1_win_d8,5,0.931,-0.33,2.69,-0.03,quiet,0,1,0,0,-1.76
r3k2r/1b1p1pp1/pp2p2p/n1p1P2n/P4Pqb/N2P4/BPPKN2P/R1BQ1R2 w kq - 0 17,vssf1_win_d8,0,-4.467,-1.98,-2.4,-1.22,quiet,2,0,0,0,-2.6
8/8/4p3/p3kp2/7P/2K5/8/8 w - - 0 46,gnt_d90_s0,128,-6.531,0.0,-2.9,-0.42,quiet,2,1,0,0,-4.56
8/8/6p1/5k2/2NK3p/8/8/8 b - - 1 70,sb_on_s1_m750,122,0.032,0.0,-0.13,0.54,quiet,1,2,0,0,-5.0
8/5k2/8/3P1p2/p1PR4/6P1/PP2r3/1K6 w - - 0 58,vssf1_win_d8,106,6.342,0.0,3.76,-0.38,quiet,1,1,0,0,4.35
6k1/p7/1p4pp/2p1r2P/2P2r2/P2P4/5P1P/R2B1K2 b - - 0 29,vssf1_win_d8,90,-4.804,0.0,-2.65,-0.84,quiet,2,0,0,0,-3.74
1r6/3R2N1/6k1/b3p3/4K1PP/1pP5/1PnB4/8 w - - 1 45,vssf1_win_d8,85,6.659,0.0,6.78,10.87,ks,3,6,0,0,99.0
5rk1/pp4pp/1q1R4/8/4r3/8/PP2bP1P/1Q2K2R w - - 0 24,vssf1_win_d8,37,-5.975,-5.37,-12.27,-9.48,ks,4,0,0,0,-5.08
r5k1/p3rp1p/2p3pP/q3N3/3p1Pb1/PQ1P4/1P1N2P1/4KB2 w - - 0 22,vssf1_win_d8,42,-6.72,-2.34,-7.29,-3.15,ks,2,3,0,0,-4.17
4r1k1/5pp1/3b3p/1r6/P1p2n2/2R4P/3QpqB1/4R2K w - - 1 37,vssf1_win_d8,26,-4.995,-2.31,-10.9,-4.39,quiet,2,0,0,0,-99.0
r3k1r1/1q2pp1p/2n3pB/p4b2/1P6/4PN2/1R2BPPP/3Q1RK1 b q - 0 19,vssf1_win_d8,16,4.803,0.0,6.18,0.89,quiet,0,2,0,0,4.22
r2q1b1r/p2k2pp/3pp3/1Np1n3/5N2/8/PPP2nPP/R1BQR1K1 w - - 0 13,vssf1_win_d8,10,3.38,1.26,0.67,1.14,ks,1,3,0,0,4.25
r1bqk2r/1pp2p2/1nn5/2P1p2p/p2P2p1/P2BB3/1PQN1PPK/RN3R2 w k - 0 20,vssf1_win_d8,5,2.644,-1.95,3.51,-0.89,quiet,1,0,0,0,3.82
rn2k1nr/1bq3pp/3bp3/2ppNpN1/1p1P4/4P1P1/PP3PBP/R1BQ1RK1 b kq - 2 13,vssf1_win_d8,0,1.725,1.62,4.08,2.46,quiet,0,2,0,0,-0.15
8/8/8/6P1/7K/3kP2P/8/8 b - - 0 86,gnt_base_s2,128,6.818,0.0,3.65,-0.44,quiet,0,1,0,0,7.18
8/4k3/2K5/8/8/1P6/8/3r4 w - - 4 59,sb_on_s1_m750,117,-8.776,0.0,-1.09,0.0,quiet,2,1,0,0,-81.15
3k4/7r/5p2/5p2/p1PP1Rp1/6P1/PP5P/1K6 w - - 2 53,vssf1_win_d8,106,4.148,0.0,2.34,0.62,quiet,0,0,0,0,4.03
8/6pp/2p2p2/1p1k4/1R4P1/P2b4/6r1/4K3 w - - 2 48,vssf1_win_d8,101,-11.713,0.0,-7.46,0.0,quiet,2,1,0,0,-7.45
6k1/1pp2pp1/8/5R2/p7/P1N1p2r/1r6/4K3 b - - 1 43,vssf1_win_d8,90,-10.524,0.0,-7.07,0.0,quiet,2,1,0,0,-12.32
r5k1/5p1p/6r1/4P3/8/1qp5/P6Q/K3R3 w - - 0 47,vssf1_win_d8,53,-9.773,-1.29,-9.45,-4.23,ks,3,1,0,0,-6.61
1n3r1k/1R6/p2NB3/3R3p/8/2b5/5PP1/6K1 b - - 2 43,vssf1_win_d8,74,9.04,0.0,7.52,0.0,quiet,1,2,0,0,99.0
r1br3k/1p3Rq1/2p1p3/7p/3PB3/pQ2P1PP/P5K1/5R2 b - - 3 33,vssf1_win_d8,32,3.377,1.8,5.89,4.71,quiet,1,2,0,0,4.67
1br3k1/1p5p/1P2bp2/r1n1pp2/p1N2P1P/P3P1P1/3N4/4KBR1 w - - 0 25,vssf1_win_d8,64,-1.26,0.0,-7.15,-0.57,quiet,0,0,0,0,-1.51
r3k2r/p2q1pp1/3pbn1p/4p3/2ppPP2/3P2PP/PP1B2BK/R2Q1R2 w kq - 0 17,vssf1_win_d8,21,-2.477,0.0,-0.56,-0.53,quiet,1,0,0,0,2.32
r1b2rk1/2q1np1p/1p4p1/1P1p4/P3p3/2B1P2P/2B2PP1/R2QK1NR b KQ - 0 18,vssf1_win_d8,16,2.547,0.0,3.52,0.21,quiet,0,1,0,0,-1.4
r2qk1nr/1p1b1ppp/p7/4p3/2Pb4/P2P1P2/R4P1P/1NBQKB1R b Kkq - 2 12,vssf1_win_d8,10,-0.792,0.0,-3.46,-1.96,quiet,1,0,0,0,-2.93
3q1rk1/p2npp1p/5npb/1N3b2/3P4/1P1P2Q1/Pr3PPP/RN1K1B1R b - - 1 15,vssf1_win_d8,5,-7.643,-2.88,-12.27,-6.67,quiet,2,0,0,0,-9.21
r4rk1/qpp1p1bp/p1npb1p1/P4n2/R4P2/NPP4P/3P1NB1/2BQK1R1 w - - 0 18,vssf1_win_d8,0,-2.504,0.0,-3.62,-0.54,quiet,1,0,0,0,-2.86
8/6k1/8/5KP1/8/8/8/8 w - - 13 82,gnt_base_s2,128,4.546,0.0,0.0,0.0,quiet,1,2,0,0,0.05
8/8/2R5/3k3K/8/8/8/8 w - - 63 104,sb_on_s1_m750,117,9.536,0.0,53.31,0.0,quiet,0,1,0,0,2.81
8/3k4/8/1p6/p1n2B2/6K1/8/8 w - - 0 57,vssf1_win_d8,117,-7.823,0.0,-3.23,-0.54,quiet,0,1,0,0,-5.59
8/1p3kpp/2p2pb1/3r4/6P1/P1R5/2P5/2K5 w - - 2 37,vssf1_win_d8,101,-9.334,0.0,-7.23,-0.43,quiet,2,0,0,0,-6.14
6k1/1pp2pp1/8/5R2/p3p3/P2r4/1P1rNK2/8 w - - 6 40,vssf1_win_d8,90,-10.451,0.0,-9.01,-1.23,ks,3,1,0,0,-6.78
3b4/p1P4k/3Pr3/8/5pPq/1R3P2/P4QK1/8 b - - 4 43,vssf1_win_d8,58,0.206,-1.62,4.57,-2.11,quiet,2,0,0,0,0.0
1q2kr2/3p1pQ1/2rRp1p1/pp6/3R4/1P2P1P1/P4P1P/6K1 w - - 0 34,vssf1_win_d8,42,3.691,2.16,1.43,1.77,quiet,0,2,0,0,7.22
1n4rk/1R6/p2NB3/7p/8/2b5/5PP1/3R2K1 b - - 0 42,vssf1_win_d8,74,8.967,0.0,7.52,0.0,quiet,1,2,0,0,6.63
r1br2k1/1p4q1/2p1pR2/7p/3PB3/pQ2P1PP/P5K1/5R2 b - - 1 32,vssf1_win_d8,32,4.372,3.6,9.29,10.28,quiet,1,2,0,0,5.95
r1brn1k1/1p2b2p/4p1p1/p1P1Np2/3P4/P3QP2/1R4PP/4R1K1 w - - 4 31,vssf1_win_d8,42,5.669,0.0,6.35,0.83,quiet,0,1,0,0,4.82
r3k2r/pp1q1pp1/3pbn1p/4p3/2PpP3/3P2PP/PP1B1PBK/R2Q1R2 b kq - 3 15,vssf1_win_d8,21,-0.679,0.0,0.82,-0.23,quiet,1,0,0,0,0.68
