family,seed,game,our_color,result,peak_ply,peak_eval,peak_move,drop_ply,drop_eval,swing,decision_fen,drop_fen,src_dir,in_check,kring_pressure,mat_swing,ks_class
base,0,45,black,1/2-1/2,42,2352,e5e4,44,-667,3019,1n2kb1r/1r3pp1/p2pb2p/3Np2P/P7/1q2BB2/1PR2PP1/3QK2R b Kk - 5 21,1n2kb1r/1r3pp1/3pb2p/p2N3P/P3B3/1q2B3/1PR2PP1/3QK2R w Kk - 0 23,base_s0,0,1,1,positional
base,0,51,black,1-0,26,2443,b7b5,32,388,2055,r4rk1/1p1q1ppp/n1ppbn2/p1b1p1B1/2P1P2N/P1NP4/1P2BPP1/R2Q1RK1 b - - 3 13,r4rk1/2n2p1p/2qpbp2/p1b1p3/4P2N/P1NP4/1P2BPP1/R2Q1RK1 w - - 0 17,base_s0,0,0,1,positional
base,0,52,white,0-1,33,3861,h7g6,53,9,3852,r3k2r/1pq1b2B/2p1bp2/1pnn4/3N4/P3P3/1BQ2PPP/RN2K2R w KQkq - 0 17,r7/1p2n3/2p1k3/1p6/n7/P3P3/2QR1Pq1/4KN2 b - - 3 27,base_s0,0,1,4,material
base,0,55,black,1-0,36,3509,f6d7,38,-597,4106,Q1b2k1r/Rpq1ppbp/3p1np1/1P6/4P3/3BB2P/1PP2PP1/6K1 b - - 1 18,Q1b2k1r/Rpq1ppbp/1n1p2p1/8/4P3/3BB2P/1PP2PP1/6K1 w - - 0 20,base_s0,0,0,-1,positional
base,0,56,white,0-1,15,2848,f1d3,35,214,2634,rnbqk1nr/1p3ppp/p1p2b2/3P4/3P4/2N2N2/PP3PPP/R1BQKB1R w KQkq - 1 8,r4rk1/1p2npp1/pqn2b1p/3p4/3P1B2/P2B1P2/1PQ1NP1P/3RR1K1 b - - 0 18,base_s0,0,0,1,positional
base,0,59,black,1-0,34,2321,b4c4,50,-114,2435,r3k1r1/1p2bp1p/2npbnpB/p1p5/NqP5/2N3PP/P3PPB1/R2QK2R b KQq - 11 17,3nk1r1/1p3p2/r2pbb2/p1p1n1pp/N1q5/P1N1B1PP/5PB1/1R1QR1K1 w - - 0 26,base_s0,0,0,-2,positional
base,0,63,black,1/2-1/2,32,5043,b6e6,52,272,4771,r4knr/pp2bppp/1q2N3/1N1pn3/QP6/2P1B2P/5PP1/R3K2R b KQ - 0 16,1B3knr/pp2bp1p/1n6/QN4p1/1Pqp4/7P/5PP1/R4K1R w - - 10 27,base_s0,0,0,1,positional
base,0,65,black,1-0,56,5213,c5c6,70,-10112,15325,N4rk1/3R3p/p1P1ppn1/1pq2p2/1P6/7P/4BbP1/Q3NK2 b - - 0 28,3r3k/2R2Q1p/5pn1/pp2pp2/1P5q/7P/4BKP1/4N3 w - - 4 36,base_s0,0,1,-1,positional
base,0,66,white,0-1,59,4171,c4e3,71,-880,5051,r4b1r/2p2k2/bp2Rp2/3n1B2/p1NP2pp/1P5P/P4PPB/4R1K1 w - - 0 30,r1b5/5k2/1BR2p2/3n3r/3P2Np/b2B3P/1p3PP1/4R1K1 b - - 2 36,base_s0,0,0,-1,positional
base,0,67,black,1/2-1/2,74,7269,a5a4,86,0,7269,4k3/2p4r/2N1p3/pR3p1p/3K1Np1/1p4P1/r4PP1/8 b - - 1 37,3R4/2p4k/2N1p2r/4Kp1p/6p1/pp1N2P1/5PP1/r7 w - - 4 44,base_s0,0,1,0,positional
base,0,68,white,0-1,17,3166,f3g4,39,-799,3965,r1bq1rk1/pp1nppbp/6p1/2Pp4/Q4Bn1/P1P2P2/1P1NP1PP/R3KBNR w KQ - 1 9,2r3k1/pbqrBpbp/1p4p1/3pp3/6PQ/P1P2N2/1R1NP1PP/4KB1R b K - 0 20,base_s0,0,0,-4,positional
base,0,75,black,1-0,40,4082,e8g8,58,-1682,5764,r3k2r/1Q1n1p2/6p1/p1Pp1q1p/3Pp1n1/N3P2K/P2N1PP1/1RB2R2 b kq - 0 20,4r1k1/1r3p2/4qn2/1NPp2p1/P2P2np/B1Q1PR1K/3N2P1/5R2 w - - 3 30,base_s0,0,0,1,positional
base,0,76,white,0-1,81,3078,f5e6,83,70,3008,1r6/p1b5/P1p1pk2/2Pp1Pp1/P2Pn3/1r2PN1R/6P1/R2NK3 w - - 1 41,1r6/p1b4R/P1p1Pk2/2Pp4/P2Pn1p1/1r2PN2/6P1/R2NK3 b - - 1 42,base_s0,0,1,-1,positional
base,0,77,black,1/2-1/2,36,8612,g8g2,58,-5458,14070,rn2k1r1/pp3p1p/2p1p3/3p4/3P3q/P1P1K2N/1P4P1/RN1Q3R b q - 0 18,4rn2/pp2kpRp/2p1p3/3p3q/3P1Q2/P1PNK3/1P6/8 w - - 16 30,base_s0,0,2,-4,ks_attack
base,0,80,white,1/2-1/2,139,6774,g4h4,169,6774,0,8/5k2/4R2P/5P2/6K1/8/8/r7 w - - 9 70,8/5k2/6RP/5P2/6K1/5r2/8/8 b - - 40 85,base_s0,0,1,0,positional
base,0,81,black,1/2-1/2,44,7062,d5d4,56,-1942,9004,r1b4k/pp2r2p/3p1p1B/P1np4/5P2/5Q2/1P4PP/6K1 b - - 0 22,r1b4k/pp2r2p/3p1p1B/P4P2/3p3K/8/1P4QP/8 w - - 1 29,base_s0,0,2,2,ks_attack
base,0,85,black,1-0,62,2991,b8c6,64,-1368,4359,rnr3k1/p6p/4qppb/2p1p3/2N1P3/2P1N1P1/5P1P/R2Q1BK1 b - - 1 31,r1r5/p5kp/2nNqppb/2p1p3/4P3/2P1N1P1/5P1P/R2Q1BK1 w - - 4 33,base_s0,0,1,0,positional
base,0,88,white,0-1,63,2981,b3e6,69,-2171,5152,3r2k1/r1q5/1pn1p1p1/2p1p1N1/4P3/PQ1b2PP/1P3P2/2R1R1K1 w - - 0 32,8/r1q3k1/1pn3p1/2p1p1N1/2Q1P3/P2r2PP/1P3P2/2R3K1 b - - 1 35,base_s0,0,0,1,positional
base,0,89,black,1-0,82,4538,e3f4,86,-7156,11694,N4R2/1p4pk/3P3p/7n/p3p3/P3b2P/1B5K/3b4 b - - 0 41,8/1pN3pk/3P3p/8/p3p3/P2n3P/1B5K/3b4 w - - 2 44,base_s0,0,1,-2,positional
base,0,90,white,1/2-1/2,51,5580,d2b3,81,-2620,8200,r1r2bk1/7p/5p1n/P1Bn1p2/3P4/5N2/P2N1PPP/1R3K1R w - - 3 26,8/8/3k1p2/8/3PR3/2rn4/4KPPP/r3N2R b - - 2 41,base_s0,0,3,0,ks_attack
base,0,94,white,0-1,51,2550,g1h1,57,-2782,5332,r2r3k/1p4pp/2q3n1/2Pn4/2QB4/p2B1N1P/PP3PP1/5KR1 w - - 0 26,r2r3k/1p4Bp/2q5/2P5/1P3n2/p2Q1N1P/P4PP1/5K1R b - - 0 29,base_s0,0,1,-1,positional
base,0,98,white,0-1,37,4135,e5f6,45,463,3672,rn1q2nr/1p2k3/p4b2/4PQ1p/1p1p2p1/3PB3/P1P2PPP/R4RK1 w - - 0 19,r6r/1p1n1k2/p4n2/3qB2p/1p1p1Qp1/3P4/P1P2PPP/4RRK1 b - - 5 23,base_s0,0,1,-2,positional
base,0,101,black,1-0,30,2684,g7a1,54,342,2342,r3k1r1/pbq1ppbp/1n1p2p1/2pP4/1PN4P/5PPN/P2B2K1/R2Q1B1R b q - 0 15,3qk1r1/4pp2/3p2p1/1p1N3p/bPpQ1P1P/6P1/2rBBRK1/8 w - - 1 28,base_s0,0,1,-4,positional
