family,seed,game,our_color,result,peak_ply,peak_eval,peak_move,drop_ply,drop_eval,swing,decision_fen,drop_fen,src_dir,in_check,kring_pressure,mat_swing,ks_class
base,0,190,white,0-1,29,2199,b5b7,31,-600,2799,r2q2kr/pp3pb1/n3bpp1/1Q1N3p/2BP2n1/1P5N/P1P3PP/R1BK3R w - - 3 15,1r1q2kr/p4pb1/Q3bpp1/3N3p/2BP2n1/1P5N/P1P3PP/R1BK3R b - - 0 16,base_s0,0,0,-4,positional
base,0,192,white,0-1,45,3416,h6g5,53,-1,3417,2rq1rk1/3b1p2/1p2pn1Q/pP6/8/R1nBP3/3P1PPP/5RK1 w - - 0 23,2rq2r1/3b1p2/1p2pn1k/pP2Q3/8/2RBP3/3P1PPP/5RK1 b - - 2 27,base_s0,0,1,-3,positional
base,0,193,black,1-0,50,3213,c3e3,58,-2172,5385,5r1k/1p4pp/p5p1/4b3/3Nq3/2r1P1P1/5P1P/RQ3RK1 b - - 7 25,7k/1p4p1/p5pp/4b3/3N4/6P1/3q3P/R4Q1K w - - 0 30,base_s0,0,0,3,material
base,0,197,black,1/2-1/2,38,3021,c7c2,56,435,2586,4k1nr/1pqbp2p/p2p1pp1/8/4P3/1N5P/P2B1PP1/Q3R1K1 b k - 3 19,4bkn1/2R4r/pp1N1ppp/4p3/3QP3/5P1P/P2B2PK/1q6 w - - 0 29,base_s0,0,2,1,ks_attack
base,0,198,white,1/2-1/2,41,10675,g5h7,55,-148,10823,4rrk1/4Qpbp/pn3B2/q2p1PN1/P7/2P1P2P/4BP2/RN2K2R w KQ - 1 21,8/5p1k/pn6/5q2/PB1P4/2r4P/4BP2/R4K1R b - - 1 28,base_s0,0,1,7,material
base,0,199,black,1-0,124,2201,e8g8,128,0,2201,4r3/8/1P6/2Bpk3/2bN1p1p/R3p2P/8/4K3 b - - 0 62,6r1/8/1P6/2Bpk3/2bN1p1p/R3p2P/2K5/8 w - - 5 65,base_s0,0,2,0,ks_attack
base,1,0,white,0-1,43,2198,d2b4,49,0,2198,r1bqk2r/5p1p/3p3b/2nNp1p1/p1RpP1P1/3P1Q2/PP1B1PB1/4K1R1 w kq - 0 22,2bqk2r/r4pbp/8/2BNp1p1/p2pP1P1/3P1Q2/PP3PB1/4K2R b k - 0 25,base_s1,0,0,1,positional
base,1,1,black,1-0,50,5302,d7b6,52,435,4867,b2nkb2/3np2p/BQ4p1/4p3/3p4/7P/1P1B1PP1/2R3K1 b - - 0 25,b2nk3/4p2p/Bn4pb/B3p3/3p4/7P/1P3PP1/2R3K1 w - - 2 27,base_s1,0,0,-9,positional
base,1,2,white,0-1,43,6332,c8d6,55,-791,7123,rnN5/pp3k1p/5bp1/4B3/2p1B3/1P2P3/q4PPP/3R1K1R w - - 0 22,1n6/r6p/3N1kp1/pP6/8/4PB2/q1p2PPP/2R2K1R b - - 1 28,base_s1,0,0,-1,positional
base,1,3,black,1-0,36,4326,d5d4,40,-662,4988,r3k2r/p3pp2/2pq4/3pbp2/6p1/1PN3P1/PBP1QPK1/R4R2 b kq - 1 18,r3k2r/p3pp2/2pb1q2/5p2/3p2p1/BPN3P1/P1P1QPK1/4RR2 w kq - 4 21,base_s1,0,1,0,positional
base,1,7,black,1-0,54,7478,g3h4,88,-327,7805,r2r2k1/1p3p1p/2n3pP/2p5/P1P1p2P/4P1q1/1B2B3/RNQ4K b - - 3 27,4r1k1/1p3n1p/5pq1/P1pQ4/2P1P1p1/8/1B4K1/4RN2 w - - 2 45,base_s1,0,1,1,positional
base,1,11,black,1/2-1/2,48,3872,g8h8,52,-3407,7279,2br2k1/1p1p2pp/1Nn5/r2Bp3/p5P1/n3P2P/P2K4/N4R1R b - - 5 24,2br3k/1p1p2pp/rNn5/3B4/p3p1P1/n3P2P/P2K1R2/N6R w - - 2 27,base_s1,0,1,0,positional
base,1,12,white,1/2-1/2,125,12435,g5f4,143,0,12435,5k2/8/6BP/6K1/4p3/8/8/8 w - - 1 63,7k/8/6BP/6K1/8/8/8/8 b - - 14 72,base_s1,0,0,-1,positional
base,1,13,black,1-0,32,3364,c2b2,40,348,3016,2r1kb1r/pp1b1ppp/3p4/3Np3/5Qn1/1N4P1/PPq2PBP/4RRK1 b k - 1 16,2r1kb1r/1Q1b1ppp/R2p2q1/3Np3/6n1/1N4P1/5PBP/5RK1 w k - 1 21,base_s1,0,2,0,ks_attack
base,1,18,white,0-1,55,4369,h2h5,61,0,4369,5rk1/1p2q1b1/2p2rn1/2P2b2/P2p4/1p3NP1/1P2PPBR/RNQ2K2 w - - 4 28,5rk1/1p4b1/2p2rn1/2P3QR/P7/Np1p1NP1/1Pb1qPB1/R5K1 b - - 1 31,base_s1,0,1,1,positional
base,1,19,black,1-0,26,2380,b3c4,30,-154,2534,r1b2k1r/1p2pp2/n1pp1np1/p6p/P1PPP3/1qN3PP/3QNPB1/2R2RK1 b - - 1 13,r1b2k1r/1p2pp2/n1pp1np1/p2N3p/q2PP3/2R3PP/3QNPB1/5RK1 w - - 0 16,base_s1,0,1,-2,positional
base,1,21,black,1-0,96,9999910,b3g3,104,-10900,10010810,4r1k1/2Q2p2/P5n1/7p/3pPp1P/1q4P1/6BK/5R2 b - - 2 48,1Qr3k1/P4p2/8/4n2p/3pPpq1/8/6B1/5RK1 w - - 3 53,base_s1,0,0,-2,positional
base,1,23,black,1-0,62,10440,b8g3,90,412,10028,1br3k1/1p3ppp/5n2/PN4r1/1pB1p3/1P2P1Nq/2Q1RP2/3R2K1 b - - 0 31,6rk/5Qpp/3N4/PpPR4/1p6/3Kp3/8/6q1 w - - 1 46,base_s1,0,1,-1,positional
base,1,25,black,1-0,38,2504,e4b7,44,-1011,3515,rn3rk1/3p2pp/pq2pb2/8/4bN1P/2P1RNP1/2P2PB1/2BQ2K1 b - - 0 19,rn1r2k1/1bq3pp/p3pb2/2Pp3N/7P/4RNP1/2P2PB1/2BQ2K1 w - - 1 23,base_s1,0,1,0,positional
base,1,27,black,1/2-1/2,46,4153,c7d8,48,0,4153,R3k2r/2b3pp/1p3p2/1Pp1p3/2P3P1/1b2BP2/4KP1P/1r3B1R b k - 8 23,R2bk2r/6pp/1p3p2/1Pp1p3/2P3P1/1b1KBP2/5P1P/3r1B1R w k - 11 25,base_s1,0,1,0,positional
base,1,30,white,0-1,33,2235,b6a7,35,-3916,6151,r1r3k1/pq1n1pp1/bPp1p2p/8/1P1PQ3/P3PN1P/3B1PP1/2R1K2R w K - 1 17,r1r3k1/P2n1pp1/b1p1p2p/1q6/1P1PQ3/P3PN1P/3B1PP1/2RK3R b - - 2 18,base_s1,0,1,-1,positional
base,1,31,black,1-0,42,6018,g5g4,66,284,5734,r1b2k2/1p3p2/2B1pq2/p1P1b1p1/P6r/7P/1P3PQ1/R1BR2K1 b - - 2 21,r1b4r/1p2k3/3R4/p1P1p3/P3Bp2/8/1P3P1p/R6K w - - 2 34,base_s1,0,2,-1,ks_attack
base,1,34,white,0-1,25,4044,b7c6,29,315,3729,1r1qk1nr/1Bp2pp1/4b2p/p1B5/2pp4/P5P1/1P2PP1P/R2QK2R w KQk - 1 13,1r1qk1nr/2p2pQ1/2b4p/p1B5/2p5/P5P1/1P2PP1P/R3K2R b KQk - 0 15,base_s1,0,1,1,positional
base,1,37,black,1-0,158,9996,e7f6,190,0,9996,8/4k3/1P3Rp1/2P1p3/5p1p/6r1/3K4/8 b - - 0 79,2Q5/1PK5/5kp1/4p3/5p2/8/2q5/8 w - - 21 96,base_s1,0,1,0,positional
base,1,44,white,0-1,33,2009,h4f3,35,332,1677,1r3br1/pp1knpp1/2n1p3/1N1pP1Bp/3P3N/8/PP3PPP/2R1K2R w K - 10 17,1r3br1/pp1k1pp1/2n1p3/1N1pPnBp/3P4/5N2/PP3PPP/2R2RK1 b - - 13 18,base_s1,0,0,0,positional
base,1,47,black,1-0,42,3659,a8e8,48,-305,3964,r4rk1/1p3q1p/p1n2p2/2Qb1p2/8/PP6/2P2PPK/R1B1R1N1 b - - 2 21,3r1rk1/1p5p/p1nB1p2/2Q2p1q/8/PP5N/2P2PbK/R3R3 w - - 0 25,base_s1,0,1,-1,positional
base,1,51,black,1-0,38,4380,e6h3,48,-555,4935,2kr2r1/1pp2p2/4bn1p/P3n1p1/P2qp3/R5PP/2QNBP2/2B2RK1 b - - 0 19,2k1r1r1/qppn1p2/P6p/5Qp1/P7/R5P1/4BP2/2B2K2 w - - 3 25,base_s1,0,2,-2,ks_attack
base,1,55,black,1-0,32,7615,b5c4,42,-5080,12695,2rqk2r/pp3ppp/4pn2/1b6/1B1P4/1QNn1NP1/PP1K1P1P/R6R b k - 4 16,2r1k2r/p3qppp/4p3/1N2N3/QnbPn3/4K1P1/PP3P1P/R1R5 w k - 2 22,base_s1,0,1,-2,positional
base,1,59,black,1-0,38,3194,a5b4,58,-3663,6857,r4rk1/2p1n1pp/1bn1bp2/p2qp3/QP2N3/3P1NP1/3BPPBP/R4RK1 b - - 0 19,R1b2k2/3qn1p1/1b3p2/2p4p/3pNN2/1p1P1BP1/4PP1P/1R4K1 w - - 4 30,base_s1,0,0,0,positional
base,1,60,white,0-1,49,4039,c5c6,57,30,4009,4k2r/5p2/1nn1b1pb/p1Q1q2p/2P1P3/3P2P1/PP4BP/R4R1K w k - 0 25,1r6/3nkp2/4b1pb/Q6p/2PqP3/6P1/PP4BP/R4R1K b - - 0 29,base_s1,0,1,-3,positional
base,1,62,white,1/2-1/2,45,6612,d4d7,71,0,6612,1r2r3/1b1pPkpp/p4p2/q7/2PQ4/P7/2N2PPP/4RRK1 w - - 1 23,8/Q2b1kpp/p3qp2/2N5/2P5/P7/5PKP/5R2 b - - 0 36,base_s1,0,1,-4,positional
base,1,67,black,1/2-1/2,130,6867,f5e6,176,5903,964,4K3/8/8/5k2/4P3/2n5/8/8 b - - 0 65,8/8/2n1k3/4P3/8/8/2K5/8 w - - 41 89,base_s1,0,1,0,positional
base,1,68,white,0-1,53,2231,f2g1,55,0,2231,4r2k/pp5p/8/3R4/2P2Bp1/N4qP1/PP3K2/1R6 w - - 1 27,3R3k/pp5p/8/8/2P2Bp1/N4qP1/PP2r3/1R4K1 b - - 4 28,base_s1,0,2,0,ks_attack
base,1,69,black,1-0,68,5255,d4e5,82,497,4758,r2r2k1/1p3qpp/2p2p2/8/3b3P/P2P1BP1/3QP1K1/2B4R b - - 4 34,3r2k1/3q3p/Q4p1P/2p1b1p1/3r4/P2PBBP1/4P1K1/5R2 w - - 0 42,base_s1,0,1,1,positional
base,1,77,black,1-0,22,2317,f8a3,36,-2296,4613,r1bqkb1r/pp1n1p1p/2p3p1/3Pp3/4P3/N4N1P/PPP3P1/R1BQK2R b KQkq - 1 11,r1b1k2r/1p1n1p1p/6p1/p3p1N1/1Bq1p3/7P/P1P2RP1/1R1Q2K1 w kq - 0 19,base_s1,0,4,-3,ks_attack
base,1,78,white,0-1,105,2893,f3f4,111,0,2893,6k1/8/2n2B2/5P1p/1p6/5K1P/8/8 w - - 0 53,8/5k2/8/4KP1p/1p6/1n5P/1B6/8 b - - 7 56,base_s1,0,2,0,ks_attack
base,1,79,black,1-0,26,2151,g6e5,32,-111,2262,r2qr1k1/1pp2ppp/2np1bn1/p4b1N/2P4P/1PN3P1/PB1QPP2/2R1KB1R b K - 2 13,r3r1k1/1pp2ppp/2np4/p2Nnb1P/2P3q1/1P4P1/PB1QPP2/2R1KB1R w K - 1 17,base_s1,0,0,0,positional
base,1,81,black,1-0,70,3299,g8g7,100,431,2868,r5k1/2p5/3rp1pp/1p6/pN1P4/6P1/R1N1KP1P/8 b - - 1 35,8/4rk2/4p1p1/1pNr3p/p2PKP1P/2R3P1/2N5/8 w - - 3 51,base_s1,0,1,1,positional
base,1,83,black,1-0,30,2404,h6f5,44,380,2024,r3k2r/ppqn4/2p1pp1n/3p2pp/3P4/2NPPNPP/PP3QP1/1R2K2R b Kkq - 0 15,2kr3r/ppqn4/4p3/3p1p2/1PpP2pP/3PP3/P3NQP1/2R2RK1 w - - 0 23,base_s1,0,0,0,positional
base,1,87,black,1-0,134,5607,b3f3,138,0,5607,5R2/2b5/1k6/4pNP1/3pPp2/1r5p/2K4P/8 b - - 2 67,5R2/2b5/1k4P1/4pN2/3pPp2/3K1r1p/7P/8 w - - 3 70,base_s1,0,0,0,positional
base,1,88,white,1/2-1/2,39,3402,d1d7,47,-578,3980,2r1k2r/1p1b1pp1/pb2p1n1/7p/1Pn1P2P/P1N2NB1/B4PP1/2RR2K1 w - - 1 20,2r4r/1p2kpp1/p3p1n1/2P4p/2B1P2P/P4NB1/5PP1/2R3K1 b - - 0 24,base_s1,0,0,-1,positional
base,1,89,black,1-0,36,2270,f8e7,40,354,1916,2r1kb1r/p4ppp/b3p3/B1p5/4N3/1P1pPP2/P5PP/2R2RK1 b - - 6 18,2r2k1r/p4ppp/b3p3/B1p3b1/8/1P1pPP2/P4NPP/2RR2K1 w - - 11 21,base_s1,0,0,0,positional
base,1,92,white,0-1,43,2908,b5c3,67,0,2908,1r1qnrk1/4ppb1/Q5p1/1N1P1b1p/5P2/4B3/PP1RB1PP/2R3K1 w - - 0 22,6k1/4pp2/3n2p1/3P4/3R1PP1/7Q/Pr5P/2qB3K b - - 0 34,base_s1,0,1,0,positional
base,1,95,black,1/2-1/2,130,6379,c6d5,192,6200,179,8/8/2k2B2/pp3p1p/2p1b3/P1K3P1/5P2/8 b - - 1 65,5B2/8/8/1p1k1p1p/p1p1bP2/P5P1/3K4/8 w - - 41 97,base_s1,0,2,0,ks_attack
base,1,104,white,0-1,31,4154,a1b1,47,-1244,5398,r1bqk2r/1pp4p/5pp1/1N1B4/1b1p1Q2/2PP2PP/Pp2PP2/R3K2R w KQkq - 0 16,2b2k1r/1pp1q3/r7/b4p1P/3N4/1BpP3P/Pp2PPQ1/1R3RK1 b - - 1 24,base_s1,0,0,-1,positional
base,1,110,white,0-1,63,3556,b6e3,67,-645,4201,1r6/3qppkp/1Bb1n1p1/Q3P1n1/2P3N1/2P4P/P2rB1PK/2R1R3 w - - 1 32,8/4ppkp/2b1n1p1/Q3P1n1/2P3N1/2P4P/Pr1qB1P1/2R1R1K1 b - - 1 34,base_s1,0,1,-2,positional
base,1,116,white,0-1,29,3611,f3d2,35,499,3112,r1b2rk1/ppqnbpp1/2ppp2p/2P5/1P1P1BnP/P1NBPN2/2Q2PP1/R3K2R w KQ - 3 15,r1b2rk1/ppq2pp1/2pb1n1p/4p3/1PNP2nP/P1NBP1B1/2Q2PP1/R3K2R b KQ - 1 18,base_s1,0,1,0,positional
base,1,117,black,1-0,32,2361,g5b5,34,349,2012,rnb1k1r1/pp1p1p1p/2pPp3/6q1/3P4/6P1/PP3NBP/R2QK2R b KQq - 0 16,rnb1k1r1/pp1p1p1p/2pPp3/5q2/3P4/3N2P1/PP4BP/R2QK2R w KQq - 3 18,base_s1,0,1,0,positional
base,1,118,white,1/2-1/2,143,4035,a5a6,157,250,3785,3k4/p4p1P/1p1p1P2/PPpPpQ2/2P1P2q/8/1K6/8 w - - 3 72,8/p1k2p1P/Pp1p1P2/1PpPp3/2P1P1Q1/1K6/7q/8 b - - 14 79,base_s1,0,2,0,ks_attack
base,1,121,black,1-0,58,7324,f8f7,90,-1110,8434,5k1r/rp2p3/pN6/2P1pp1p/1PP4P/P3p3/6R1/4K3 b - - 1 29,4rk2/rp6/1N2p3/pPP1K2p/P1P2p1P/8/3R4/8 w - - 0 46,base_s1,0,0,2,positional
base,1,129,black,1/2-1/2,42,3354,e4f2,50,32,3322,2r3k1/pp5p/1q1bp1p1/1Qnp1p2/3NnP2/1P2PN2/PB1P3P/3K2R1 b - - 3 21,2r3k1/pp2q2p/6p1/1Qbp1p2/5P2/1P2PN1n/PB1PK2P/2R5 w - - 0 26,base_s1,0,1,1,positional
base,1,131,black,1-0,20,3966,e4h1,24,-515,4481,rnb1k2r/1p1p1ppp/2p5/p3P3/QbP1q3/4P1P1/PP1N1K1P/RNB2B1R b kq - 2 10,rnb1k2r/5ppp/2p5/pp1pP3/QbP5/2N1PNP1/PP3K1P/R1B2B1q w kq - 0 13,base_s1,0,0,-5,positional
base,1,132,white,0-1,43,4343,a4c2,53,476,3867,r1q5/pp3kp1/8/2PN2b1/QP1N2b1/4P1P1/P2n3P/R5K1 w - - 1 22,4rk2/pp1q2p1/8/2P3b1/1P1N2b1/P2QP1P1/7P/4R1K1 b - - 0 27,base_s1,0,0,0,positional
base,1,133,black,1-0,38,2487,f6e4,40,-2002,4489,2k2b1r/pp1r1pp1/2n2nb1/1Nqp2Np/Q3PB1P/Pp4P1/1R2BP2/5RK1 b - - 1 19,2k2b1r/pp1r1pp1/2n5/1Nqp3p/Q3bB1P/Pp4P1/1R2BP2/5RK1 w - - 0 21,base_s1,0,2,-1,ks_attack
base,1,136,white,0-1,43,3777,e1g1,47,-128,3905,r3kr2/3q2pp/5n2/8/2Q5/5N2/PPP2PPP/4K2R w Kq - 3 22,r4r2/5kpp/5n2/3q4/2P5/5N2/PP2QPPP/5RK1 b - - 0 24,base_s1,0,0,0,positional
base,1,138,white,1/2-1/2,123,3760,d7f7,129,0,3760,8/1p1R1p2/p1p4k/P1P2P2/1P5p/3K3P/7r/8 w - - 2 62,8/1R6/p1p4k/P1P1KP2/1P6/1r5p/8/8 b - - 1 65,base_s1,0,1,-1,positional
base,1,146,white,0-1,29,2875,c4d5,37,233,2642,r1bqk2r/3nppbp/1pp2np1/p2p2N1/N1PP1BP1/1P1BP2P/P4P2/R1Q1K2R w KQkq - 0 15,2bq1rk1/r2nppbp/1pQ3p1/p5N1/N2PBPP1/1P5P/P4P2/3RK2R b K - 2 19,base_s1,0,0,-1,positional
base,1,148,white,1/2-1/2,67,4308,f5f4,85,0,4308,r7/1bp1k1b1/1q6/p4Q2/2P2nP1/7P/5P1R/5RK1 w - - 0 34,3q1r2/2p3k1/2P5/7Q/6PP/p1b2b1R/5P2/2R3K1 b - - 1 43,base_s1,0,1,-3,positional
base,1,152,white,0-1,107,3616,e5e6,119,-2,3618,8/1b2R3/kP5p/P1r1P2P/8/2B2n2/1K6/8 w - - 7 54,4rB2/1k2Pn2/1P5p/P6P/K7/8/8/8 b - - 8 60,base_s1,0,0,2,positional
base,1,153,black,1-0,82,6457,c3f6,84,0,6457,2R5/r2p1k1p/2pP4/p1N2p2/5p2/P1b2r2/7P/3R3K b - - 1 41,r7/2Rp1k1p/2pP1b2/p1N2p2/5p2/P4r2/7P/3R3K w - - 4 43,base_s1,0,2,0,ks_attack
base,1,154,white,0-1,55,3358,d3d4,63,0,3358,3q1r1k/1b1r3p/p2b1p2/1p6/1P3p2/N1QP1N2/PR2BP1P/4R1K1 w - - 0 28,6rk/1b2q1rp/p2b1p2/1p6/1P1P1p2/N1Q2N2/P3BP1P/1R2R2K b - - 8 32,base_s1,0,1,0,positional
base,1,156,white,0-1,43,2274,h3g3,45,-76,2350,2r3k1/3n1pp1/q1n1p2p/2PpP3/5B1P/P1P1QP1R/1r2N1P1/R4K2 w - - 4 22,2r3k1/3nnpp1/q3p2B/2PpP3/7P/P1P1QPR1/1r2N1P1/R4K2 b - - 0 23,base_s1,0,2,-1,ks_attack
base,1,157,black,1-0,46,3354,b8c6,62,453,2901,bn2kb1r/3p1pp1/5n1p/3p4/8/3B2N1/1B2NPPP/1R4K1 b k - 3 23,2Rnk1r1/1b1nbp2/3p2pp/3p1N2/1N1B4/8/2B2PPP/6K1 w - - 2 32,base_s1,0,2,0,ks_attack
base,1,158,white,1/2-1/2,75,3097,f6h6,77,445,2652,1r6/p2k4/2p2R1p/P1p2P2/2P4P/2PB2P1/7r/2K5 w - - 3 38,8/p2k3R/2p5/P1p2P2/2P4P/1rPB2P1/7r/2K5 b - - 2 39,base_s1,0,2,-1,ks_attack
base,1,161,black,1/2-1/2,22,2594,b7b5,26,0,2594,r3kb1r/pp1npppp/2pp2b1/8/3PnB2/3B1N2/q1P1NPPP/1R1QR1K1 b kq - 1 11,r3kb1r/p2npppp/2pp4/1p6/3PbB2/2N2N2/2q2PPP/1R1QR1K1 w kq - 0 14,base_s1,0,0,-1,positional
base,1,164,white,1/2-1/2,91,5762,g4f5,127,287,5475,8/r7/4p2k/2R2p2/4P1P1/4n2K/7R/8 w - - 0 46,8/4K2k/1r5n/6R1/5R2/8/8/8 b - - 29 64,base_s1,0,2,0,ks_attack
base,1,168,white,0-1,35,4376,d4c6,41,89,4287,r1b2k1r/p2p2p1/1pp3np/4q3/3NP3/1QN5/PP3PPP/3R2KR w - - 0 18,r1b4n/p3k1p1/1pp4p/4q3/2Q1P3/2N5/PP3PPP/6KR b - - 1 21,base_s1,0,1,2,positional
base,1,170,white,0-1,43,3233,c4c5,45,136,3097,r4r2/4b1pk/2qN3p/p1p2p2/1nQ2B2/3P1PP1/1P2P2P/2R1K2R w K - 2 22,r4r2/4b1pk/3N3p/p1R2p2/1n3B2/3P1PP1/1P2P2P/4K2R b K - 0 23,base_s1,0,0,-1,positional
base,1,185,black,1-0,32,2907,b6b2,34,-1813,4720,r4rk1/pp1bpp1p/1q1p2pQ/2pP4/2P5/P1N2N1P/1Pn1BPP1/R2K3R b - - 2 16,r4rk1/pp1bpp1p/3p2pQ/2pP2N1/2P5/P1N1n2P/1q2BPP1/R2K3R w - - 2 18,base_s1,0,2,-1,ks_attack
base,1,186,white,0-1,139,4614,d8h8,153,-7073,11687,3Q4/4nk2/2q1r3/p5PP/3BP3/5PK1/8/8 w - - 0 70,7Q/4n1P1/4k3/2q4P/4PB2/p4P1K/8/6r1 b - - 2 77,base_s1,0,1,0,positional
base,1,188,white,0-1,35,3986,e5d7,49,-934,4920,2r2rk1/2qbppb1/n4np1/pp1PN3/8/P1NB4/1P1BQPP1/R3K2R w KQ - 4 18,1r3rk1/2q1ppb1/6p1/p2Pn3/8/PPN5/3BQPP1/3RK2R b K - 2 25,base_s1,0,0,-1,positional
base,1,191,black,1/2-1/2,80,5264,b4b2,88,-56,5320,8/1pk2p2/p1p5/8/1r1p2KP/3P4/5P2/7R b - - 0 40,6r1/1pk2p2/2p2K1P/p7/3p4/3P4/8/7R w - - 0 45,base_s1,0,0,-1,positional
base,1,192,white,0-1,71,3343,d3f5,75,-153,3496,3b4/5k1p/3r1n2/r2p1pR1/2nB1N2/3BP2P/1p3P2/3R1K2 w - - 3 36,8/5k1p/1b1r1n2/r2p1BR1/5N2/4P2P/1n3P2/1R3K2 b - - 1 38,base_s1,0,0,1,positional
base,2,0,white,1/2-1/2,43,3211,b4c5,47,91,3120,2r2rk1/1q2npb1/3Q2np/p1pP2p1/RP2P1P1/2N2N2/1P1B1P1P/4K2R w K - 0 22,2r1r1k1/4npb1/3Q2np/p1PPP1p1/R5P1/2N2N2/1q1B1P1P/5RK1 b - - 2 24,base_s2,0,0,0,positional
base,2,5,black,1-0,62,2787,g4g3,68,211,2576,r3kbr1/qp3p2/4b1p1/p2pP1N1/2p2Pp1/PP5P/4Q1BK/3RR3 b - - 1 31,r4kr1/qp2bp2/6p1/p2RP1N1/2p2P2/PP4KP/4Q3/4R3 w - - 1 35,base_s2,0,1,2,positional
base,2,9,black,1-0,54,5695,f8g7,68,-448,6143,5k2/2p2p1p/1ppp1p2/8/PP6/7P/1KP2rr1/2R2R2 b - - 0 27,8/2p3kp/2pp4/P4p2/4p3/7P/1KP5/8 w - - 0 35,base_s2,0,0,0,positional
base,2,10,white,0-1,109,6736,d7c7,111,-22,6758,8/3R4/7k/3Pp3/4P1n1/7p/K1N5/4B2r w - - 2 55,8/8/7k/3Pp3/4P1n1/2R4p/K1N5/4r3 b - - 1 56,base_s2,0,1,3,material
base,2,16,white,0-1,39,2379,b3c4,49,0,2379,2r1r1k1/p4p1N/1p1b1p1q/3p4/2p2PbP/1P1BP1P1/P1QP4/1R3RK1 w - - 0 20,4r1k1/p3bpqN/1p3p2/2r5/2p2PbP/2Q1P1P1/P1BP1R2/R6K b - - 3 25,base_s2,0,0,0,positional
base,2,17,black,1/2-1/2,138,7172,e4c6,190,7172,0,1B6/8/8/5p2/4bp2/5k2/8/4K3 b - - 7 69,8/4B3/8/8/4kp2/1b3p2/5K2/8 w - - 40 96,base_s2,0,1,0,positional
base,2,23,black,1-0,24,2242,f8c8,38,-99,2341,r4rk1/ppq2ppp/2nbbn2/3p4/3Pp3/1P2N2P/PBP1BPP1/RN1Q1RK1 b - - 2 12,r1r3k1/1pq2p2/2n1bnp1/p7/P1pPp2p/1P2N2P/1B1NBPPb/R1R1Q2K w - - 0 20,base_s2,0,0,-1,positional
base,2,27,black,1-0,28,2807,d8f6,40,408,2399,1rbqkb1r/5pp1/3p4/pp5p/3pn3/P4NPP/1P3PB1/R2QK1NR b KQk - 1 14,1r2k3/4bpp1/3p3r/pp5p/3Q1N2/P5qB/1P6/R4RK1 w - - 0 21,base_s2,0,1,1,positional
base,2,28,white,0-1,51,4727,e5d4,57,-5260,9987,4r1r1/pp1q1k2/5n2/3PQ3/1bp1PB2/3P1P1P/PP6/2R2K1R w - - 2 26,4r1r1/pp3k2/3q1n2/3P4/4P3/3p1P1P/PP3Q2/4RK1R b - - 1 29,base_s2,0,2,1,ks_attack
base,2,29,black,1/2-1/2,158,7364,f7f6,202,7364,0,8/b4k2/8/8/5P1K/8/8/8 b - - 2 79,8/8/5k2/5P2/5b2/3K4/8/8 w - - 41 102,base_s2,0,1,0,positional
base,2,34,white,0-1,45,6582,e5f6,57,-763,7345,2q2r2/1r1kbpQp/2p5/1pPpB3/p2P4/7P/PP3PP1/R4RK1 w - - 3 23,2kq2r1/1r3p2/2p2b2/1pPp4/p2P1Q2/7P/PP2RPP1/R5K1 b - - 7 29,base_s2,0,1,2,positional
base,2,37,black,1-0,52,6432,g7f6,54,-972,7404,3r2k1/pp1r1ppp/2np1N2/7Q/4NP2/4P1P1/1q5P/5RK1 b - - 1 26,4r1k1/pp1r1p1p/2np1p1Q/8/4NP2/4P1P1/1q5P/5RK1 w - - 2 28,base_s2,0,1,-3,positional
base,2,38,white,1/2-1/2,87,4605,g2f3,111,-556,5161,1r3k2/6p1/8/pP1B4/P5R1/6P1/1r3PKP/8 w - - 11 44,5k2/6p1/8/pP1B4/P4R1P/r5P1/5r2/2K5 b - - 13 56,base_s2,0,1,1,positional
base,2,40,white,1/2-1/2,43,3627,c2c3,49,433,3194,2bq2nr/1ppk4/r3p1Qp/1N1pP3/Pn1P4/5N2/2P2PPP/R4RK1 w - - 1 22,2b3qr/1ppkn3/r1n1p2p/1N1pP2Q/P1PP4/5N2/5PPP/R3R1K1 b - - 0 25,base_s2,0,1,0,positional
base,2,42,white,0-1,43,6563,f1c4,45,0,6563,5b1r/3nk2p/p1Q1Nnp1/q7/3P4/P1p1PP2/3r2PP/R3KB1R w - - 0 22,5b1r/2Qnk2p/p3Nnp1/q7/2BP4/P3PP2/2pr2PP/R3K2R b - - 1 23,base_s2,0,3,0,ks_attack
base,2,43,black,1/2-1/2,48,11609,e7f6,94,8567,3042,7r/1Q2kppp/p3p3/3nb3/2P5/8/4qPPP/5RK1 b - - 5 24,7r/1Q3ppp/p7/2k5/8/8/5PPK/5q2 w - - 40 48,base_s2,0,1,0,positional
base,2,46,white,0-1,27,3272,f3e4,39,-1812,5084,r2n1b1r/pp4pp/8/2P1kp1n/4p3/2P1BP2/PP1N2PP/R3K2R w KQ - 0 14,r4b1r/p4npp/2p1k3/N7/4PpnB/2P5/PP4PP/2KR3R b - - 1 20,base_s2,0,0,0,positional
base,2,50,white,0-1,43,3011,b6b7,47,-370,3381,r6r/4kpbp/1R1p2p1/1QnPp3/4P3/P2PPN2/5KPP/2q2B1R w - - 5 22,r6r/1n3pbp/1Q1p1kp1/3PN3/4P3/P2PP3/5KPP/2q2B1R b - - 0 24,base_s2,0,1,4,material
