fen,src,phase_score,our_total,our_ks,sf11_total,sf11_ks,geo_class,kzone_w,kzone_b,in_check_w,in_check_b,sf18
4k1r1/1q1Nbp2/7p/ppr2p2/3Q4/6P1/PP3P1P/4R1K1 w - - 6 34,vssf_2700,42,-0.359,0.9,-1.91,5.78,ks,1,3,0,0,
r2r2k1/6pp/np2pp2/p1pq4/Q2P3P/P3PN2/1P3PP1/3RK2R w - - 0 23,vssf_2700,32,-0.597,0.0,-0.6,-0.48,quiet,0,0,0,0,
2r3k1/4bp2/4n1p1/3qPbPp/Q4n1P/2P2N2/3N4/2RK1R2 b - - 3 37,vssf_2700,21,-7.051,-2.7,-9.38,-5.15,ks,3,0,0,0,
rn1qn1k1/1p3pp1/3bb2p/4p1P1/3p4/3P1N2/PPPBQP1P/1NKR3R b - - 1 17,vssf_2700,16,3.057,0.0,0.54,-0.41,quiet,0,0,0,0,
2r3k1/pr3pbp/q1n3p1/3n2B1/3p4/N2P1NPB/PP1Q1P1P/2KR3R b - - 11 20,vssf_2700,5,3.952,-1.98,2.57,-1.75,quiet,1,0,0,0,
2r2rk1/2q1bpp1/p1npb2p/1p2p3/Q3P1nP/1NPBBN2/PP3PP1/1K2R2R w - - 0 18,vssf_2700,0,2.006,0.0,-2.04,-0.47,quiet,0,0,0,0,
8/3k4/7P/2p5/4P3/1P2P3/4K3/8 b - - 0 43,vssf1_win_d8,128,8.361,0.0,5.76,0.28,quiet,0,0,0,0,
8/3n4/2p1p3/5p1k/2KP4/8/8/8 b - - 1 61,vssf_2400,122,-11.104,0.0,-6.0,-0.41,ks,3,0,0,0,
7R/3k4/4pn2/2p2p2/P1Pp4/1P3K2/8/8 w - - 3 53,vssf_2700,112,-1.179,0.0,1.38,-0.34,ks,3,1,0,0,
8/8/8/8/8/2Pnk3/4r3/K6R w - - 39 59,vssf_2700,101,-5.785,0.0,-0.76,-0.95,quiet,2,1,0,0,
q7/PR1Q3p/3ppk2/2p5/3p4/2r2PPK/5P2/8 b - - 0 39,vssf_2700,64,1.664,3.3,5.45,13.08,quiet,0,1,0,0,
5k2/1p1r1pp1/2p5/P7/2P1P1NP/R4Pq1/8/5B1K w - - 2 46,vssf_2700,74,-5.328,0.0,-4.8,-2.16,quiet,1,0,0,0,
6k1/8/2R1p3/4Pp1P/1P3bp1/r7/2R2P2/3rB1K1 w - - 7 45,vssf_2700,74,-1.869,0.0,-0.81,-2.79,quiet,1,0,0,0,
3r2k1/5pp1/p3b3/P7/7P/4r1bP/6B1/R5KR w - - 0 38,vssf_2700,69,-7.994,0.0,-7.41,-1.86,quiet,1,0,0,0,
2r4k/1p4p1/8/1PNrq2p/6bP/PQ2P3/6pR/2R3K1 w - - 2 36,vssf_2700,32,-2.042,-4.32,-3.57,-2.35,quiet,2,0,0,0,
4r1kr/pp1qp3/2n4p/6p1/2p5/BPQ3P1/P2N1PBP/R5K1 b - - 2 24,vssf_2700,32,5.047,2.16,5.79,3.37,quiet,0,1,0,0,
r3kb2/5p2/pB1ppn1p/7p/4b3/5n2/PP2NPB1/2RK3R w - - 3 31,vssf_2700,58,-4.322,-1.17,-0.17,-0.64,quiet,2,1,0,0,
rnbqnrk1/p4p2/1pp1p1pQ/4P2P/2P3p1/8/PP1N1PP1/2KR1B1R b - - 0 16,vssf_2700,16,-0.082,2.16,-1.05,1.34,quiet,1,1,0,0,
rnbqr1k1/p4ppp/4pb2/2pp4/2pP4/1PN2NPP/P4P2/R1BQKB1R b KQ - 1 11,vssf_2700,5,2.503,0.0,1.36,-0.15,quiet,0,0,0,0,
r1r3k1/3qbpp1/1Qnpb2p/1B2p3/4P1nP/2P1BN2/PP3PP1/1KN1R2R b - - 2 21,vssf_2700,0,2.001,0.0,0.37,-0.95,quiet,2,0,0,0,
8/8/6PP/2k1p3/1p1p4/1P1P4/P3PK2/8 b - - 0 58,vssf1_win_d8,128,11.291,0.0,11.64,0.02,quiet,1,2,0,0,
8/2p2p2/4k3/8/7R/7P/6PK/8 w - - 1 60,vssf_2400,117,10.206,0.0,5.77,0.58,quiet,0,0,0,0,
8/3N4/P1p4b/7p/1P4k1/3K4/2p5/8 w - - 0 54,vssf_2700,117,-1.265,0.0,-1.96,0.51,quiet,1,0,0,0,
3B4/5pk1/2B3p1/p3n2p/2p4P/P2p2P1/1n1K1P2/8 w - - 4 46,vssf_2700,106,-6.013,0.0,-2.13,-3.59,ks,4,1,0,0,
r1k5/7p/p1n1p3/7r/4Pp2/2P5/R5B1/R4K2 w - - 0 31,vssf_2700,74,-2.204,0.0,-0.84,-0.4,quiet,0,0,0,0,
3r2k1/5pp1/p3b3/P7/7P/1r2P1bP/6B1/R5KR b - - 2 37,vssf_2700,69,-8.406,0.0,-6.46,-0.87,quiet,1,0,0,0,
1r1r2k1/1p3qp1/8/pPN2b1p/4pQ1P/P3P3/5PPR/2R2K2 b - - 1 28,vssf_2700,32,2.174,0.0,0.11,0.13,quiet,0,0,0,0,
5rk1/1p4b1/2p3bp/p1Pp4/P2Pp3/PN2Pp2/2KBq3/1RR4B b - - 3 35,vssf_2700,48,-10.066,-3.6,-9.95,-3.85,quiet,2,0,0,0,
3rk2r/3nnpb1/3Rp1p1/pPp4p/1p2P3/4B1P1/PP3PBP/1R2N1K1 b k - 1 18,vssf_2700,53,0.406,0.0,0.89,0.33,quiet,0,1,0,0,
rnbqnrk1/p1p2ppp/1p2p3/4p1N1/2PP3P/5Q2/PP1N1PP1/R3KB1R b KQ - 0 11,vssf_2700,10,4.101,0.0,0.13,0.45,quiet,0,2,0,0,
r2qr1k1/p4pp1/b1n4p/2Pp4/N5Pb/P2pp2P/3N1PB1/1RBQ1RK1 b - - 1 20,vssf_2700,5,-1.623,0.0,-3.41,-0.77,quiet,2,0,0,0,
rn2k2r/pp1bnpbp/6p1/q1pp4/8/NQPPBNP1/PP3P1P/2KR1B1R b kq - 1 10,vssf_2700,0,0.817,0.0,-0.75,-0.8,quiet,0,0,0,0,
8/8/8/5p2/5k2/3K4/8/8 b - - 1 82,vssf1_win_d8,128,-2.605,0.0,-47.96,0.0,quiet,2,1,0,0,
5Q2/8/8/PPPP4/8/4K3/6k1/8 b - - 2 57,vssf_2400,106,37.819,0.0,63.66,0.0,quiet,1,2,0,0,
5k2/P4p2/q2P3p/5p2/8/3R3P/4K3/8 b - - 0 46,vssf_2700,96,-8.392,0.0,-3.53,-2.32,quiet,1,1,0,0,
8/6p1/3kP2p/p2P4/PbB5/6P1/5PKP/3b4 b - - 2 58,vssf_2700,112,1.289,0.0,-2.22,1.52,ks,1,3,0,0,
8/5pk1/2B2np1/p5Bp/2p4P/P2pK1P1/1n3P2/8 w - - 0 44,vssf_2700,106,-7.388,0.0,-2.67,-3.1,ks,4,1,0,0,
3Q4/5ppk/2r5/N6p/1p6/P3RP1P/1PPR4/6K1 b - - 0 32,vssf_2700,69,29.784,0.0,23.54,0.0,quiet,0,1,0,0,
r7/2k4p/R1n1p3/4Pr2/5p2/2P5/5KB1/R7 b - - 0 33,vssf_2700,74,-3.72,0.0,0.77,2.13,ks,1,3,0,0,
6r1/2p2p1p/1k2p3/pPbq4/3N1R2/1R1PP1P1/2Q5/6K1 b - - 0 32,vssf_2700,42,11.185,0.72,3.81,-1.24,ks,1,4,0,0,
2r1kb2/3b2p1/3p3r/5p1p/p1P2P2/2QN1B2/P3PP1P/3R3K w - - 0 29,vssf_2700,53,7.36,0.0,7.33,0.0,quiet,0,0,0,0,
r1b2qk1/1p3pb1/2p3pp/p2pp3/P2P4/PNP1B1P1/4PPBP/R4RK1 b - - 0 18,vssf_2700,48,-2.318,0.0,-2.61,-0.11,quiet,0,0,0,0,
3rr3/2bnk3/Rn2pppB/pPp1P3/1p6/1B3NP1/PP3PK1/3R4 w - - 2 34,vssf_2700,53,2.182,1.14,1.23,1.09,ks,0,4,0,0,
r1b2rk1/1ppq1pp1/3b3p/p2nN3/4P3/P1Q1B2P/1PP2PP1/R2R2K1 w - - 0 18,vssf_2700,16,-2.446,0.0,-1.85,0.08,quiet,0,1,0,0,
rnbqnrk1/p4ppp/1pp1p3/4p1N1/2PP3P/5Q2/PP1N1PP1/R3KB1R w KQ - 0 12,vssf_2700,10,0.088,0.0,0.08,0.44,quiet,0,2,0,0,
