fen,src,phase_score,our_total,our_ks,sf11_total,sf11_ks,geo_class,kzone_w,kzone_b,in_check_w,in_check_b,sf18
1k1r3r/p1pbbpp1/Bp1qpn2/nP5p/R7/2PP1NNP/4QPP1/2B1R1K1 b - - 2 22,vssf_2400,0,-0.596,0.0,0.47,0.45,quiet,0,1,0,0,
8/1pp2ppp/p7/6PP/1P3P2/Pk2K3/8/8 w - - 1 36,vssf1_def_d8,128,-0.97,0.0,-1.52,0.54,quiet,0,1,0,0,
8/8/8/8/6r1/1K6/3k4/8 w - - 12 95,vssf1_win_d8,117,-10.64,0.0,-53.69,0.0,quiet,2,1,0,0,
8/5pk1/4p1p1/p5Pp/7P/P7/r3B3/4K3 w - - 2 56,vssf1_win_d8,112,-8.502,0.0,-5.42,-1.71,quiet,1,1,0,0,
8/1p6/p5p1/2QpB2p/P5q1/1k1P4/6P1/7K w - - 0 39,vssf1_win_d8,80,4.693,0.0,3.95,7.5,ks,1,3,0,0,
3n1k2/2R5/1p2p2p/p1p2p1B/2P1b3/4P3/PP3PPP/6K1 b - - 2 24,vssf1_win_d8,101,5.158,0.0,3.69,1.32,quiet,1,2,0,0,
5k2/R7/3n1p2/3P1b1P/pP3Pp1/P1r3P1/6B1/6K1 w - - 5 50,vssf_2400,90,2.098,0.0,-1.56,0.46,quiet,0,1,0,0,
4k3/2q2p2/B1p3rp/3n4/P2Pp2B/Q3P1R1/1P5K/8 w - - 1 39,vssf1_win_d8,48,4.442,0.36,2.95,-0.69,quiet,2,2,0,0,
6r1/1p2k3/3np1r1/4n3/1P2PR2/8/P3N3/1B1RK3 w - - 9 41,vssf_2400,64,2.275,0.0,0.28,0.24,quiet,0,2,0,0,
3k1b1r/2n1p1p1/pr6/1p1n2p1/6BP/P2Q2P1/1P3P2/2B2K1R w - - 1 26,vssf_2400,48,4.53,0.0,5.29,1.51,quiet,0,1,0,0,
2k2b1r/1ppr2pp/p1n2p2/3p1b2/3P1B1P/P3P1P1/1P3PB1/2R2KNR b - - 4 17,vssf_2400,53,0.256,0.0,0.46,0.21,quiet,0,1,0,0,
r4rk1/pp2bpp1/2p2n1p/P2N4/1PP5/3BP1Pb/1q3P1P/R2QK2R w KQ - 0 16,vssf1_win_d8,16,-0.155,0.0,-3.82,0.04,quiet,2,1,0,0,
2r1r1k1/ppn2ppp/2n5/3q4/1PNp2Pb/P6Q/3B1P2/1KR2BR1 b - - 1 26,vssf_2400,10,-4.135,0.0,-3.0,-1.38,quiet,0,0,0,0,
2b1k1nr/P3bp2/5qp1/6Np/1nPpB3/3P4/5PPP/RNBQ1RK1 b k - 2 18,vssf1_win_d8,10,10.605,0.0,8.3,0.0,quiet,1,1,0,0,
r2r2k1/ppp1n1bp/1n2bpp1/4p3/Pq2P2P/2N1BNP1/1PP2PB1/R1QR2K1 w - - 2 15,vssf_2400,0,-0.535,0.0,0.67,0.21,quiet,0,0,0,0,
8/1pp1kppp/p7/8/1P4PP/P3KP2/8/8 b - - 0 32,vssf1_def_d8,128,-0.916,0.0,-1.21,-0.06,quiet,0,0,0,0,
8/4k3/3R4/ppp4P/2P1p1P1/1P2K3/P7/8 b - - 0 48,vssf1_win_d8,117,10.762,0.0,7.5,0.0,quiet,2,1,0,0,
8/1pp1k3/3p4/p1nP4/P1P1P1pp/2N5/4K3/8 w - - 0 45,vssf1_win_d8,117,-7.151,0.0,-6.86,0.01,quiet,2,1,0,0,
8/1p1k4/p5p1/2pp3p/6q1/1PBP4/P5P1/5Q1K w - - 0 32,vssf1_win_d8,80,1.994,0.0,1.91,0.08,quiet,1,0,0,0,
6k1/2p3Pp/1p1p1r2/p2R4/2P1rPR1/P7/1P6/3K4 w - - 2 36,vssf1_win_d8,85,1.637,0.0,-1.0,-0.09,quiet,1,2,0,0,
5k2/8/R2n1p2/3P3P/pP2bPp1/P3K1P1/2r3B1/8 b - - 14 54,vssf_2400,90,0.324,0.0,-2.23,-11.12,ks,4,0,0,0,
r5k1/1pq3p1/2p3pr/p3P3/4PP1p/P1Q4P/1P4P1/3R1RK1 w - - 1 26,vssf1_win_d8,42,2.617,0.0,3.58,0.85,quiet,0,0,0,0,
6k1/1r4pp/5p2/p2pp3/2b3RP/5P2/q2B2P1/3BK2R w - - 2 33,vssf1_win_d8,58,-8.138,-2.34,-7.36,-1.67,quiet,2,1,0,0,
3n2r1/1p2k2p/3rp3/4n3/3NP2R/6P1/PP2K3/1B1R4 w - - 3 29,vssf_2400,64,2.491,0.0,1.39,0.61,quiet,1,1,0,0,
5b1r/2k1p1p1/pn1r4/1p1n2BP/4Q1B1/P5P1/1P3PK1/3R4 b - - 6 32,vssf_2400,48,8.286,3.42,10.05,6.92,quiet,0,1,0,0,
2k2br1/1ppr3p/p1n2pp1/3p1b2/3P1B1P/P3P1PB/1P3P2/2R2KNR w - - 0 19,vssf_2400,53,-0.035,0.0,0.16,0.23,quiet,0,1,0,0,
rn1kr3/1pp3qp/p2np3/3Pbp2/3P1P2/BP6/P2NQ1PP/R3R1K1 w - - 0 19,vssf1_win_d8,16,0.126,0.0,-3.08,-0.34,quiet,1,0,0,0,
2b1qr2/r3n1pk/1npQ3p/1p1pPp2/p2P4/P1PBBN2/5PPP/RR4K1 b - - 7 21,vssf_2400,10,4.102,0.0,1.65,0.96,quiet,0,2,0,0,
q2r2k1/1bp2p1p/2n1p1pP/2b1P3/2N5/1nP2N2/rRQ2PP1/4KB1R b K - 7 27,vssf1_win_d8,5,-6.922,0.0,-9.91,-3.85,ks,3,1,0,0,
r1b1k2r/ppp1bpp1/2npqn2/1B2p2p/8/BPN1PP2/P1PP2PP/R1Q1K1NR w KQkq - 1 9,vssf_2400,0,-0.215,0.0,-0.34,-0.26,quiet,0,0,0,0,
8/1p6/p4k2/3P2p1/8/P1K4p/8/8 b - - 1 53,vssf1_def_d8,128,-6.204,0.0,-6.22,0.11,quiet,0,1,0,0,
8/8/7p/p2p1p1K/5P1P/1k3P2/1P6/7R b - - 0 36,vssf1_win_d8,117,8.846,0.0,6.9,-0.03,quiet,2,1,0,0,
8/1pp5/1n3k2/2pP4/p3P3/6NK/7p/8 w - - 0 52,vssf1_win_d8,117,-7.645,0.0,-6.36,0.57,ks,0,3,0,0,
4n1k1/3R4/r4p2/p2K2pp/3N4/PP2P1PP/5P2/8 b - - 10 43,vssf1_win_d8,96,5.585,0.0,3.81,-0.1,ks,3,1,0,0,
8/6r1/3k3p/R2p1p1P/Pb1n4/6P1/1K6/4q3 b - - 2 47,vssf_2400,74,-34.419,0.0,-20.76,0.0,ks,3,1,0,0,
2b2q1k/8/2Q1p1rp/p6R/P2P1pP1/5P2/1PP3K1/7R w - - 0 36,vssf1_win_d8,48,3.506,-1.98,5.94,-0.21,quiet,1,0,0,0,
5kr1/3P1p1p/pp5q/b1p1R3/6n1/3P1Q2/1PP3P1/R5K1 b - - 0 29,vssf1_win_d8,42,-1.841,1.98,4.2,6.64,ks,2,3,0,0,
4r1k1/1p3rp1/5n2/2P2b2/p2Ppb2/P7/1P2QPPP/R4RK1 w - - 1 25,vssf_2400,48,2.921,0.0,2.23,0.27,quiet,1,0,0,0,
3rkb1r/4np2/p4Bp1/1p1pP2p/n1pP4/N1P5/P4PBP/2Q2K2 b k - 9 23,vssf_2400,53,-2.226,0.0,-0.06,0.16,quiet,0,1,0,0,
r1bq2k1/ppp1r1pp/n2p4/6B1/4PQ2/5N2/PP3PPP/R3K2R w KQ - 0 16,vssf_2400,21,1.043,0.0,0.83,0.91,quiet,0,1,0,0,
4k2r/1p1r1p2/p1n1p2p/3n1qp1/P1NPp2R/Q3P3/1P2BB2/2R2K2 w k - 0 24,vssf1_win_d8,16,-2.036,-2.52,0.29,-1.34,quiet,1,1,0,0,
2b1qrk1/r3n1p1/1npQ3p/1B1pPp2/p2P4/P1P1BN2/5PPP/RR4K1 b - - 0 22,vssf_2400,10,2.72,0.0,1.89,0.54,quiet,0,0,0,0,
1n2k2r/7p/1pp1b1p1/r2q1p2/Pb1Pn3/3B1N2/3BRPPP/RN1Q2K1 b k - 1 16,vssf_2400,0,-0.058,0.0,0.65,0.46,quiet,1,0,0,0,
8/p3pp2/1p6/3Pk3/2K3Pp/P6P/1P6/8 b - - 4 47,vssf1_def_d8,128,0.339,0.0,-1.31,0.08,ks,2,3,0,0,
8/8/7P/3p1pK1/5P2/5P2/pk6/7R b - - 0 40,vssf1_win_d8,117,9.655,0.0,8.17,1.0,quiet,1,1,0,0,
8/1P4k1/1NK4p/6PP/5P2/1r6/8/8 b - - 2 77,vssf1_win_d8,112,6.478,0.0,3.55,-1.46,quiet,1,2,0,0,
8/6p1/p7/1p1k2p1/3P2P1/P7/2r2P1b/R3K3 w - - 0 32,vssf1_win_d8,101,-8.009,0.0,-6.62,-0.15,quiet,1,1,0,0,
6r1/2kn1RP1/p7/1bp1N3/4p2p/PP6/6PP/3R2K1 w - - 1 40,vssf1_win_d8,80,6.717,0.0,7.62,0.8,ks,1,3,0,0,
6k1/1p6/1r1q2p1/1Pb2B2/8/4pQP1/PB1P3P/5RK1 w - - 0 32,vssf1_win_d8,48,9.759,2.34,6.61,1.83,quiet,1,1,0,0,
4r1k1/1pb2rp1/2b5/2Pn4/p2Pp3/P5PP/1P2QP2/R4RK1 w - - 9 36,vssf_2400,48,3.2,0.0,2.21,0.23,quiet,1,0,0,0,
r3kb1r/3nnp2/p5p1/1p1pP2p/2pP4/N1P1B3/P1Q2PBP/5K2 b kq - 1 19,vssf_2400,53,-2.138,0.0,-1.19,-0.11,quiet,0,0,0,0,
r1b1r1k1/1p3pp1/2pq4/p2pn1Pp/PP5P/1Q1B4/2PPN1P1/R4K1R w - - 0 25,vssf_2400,21,-0.922,0.0,-2.02,-0.48,quiet,0,1,0,0,
r3r1k1/pp3p1p/2nP1qp1/4pb2/2B5/2P2N1P/PP2QPP1/RN2K2R b KQ - 0 14,vssf1_win_d8,16,3.582,0.0,3.64,0.31,quiet,0,1,0,0,
2kr3r/p3ppbp/2p3pn/3b4/q1p1B3/5N1P/P3QPP1/1RB2RK1 b - - 0 18,vssf_2400,10,-3.006,0.0,-0.76,2.41,quiet,0,1,0,0,
2r2rk1/pbq2ppp/1p2pn2/4n3/1bPP4/3B2P1/PB1NQP1P/1R1R2K1 w - - 0 18,vssf1_win_d8,5,-2.174,0.0,-4.92,-0.91,quiet,1,1,0,0,
1nbq1rk1/1p3pbp/r1pp1np1/4p3/2P1P3/1QNP1N2/P2BBPPP/1R3RK1 b - - 2 13,vssf_2400,0,1.306,0.0,0.61,0.23,quiet,0,0,0,0,
2k5/2p2p2/2p2p1p/p7/3P2K1/8/PP3P1P/8 b - - 3 29,vssf1_def_d8,128,-0.566,0.0,-0.86,-0.53,quiet,2,0,0,0,
8/6k1/p3ppp1/8/5P1p/2P5/2p5/3NK3 w - - 0 48,vssf1_win_d8,122,-5.592,0.0,-5.5,-0.09,quiet,1,0,0,0,
8/8/1p6/p7/P1B5/4k3/1K2np2/8 w - - 2 70,vssf1_win_d8,117,-6.954,0.0,-6.29,0.28,quiet,1,1,0,0,
8/3k4/N7/5R1p/3Pn1p1/P3P1P1/r6P/5K2 b - - 6 49,vssf1_win_d8,96,5.92,0.0,2.1,-2.14,quiet,2,1,0,0,
3r4/2p1b1p1/2P1P1kp/p5p1/P5P1/1PR1RP2/7r/6K1 b - - 1 55,vssf_2400,80,-1.561,0.0,-4.44,-2.68,quiet,1,2,0,0,
r5r1/pp3p1p/4p3/2kn2B1/4R2P/2P3P1/PK3P2/3R4 b - - 4 23,vssf1_win_d8,74,0.834,0.0,0.52,1.26,ks,1,3,0,0,
6k1/1p6/1r4p1/1Pbq4/4B3/6P1/PB1PQ2P/5R1K b - - 2 34,vssf1_win_d8,48,11.009,3.42,10.17,4.01,quiet,1,2,0,0,
1k3b2/6p1/pn1rp3/3n3P/p3Qr2/5BP1/1P3P2/3R3K w - - 0 38,vssf_2400,53,2.102,0.0,-0.79,0.55,quiet,0,0,0,0,
4kbr1/1pB2R2/r1n3p1/p1pR2N1/7p/2P1K1PB/PP2P2P/8 w - - 4 27,vssf_2400,58,13.723,3.69,14.17,13.23,ks,2,5,0,0,
2kr3r/p1q5/4pp1n/1p6/2Np1bPp/P1PQ4/1P2B1PP/1K2R2R w - - 0 24,vssf_2400,21,-3.031,0.0,-0.07,0.96,quiet,1,0,0,0,
3r2k1/pp2rp2/2n3p1/4qb1p/2B1p3/N1P4P/PP2QPP1/R3RNK1 w - - 4 20,vssf1_win_d8,16,4.325,0.0,3.39,0.2,quiet,1,1,0,0,
r1bq1rk1/nppp1pp1/3b3p/p2Pp3/8/P2P1NP1/1PQ1PPBP/R1B1K2R w KQ - 1 11,vssf_2400,10,0.581,0.0,0.32,-0.07,quiet,0,0,0,0,
r1b1k2r/ppq2pbp/n2pp1p1/2P5/N1P2n2/5NPP/PP2PPB1/R2Q1RK1 w kq - 0 14,vssf1_win_d8,5,-1.699,0.0,-2.44,-0.15,quiet,1,0,0,0,
2bq1rk1/1p3pbp/r1pp1np1/2n1p3/2P1P3/2NP1N2/P2BBPPP/1R1Q1RK1 w - - 5 15,vssf_2400,0,0.302,0.0,-0.32,0.19,quiet,0,0,0,0,
8/8/8/3p4/8/3k4/5K2/8 w - - 0 72,vssf1_def_d8,128,-2.659,0.0,-47.96,0.0,quiet,1,1,0,0,
8/6k1/p3ppp1/8/5P1p/2P5/2pK4/3N4 b - - 1 48,vssf1_win_d8,122,-8.327,0.0,-2.46,-0.32,quiet,1,0,0,0,
8/3k1p2/pp3P2/4K1p1/2P2n2/P4P2/2B5/8 w - - 3 33,vssf1_win_d8,117,-0.169,0.0,-0.08,0.18,ks,4,2,0,0,
8/7k/5Q2/8/K4N2/4P3/8/1q6 b - - 0 84,vssf1_win_d8,80,8.675,0.0,4.53,4.08,quiet,1,2,0,0,
4k3/R7/4N3/p2p1p1p/3Pn1p1/Pr2P1P1/5PKP/8 w - - 4 42,vssf1_win_d8,96,1.492,0.0,1.98,9.11,quiet,2,2,0,0,
5k2/6q1/6pQ/p2B1p2/1p2n2p/P7/8/3R3K w - - 4 52,vssf_2400,64,-1.094,-0.63,3.23,3.97,quiet,0,2,0,0,
6r1/5p1p/2r1p3/ppkn2B1/4R2P/P1P3P1/2K2P2/1R6 w - - 6 28,vssf1_win_d8,74,0.533,0.0,-0.03,0.86,ks,1,4,0,0,
1r2r1k1/6pp/5p2/8/2qp2PP/3Q1Pn1/P2R4/R5K1 b - - 1 37,vssf1_win_d8,37,-5.109,1.26,-4.6,-0.84,quiet,1,1,0,0,
4kr2/4q1p1/p3p3/1p1pP1pp/n1rP4/R1P1R1BP/P4PP1/2Q3K1 b - - 1 39,vssf_2400,32,0.864,0.0,-0.71,1.01,quiet,1,0,0,0,
4kb1r/1p3ppp/r1n5/p1pRP1N1/5B2/2P3PB/PP2PK1P/7R w - - 1 18,vssf_2400,58,8.276,1.89,9.68,4.09,ks,0,3,0,0,
2kr3r/ppq5/4pp1n/2p5/2NP1bPp/P1PQ4/1PK3PP/4RB1R w - - 2 22,vssf_2400,21,-2.013,0.0,1.15,0.23,quiet,1,0,0,0,
1r2k2r/4p1bp/n1n1p1p1/1p1q2N1/3PB3/BP5P/5PP1/3Q1RK1 w k - 0 23,vssf1_win_d8,21,3.061,1.44,-2.62,2.03,quiet,0,2,0,0,
r1bq1rk1/1ppp1pp1/3b3p/pn1Pp3/P7/3PBNP1/1PQ1PPBP/R3K2R b KQ - 0 12,vssf_2400,10,3.073,0.0,0.36,-0.25,quiet,0,0,0,0,
r1bqk2r/2pn1pp1/pp2pn1p/3p4/PP1P1b2/2PBPN2/3N1PPP/R2QK2R w KQkq - 0 10,vssf1_win_d8,5,-2.6,0.0,-2.57,0.0,quiet,0,0,0,0,
rnb1kb1r/ppqn1p1p/4p1p1/4p1N1/2B2P2/2P4P/P5P1/RNBQK2R w KQkq - 1 12,vssf_2400,0,-0.234,1.62,-2.21,0.51,quiet,0,2,0,0,
8/6k1/1pp1p2p/p3P1p1/3P4/6PP/8/5K2 b - - 0 48,vssf1_def_d8,128,-5.301,0.0,-3.79,-0.24,quiet,0,1,0,0,
8/2B5/P4k2/2p3pp/5p2/1P3P2/6PP/6K1 b - - 0 48,vssf1_win_d8,122,9.118,0.0,8.38,0.53,quiet,0,1,0,0,
3k4/4p3/1p4r1/1N1P4/6p1/6K1/P4R2/8 b - - 2 39,vssf1_win_d8,101,3.103,0.0,3.24,0.38,quiet,2,1,0,0,
2r1b3/8/k1p5/2BP4/2PK2p1/8/1R3PP1/8 w - - 3 57,vssf1_win_d8,96,5.457,0.0,3.93,5.08,ks,1,3,0,0,
5k2/8/p5p1/1pnB1p2/5q1p/P7/4Q1K1/3R4 w - - 0 45,vssf_2400,64,-8.187,-3.45,1.67,-2.08,quiet,2,2,0,0,
3k1br1/2p2pnp/p5p1/p2Pp3/4P1P1/2N4P/PPP5/R3KR2 w Q - 0 20,vssf1_win_d8,80,5.536,0.0,4.01,0.55,quiet,0,0,0,0,
3rk3/4p1bN/6p1/1p3r2/1n1PQ3/1P5P/5PP1/5RK1 w - - 0 29,vssf1_win_d8,58,5.814,1.89,4.35,2.13,quiet,1,2,0,0,
3rrk2/Q2n1pp1/1p3n2/2p4p/2P5/3pP1PP/5PB1/3b1NK1 w - - 0 33,vssf_2400,58,-7.816,0.0,-6.37,-0.21,quiet,0,0,0,0,
5b1r/1p2k2p/r1n1B1p1/p1pR2N1/5B2/2P1K1P1/PP2P2P/7R b - - 0 21,vssf_2400,58,20.937,4.56,13.86,13.16,ks,2,4,0,0,
2kr3r/p1q5/4pp1n/1p6/2NpQbPp/P1P5/1P2B1PP/1K2R2R b - - 1 24,vssf_2400,21,1.456,3.6,2.34,3.69,quiet,1,1,0,0,
r4rk1/pbp2ppp/1p1bpq2/8/2n1P3/PPN3P1/1B1PQP1P/2KR3R w - - 0 16,vssf1_win_d8,16,-2.676,0.0,-4.51,-1.15,quiet,1,0,0,0,
3r1rk1/p1q2pb1/1p3npp/4p3/3n4/2NPB1P1/PPP2PNP/R2QR1K1 b - - 2 17,vssf_2400,10,0.522,0.0,-0.03,-0.37,quiet,0,0,0,0,
r2r2k1/2b1qppp/1nb1pn2/p2p4/3P4/P2BPN2/1PQB1PPP/R3R1K1 w - - 0 17,vssf1_win_d8,5,-2.589,0.0,-2.85,0.0,quiet,1,1,0,0,
rnb1kb1r/ppqn1p2/4p1pp/4p1N1/2B2P2/2P4P/P3Q1P1/RNB1K2R w KQkq - 0 13,vssf_2400,0,-2.479,0.0,-2.96,0.15,quiet,0,1,0,0,
8/8/8/P7/3p1kp1/7p/5K1P/8 b - - 0 54,vssf1_def_d8,128,-4.179,0.0,-1.64,-0.51,ks,4,2,0,0,
8/8/8/2k1K3/p7/P6R/8/8 w - - 3 61,vssf1_win_d8,117,10.328,0.0,4.98,1.62,quiet,1,2,0,0,
8/8/8/3kbP1R/8/p7/P3KPPP/8 b - - 0 39,vssf1_win_d8,112,10.263,0.0,6.51,0.17,quiet,0,1,0,0,
3R4/5k2/2N4P/2p5/4r1P1/8/2K5/8 w - - 2 63,vssf1_win_d8,101,9.473,0.0,5.6,3.81,ks,0,3,0,0,
8/7p/3k3P/2p3R1/B3p3/4p3/1P3r2/1K3b2 b - - 2 42,vssf1_win_d8,96,-6.592,0.0,-4.13,0.28,quiet,1,2,0,0,
1k6/7B/2pN1P1p/p2p4/n6B/2b4P/2K5/8 b - - 0 38,vssf_2400,101,1.698,0.0,4.34,-0.66,quiet,2,1,0,0,
r3k3/3n4/2p3pr/pp1n1p2/2NP4/2P3QP/PP3PP1/4N1K1 w q - 0 21,vssf1_win_d8,64,5.384,1.65,2.86,2.49,quiet,0,0,0,0,
1r3k2/4qp2/1rpp1b2/Q4B2/2PRpP2/1P2P1P1/p6P/K1N5 b - - 1 35,vssf_2400,37,-0.567,0.0,-2.13,1.32,quiet,1,0,0,0,
r1bk1r2/ppp4p/q4pp1/2nNp3/4P2Q/1P3R2/1PP2PPP/2K4R w - - 5 21,vssf_2400,26,-2.524,0.0,-3.67,-0.9,quiet,0,1,0,0,
2kr3r/p1q5/4pp1n/1p6/2N1Q1Pp/P1p3P1/1P1bB2P/1K2R2R w - - 1 26,vssf_2400,21,1.376,2.7,0.43,2.47,quiet,2,1,0,0,
1r3rk1/2p1qpp1/2B2n2/3p4/1P1N3p/PQPbP1nP/6P1/R2KR3 b - - 3 23,vssf1_win_d8,16,-4.13,0.0,-7.65,-2.39,quiet,2,0,0,0,
r1b1kb1r/p1pp1pp1/2p2n2/4p2p/6q1/BPN1P1P1/P1PP1P1P/R1Q1K1NR b KQkq - 0 9,vssf_2400,10,-0.619,0.0,-1.28,-0.31,quiet,1,1,0,0,
r2q1rk1/1p1bppbp/5np1/1p1pN3/2NP4/4B1PP/PQ2PPB1/2R1K2R b K - 0 17,vssf1_win_d8,5,2.483,0.0,2.42,0.23,quiet,0,1,0,0,
r1bqk2r/pp2bp1p/1nnpp1p1/4P3/3P1P2/2NBBN1P/PP4P1/R2Q1RK1 b kq - 5 12,vssf_2400,0,1.419,0.0,2.38,0.22,quiet,0,0,0,0,
8/8/8/6p1/7p/2K5/6k1/8 b - - 0 79,vssf1_def_d8,128,-8.594,0.0,-4.56,0.23,quiet,0,0,0,0,
8/1P4k1/7p/5pp1/2P1p3/p7/P4PPP/1K5R b - - 0 40,vssf1_win_d8,117,12.191,0.0,12.95,-0.51,quiet,1,0,0,0,
6k1/8/1B3pp1/7p/4N3/4P3/5PPP/5K2 b - - 0 41,vssf1_win_d8,117,13.885,0.0,9.56,0.0,quiet,0,0,0,0,
8/8/5p2/6P1/8/7R/5rr1/4k2K b - - 0 77,vssf1_win_d8,96,-10.755,0.0,-5.11,-3.56,quiet,2,0,0,0,
5k2/7p/1pn2b2/5p2/4Pp2/2B5/PP2K2P/2R5 b - - 0 29,vssf1_win_d8,101,1.474,0.0,4.13,-0.05,quiet,1,0,0,0,
8/8/8/3N1R2/2pq4/k5K1/7r/3q4 b - - 3 103,vssf_2400,58,-35.305,-7.38,-20.71,0.0,ks,3,1,0,0,
1r6/3kp2p/4n1p1/8/p2p2P1/4B2P/PbK2P2/1R1R4 b - - 1 29,vssf1_win_d8,80,0.071,0.0,1.28,-2.91,ks,4,0,0,0,
2r3k1/ppp4p/8/4B3/r5p1/3P3P/1P3bN1/nR1K4 w - - 0 31,vssf1_win_d8,74,-10.564,0.0,-7.93,0.0,quiet,2,1,0,0,
r1b1kr2/6pp/p3p3/Np2n3/8/1p6/P2RB1PP/2KR4 w q - 0 24,vssf_2400,64,-3.467,0.0,-0.86,2.73,quiet,1,1,0,0,
5rk1/3n4/1pp3pp/2rb3P/4N1q1/2N1R3/4RPP1/2Q3K1 b - - 2 29,vssf_2400,21,-5.382,-1.26,-0.5,-0.26,quiet,2,0,0,0,
1r3rk1/2p2pp1/2B2n2/3pq3/1P1Nn2p/PQPbP2P/6P1/R1K1R3 w - - 6 25,vssf1_win_d8,16,-5.784,-1.44,-7.36,-2.55,quiet,2,0,0,0,
r1b2rk1/1pp1bpp1/p3qn2/3pp2p/1P6/P1NBPP1N/1QPP2PP/R3K2R w KQ - 1 15,vssf_2400,10,-0.055,0.0,-2.13,-0.25,quiet,0,1,0,0,
r3kb1r/ppq2p2/b2p1np1/4p1Bp/3nP3/PPN2PN1/2P3PP/R2KQ2R b kq - 6 16,vssf1_win_d8,5,-9.032,-2.52,-6.82,-2.4,quiet,2,0,0,0,
r1bq1rk1/pp2bp1p/1n1pp1p1/4P3/1n1P1P2/2NBBN1P/PP4P1/2RQ1RK1 w - - 8 14,vssf_2400,0,1.911,0.0,1.77,0.22,quiet,0,0,0,0,
8/K4pp1/1p2k3/4P3/P1P3pP/8/8/8 w - - 0 61,vssf1_def_d8,128,-1.185,0.0,-3.82,-0.49,quiet,0,2,0,0,
8/8/8/8/3k1pp1/4n3/5K2/8 b - - 3 66,vssf1_win_d8,122,-15.037,0.0,-6.9,-3.48,ks,4,1,0,0,
8/5b2/p7/P7/5Bp1/4Kp2/5PkP/8 w - - 15 82,vssf1_win_d8,117,-0.382,0.0,-0.0,-0.47,ks,3,4,0,0,
1r3k2/5p1p/2pP2p1/4P3/3nNP2/6PP/8/3K4 w - - 3 34,vssf1_win_d8,106,-5.316,0.0,-4.88,-1.32,quiet,1,1,0,0,
5k2/2R4p/8/1p2BP2/5p2/3nbK2/PP5P/8 w - - 8 37,vssf1_win_d8,101,6.246,0.0,6.35,6.25,ks,3,2,0,0,
r7/1p1R2R1/kprNp3/2p1Pp2/P1K3p1/7p/7P/8 b - - 12 53,vssf_2400,80,-2.029,0.0,0.42,0.33,ks,5,4,0,0,
5k1r/3b2b1/p4p1p/3NQ3/3pP2P/3P4/PP3RP1/6K1 b - - 0 30,vssf1_win_d8,69,14.334,0.0,10.51,0.0,quiet,0,2,0,0,
6k1/8/br1p2pp/5p2/1n5P/RN2P1P1/2r2P2/2NK3R b - - 4 33,vssf_2400,64,-2.622,-1.02,-2.09,-2.56,ks,3,0,0,0,
r1b1r1k1/3n1p1p/p5p1/4p3/PpPbN3/1B2B2P/5PP1/3RR1K1 b - - 1 24,vssf_2400,53,-0.547,0.0,-0.47,0.3,quiet,0,0,0,0,
B1bq1rk1/p1p1bppp/8/8/8/PQ1n1N2/1P1P1PPP/R1B2K1R b - - 2 14,vssf1_win_d8,21,7.322,0.0,3.71,-0.51,quiet,1,1,0,0,
1rb1k2r/pp6/1qn1p1pp/8/4NR2/b1P4P/PnKNQ1P1/5R2 w k - 3 24,vssf_2400,10,-13.703,-0.72,-9.39,0.0,ks,3,1,0,0,
r1bqkbr1/pp3p2/7p/1N1pn1pn/2pP4/P3P2P/1PP1BPPB/R2Q1RK1 w q - 0 14,vssf1_win_d8,5,-0.506,0.0,0.1,0.08,quiet,0,0,0,0,
1r3rk1/1p1bbp1p/1q2p1p1/p1n5/1nBN4/4PN2/P3QPPP/1R1RB1K1 b - - 1 20,vssf_2400,0,0.276,0.0,-0.02,0.3,quiet,0,0,0,0,
8/6k1/7p/1P4p1/8/6PP/8/6K1 w - - 0 40,vssf1_def_d8,128,2.883,0.0,2.15,0.17,quiet,0,0,0,0,
8/8/7p/6p1/1Pk2pP1/2n4P/5K2/8 b - - 6 56,vssf1_win_d8,122,-10.113,0.0,-5.51,-1.18,quiet,2,1,0,0,
8/8/p1bB4/P7/5Kp1/5p1k/5P1P/8 b - - 26 87,vssf1_win_d8,117,-0.725,0.0,-0.15,-0.1,ks,3,3,0,0,
8/3pp1kp/6p1/3P1p2/4b3/6n1/6BP/6K1 w - - 0 40,vssf1_win_d8,112,-8.987,0.0,-7.55,0.0,quiet,2,0,0,0,
8/3q3k/1pr5/p3Qp1p/P1p1p3/4P3/2R3R1/6K1 b - - 3 54,vssf_2400,53,4.579,0.48,2.75,0.4,quiet,0,2,0,0,
r3k3/P4rQ1/2p1pp1p/4q3/2P5/6P1/1P2PP1P/R2R2K1 w - - 5 36,vssf1_win_d8,42,6.555,2.88,6.79,3.82,quiet,0,2,0,0,
6k1/q5n1/4Rp1p/PRp3n1/2Pp2QN/3P2P1/5P1P/6K1 b - - 0 45,vssf1_win_d8,48,10.275,0.0,10.14,0.0,quiet,0,0,0,0,
6k1/8/br1p2pp/3n1p2/3N3P/R3P1P1/5r2/2NK3R w - - 2 35,vssf_2400,64,-2.63,0.0,-2.38,-2.12,quiet,2,0,0,0,
1rbqk3/p3ppb1/np6/4N3/P2P1P2/4P3/2Q2P2/R3K2B b Q - 2 24,vssf_2400,37,-0.861,1.44,-1.04,3.04,quiet,0,1,0,0,
r1r4k/p2q1p2/Ppn1pPpp/1N1p1n2/6P1/5N1P/1QR2P2/2R3K1 w - - 1 24,vssf_2400,21,-2.917,0.0,-0.08,0.26,quiet,0,1,0,0,
