tag,ply,pieces,our_pawns,sf_pawns,gap_pawns,our_depth,fen
ship_blitz,52,21,-1.766,1.600,-3.366,12,6k1/pp1bb2p/1q2p3/3p1Qp1/8/2rN4/PPP2P1P/3RR1K1 w - - 0 27
ship_standard,39,25,-2.370,0.990,-3.360,10,1r2r1k1/p1pn1pbp/4b3/q1p1pP2/8/P1N1B3/1PPQB2P/2KR3R b - - 0 20
placement_bundle,16,31,-0.819,2.540,-3.359,10,r1b1kb1r/pp1p1ppp/2n1pn2/1N6/1qNp1B2/4P3/PPP2PPP/R2QKB1R w KQkq - 4 9
placement_bundle,57,18,1.025,-2.330,3.355,12,4r1k1/3q2pp/p1r5/8/P3bB1P/6P1/1P3P1R/2R1Q1K1 b - - 6 29
placement_bundle,60,24,-1.792,1.560,-3.352,9,r4rkb/1b1p3p/4p1p1/1N1P1p2/q7/Pp1R4/2nBPPB1/1R1Q1K2 w - - 4 31
placement_bundle,33,25,0.769,-2.580,3.349,9,1r3rk1/Qp2b1pp/4qn2/2p1p2P/2P2p2/B3P3/P2PBPP1/1R2K2R b K - 0 17
placement_bundle,34,24,-2.379,0.970,-3.349,11,r1b1k1nQ/1p3p1p/p2p2q1/P1p1p3/8/4N3/1PnPKPP1/2B2B1R w q - 4 18
placement_bundle,59,23,2.179,-1.170,3.349,11,4k2r/r1p1npp1/1b6/4PnP1/pPPp1N2/B4N2/p4P2/R2R2K1 b - c3 0 30
placement_bundle,52,24,-0.699,2.650,-3.349,9,r3k3/2q2pB1/pp1pB3/n1p1n2r/4PQ1N/2PP2P1/2b2P2/1R2R1K1 w q - 0 27
hlmr_more1_blitz,42,20,-1.777,1.570,-3.347,12,r5k1/p1pR1ppp/2pbr3/8/5P1P/8/bPP2BB1/2K2R2 w - - 5 22
placement_bundle,28,27,-1.024,2.320,-3.344,10,rn1q2k1/pp1b2Pp/2p2r2/P2nN3/5p2/P1pP4/2P1B1PP/R1BQ1RK1 w - - 3 15
placement_bundle,39,27,1.322,-2.020,3.342,9,r1br2k1/p5pp/1pp1pn2/2n2P2/P1PB4/3BP2P/2QPNP1q/R3K1R1 b Q - 2 20
placement_bundle,58,24,-1.590,1.750,-3.340,13,3rr1k1/p4ppp/P4nn1/1Pp2qB1/2Pp4/3P1BP1/2Q2P2/4RK1R w - - 1 30
placement_bundle,18,30,-2.379,0.960,-3.339,12,r3kb1r/1p2ppp1/1pp2n1p/3pNb2/1nPP2P1/7P/PP1NPP2/R1B1KB1R w KQkq - 1 10
nmp_standard,44,24,-1.358,1.980,-3.338,14,2rr1nk1/pp1bb3/4p3/3pPp2/3N3p/3B1Np1/PPP4P/5KRR w - - 0 23
placement_bundle,70,15,-1.096,2.240,-3.336,11,4k1r1/p3pp2/3pb2p/1P6/6P1/8/1R2RN1K/3r4 w - - 0 36
placement_bundle,34,25,-1.326,2.010,-3.336,10,r3k2r/1pp2ppp/p7/2bn1b2/5P2/P4N2/1PnBB1PP/2RN1R1K w kq - 3 18
placement_bundle,46,22,-1.635,1.700,-3.335,10,2r3k1/3n1ppp/3bp3/pN1p4/8/P1rnPNPQ/4KP1P/7R w - - 4 24
placement_bundle,64,19,-2.334,1.000,-3.334,11,2Q2bkr/7p/3p1np1/pp1P4/2P5/P6P/1q3BP1/4R1K1 w - - 0 33
hlmr_more1_lightning,63,19,-0.751,2.580,-3.331,8,r5k1/1p2Qp2/2p3pp/p2r4/3B3P/3KP3/PP3q2/2RR4 b - - 1 32
ship_lightning,60,21,2.068,-1.260,3.328,10,2r3k1/5ppp/2p2q2/2Q1p3/2PPP1P1/P1P1BP2/2r4P/R5K1 w - - 1 31
jun6_blitz,13,32,1.800,-1.520,3.320,13,rnbq1rk1/ppp1ppbp/3p2p1/8/2PPP1n1/2NBBN2/PP3PPP/R2QK2R b KQ - 5 7
placement_bundle,28,29,-1.180,2.140,-3.320,9,r3r1k1/p1p2ppp/1p1ppq2/8/2PnbBnP/5NP1/PP1QPPB1/2R1K2R w - - 0 15
placement_bundle,53,22,0.889,-2.430,3.319,11,6k1/1Brnqppp/1p1br3/8/3P1P2/6P1/Pp3BQP/1R3RK1 b - - 1 27
hlmr_more1_lightning,62,24,-0.626,2.690,-3.316,9,3r1r1k/1pp4p/p3p3/3p1qP1/PP1Pn2P/2P1Q1P1/5p1K/R4R1B w - - 1 32
placement_bundle,24,28,-2.030,1.280,-3.310,11,rnbq1rk1/pp4pp/2p2P2/P2n4/5p2/P1pP1N2/2P1B1PP/R1BQ1RK1 w - - 1 13
placement_bundle,43,24,0.803,-2.500,3.303,9,3r1rk1/p6p/q3b1pb/2Q2p2/1p1B3N/1P1PP1PP/P4P2/2R2K1R b - - 0 22
placement_bundle,58,19,-1.159,2.140,-3.299,9,2r2k2/3n3p/rp2p2P/p2q1pB1/3P4/P1PR4/2Q5/3K2R1 w - - 4 30
hlmr_more1_lightning,44,24,-0.767,2.530,-3.297,12,4r1k1/1pp3pp/p1n1p3/P3p3/1PQ2rP1/2P1p2P/3N1q2/RNK2R2 w - - 0 23
hlmr_more1_lightning,44,20,-0.984,2.310,-3.294,11,4q1k1/ppp2r1p/3p2p1/4pP2/2n1P2Q/2P4P/P6K/3R1R2 w - - 4 23
placement_bundle,32,25,-2.454,0.840,-3.294,12,r3k2r/pp3ppp/2p2n2/4p3/Qbq5/2N2PP1/P2P1P1P/R1B1K2R w KQkq - 0 17
ship_standard,42,26,-0.893,2.400,-3.293,12,r1q1r2k/2pb1p1p/3p2p1/p1pNbP2/4P1R1/1PPQB3/P5PP/3R2K1 w - - 1 22
placement_bundle,62,17,-0.909,2.380,-3.289,11,2bqrk2/5p2/p3pN2/2RPQ3/3P4/4P1P1/4KP2/7r w - - 7 32
placement_bundle,78,14,-1.398,1.890,-3.288,12,8/5R2/1p3p1k/p3bK1P/2p4P/P5r1/1P5R/8 w - - 0 40
placement_bundle,39,29,0.875,-2.410,3.285,11,r2r2k1/1p1b1pbp/1q1p1np1/pP1Pp3/PBP5/1Q1B1N1P/4NPP1/R4K1R b - - 0 20
hlmr_more1_lightning,61,26,-1.283,2.000,-3.283,9,2r1k2r/pp2p1b1/6p1/n1pPNbp1/2P5/qP2Q1P1/P2B1P1P/2RR2K1 b - - 0 31
hlmr_more1_lightning,42,20,-1.088,2.190,-3.278,8,4q1k1/ppp4p/3p1rp1/4pP2/2n1P3/2P3QP/P6K/3R1R2 w - - 2 22
stack_lightning,53,26,2.066,-1.210,3.276,8,3qr1k1/1p1n2bp/2p3p1/p2pPr2/P1PP1n2/1PN1BN2/7P/1R2RQ1K b - - 5 27
away_lightning,46,24,-0.588,2.680,-3.268,10,2r2rk1/1p1b3p/p3p1pb/3pnp2/PQ1N4/1PR1P1P1/4P2P/4KR2 w - - 6 24
hlmr_more1_lightning,42,20,-0.713,2.550,-3.263,9,1r2bk1r/p1p2p2/3p4/6p1/2B1Q3/q5P1/P1PK2PP/5R1R w - - 2 22
placement_bundle,35,24,0.993,-2.270,3.263,11,r1bqr1k1/p1b2ppp/p4B2/8/1P5P/P2BP3/2QP1PP1/R3K2R b KQ - 0 18
placement_bundle,94,18,-0.573,2.690,-3.263,11,3Br1k1/3n1ppp/8/p1p5/7Q/2q2P2/R1r3PP/3R1K2 w - - 0 48
placement_bundle,42,25,-2.203,1.060,-3.263,10,3rr1k1/2n4p/bp1pq1p1/p1p5/2P5/P2QPN1R/1b1BNPP1/2R1K3 w - - 0 22
placement_bundle,91,15,1.758,-1.500,3.258,17,R7/5pk1/1p3r1p/1P3N1P/2Pp2p1/3P4/3KP3/8 b - - 0 46
hlmr_more1_lightning,78,19,-1.416,1.840,-3.256,10,4r1k1/6pp/2p2p2/2Pp4/p2P2P1/R4P2/R2Q1K1N/1q2r3 w - - 1 40
ship_lightning,42,27,-0.786,2.470,-3.256,9,r4rk1/1p3pp1/p1n1b2p/q2Np1B1/2Q1N1n1/b5P1/1P2PPBP/2RR2K1 w - - 0 22
placement_bundle,108,18,2.255,-1.000,3.255,10,2r4k/5qpp/3Qb3/3p4/1B1Pp3/NP2P3/P5p1/1K1R4 w - - 1 55
placement_bundle,43,27,1.822,-1.430,3.252,9,5rkr/2q1n1p1/p3p3/np1bPpQB/2pP4/1P3NN1/P1P3PP/R3R1K1 b - - 2 22
placement_bundle,32,26,-0.569,2.680,-3.249,12,r3kbnr/pp2pp2/7p/2p1Pbp1/2P5/4QNB1/q3BPPP/2R2RK1 w kq - 0 17
placement_bundle,61,24,0.505,-2.740,3.245,10,4kbr1/1b3p2/1q2p2p/1P1pP3/3P1P2/rnN1Q2P/2R1B1pN/3R2K1 b - - 1 31
away_lightning,70,21,1.004,-2.240,3.244,14,3b4/p2b1pkp/2p2p2/P1Pp1P1P/PN1Pp1P1/1N2P3/1K6/8 w - - 0 36
placement_bundle,27,27,1.040,-2.200,3.240,9,r1bqk2r/p4pp1/1pP1p2p/2b1Nn2/2Pp1B2/P5P1/6BP/RN1Q2KR b kq - 7 14
placement_bundle,30,30,-1.329,1.910,-3.239,10,r3k2r/p1p2pb1/1pbppn2/2Pq3p/3P1Bp1/P1Q5/1P1NPPPP/3RKB1R w Kkq - 0 16
placement_bundle,25,31,0.967,-2.270,3.237,11,r1bq1rk1/1pp2pbp/2Np2p1/1Q2pnN1/p1P5/P2P2P1/1P2PPBP/R1B1K2R b KQ - 0 13
placement_bundle,62,17,0.656,-2.580,3.236,13,1k6/2p4p/p2r2p1/2N2p2/5P2/P4BP1/1P5P/1r4BK w - - 1 32
placement_bundle,34,25,-1.756,1.480,-3.236,11,2r1k2r/1bqp1ppp/p3pn2/2p4P/2P4N/1PN1P3/P3Q1B1/R1B2K2 w k - 1 18
hlmr_more1_blitz,43,24,1.491,-1.740,3.231,11,5rk1/p1p1qp1p/3rb3/b4p2/3p1Q1B/2PB1P2/PP4PP/R1K4R b - - 1 22
placement_bundle,33,26,1.020,-2.210,3.230,11,r1bqr1k1/ppb2ppp/N4n2/8/1P5P/P2BP3/1BQP1PP1/R3K2R b KQ - 0 17
placement_bundle,43,21,1.838,-1.390,3.228,9,r2r2k1/p4ppp/Q3pn2/8/3P1q2/2PB4/P4PPP/1R2R1K1 b - - 3 22
placement_bundle,44,22,-1.988,1.240,-3.228,12,2rr2k1/3b1ppp/1p2pn2/p7/2pN4/P1N1P3/1PPB2K1/R2R4 w - - 1 23
ship_lightning,90,20,0.558,-2.670,3.228,9,7r/4rqk1/pR4p1/P1Q1Pb1p/3P1Pn1/6P1/2P1R2P/6K1 w - - 3 46
placement_bundle,62,23,-2.367,0.860,-3.227,9,2brr1k1/1p3p2/p5p1/3p3p/Pq1N1QPP/1Pb1PB2/8/2RR1K2 w - - 0 32
placement_bundle,65,19,-1.567,1.660,-3.227,13,4n1k1/p4ppp/P5n1/1Pp3q1/2Pp4/3P2P1/4QP2/5K1R b - - 1 33
placement_bundle,49,26,0.620,-2.600,3.220,10,r1nr2k1/1p3p2/p1p1b1pp/P1Qp4/1PP4P/3BPP2/1q1N2P1/3R1K1R b - - 0 25
placement_bundle,44,19,-1.065,2.150,-3.215,9,r2nk2r/5pbp/1P4p1/p3p3/R7/2N5/PB2KP1P/1R6 w kq - 0 23
placement_bundle,48,24,-0.833,2.380,-3.213,11,2r3k1/3rnpp1/1pq4p/p1pp3P/P4PP1/2PP3B/2PQ4/2K1RR2 w - - 2 25
placement_bundle,30,27,-1.382,1.830,-3.212,11,r3k2r/1ppb1ppp/1p1p4/8/PnP1Ppn1/1P1P4/3BB1PP/R2K2NR w kq - 2 16
placement_bundle,79,19,2.049,-1.160,3.209,14,5k2/4pb1r/1q1pNp2/3P1P1P/p1p1P2R/P1P5/8/2Q2K2 b - - 1 40
jun6_blitz,15,31,1.447,-1.760,3.207,12,rnbq1rk1/pp2ppbp/3p2p1/2P5/2P1P1n1/2NBBN2/PP3PPP/R2QK2R b KQ - 0 8
hlmr_more1_lightning,60,18,0.575,-2.630,3.205,10,2r5/4ppk1/3p1np1/3P4/P6p/1P1Q1P2/5KPP/r4N2 w - - 0 31
placement_bundle,18,28,-0.813,2.390,-3.203,10,2kr3r/pppqppbp/4b1p1/3n4/3PP3/6P1/PP3PBP/RNBQK2R w KQ - 1 10
nmp_standard,42,25,-1.252,1.950,-3.202,14,2rr1nk1/pp1bb3/4p3/3pPp2/3N1p1p/3B1N2/PPP3PP/5KRR w - - 8 22
away_lightning,24,28,-0.791,2.410,-3.201,9,r3k2r/pb3ppp/1p1qpn2/2pPb3/P1B1P3/2N2Q2/1P3PPP/R1B2RK1 w kq - 1 13
placement_bundle,51,23,-1.870,1.330,-3.200,10,2r1k1r1/pp2pp2/3pb2p/1P5Q/1qP1NP2/4P3/1b1RB1P1/1R4K1 b - - 5 26
placement_bundle,38,24,-0.978,2.220,-3.198,9,1k1r3r/pp3p1p/3P1np1/2q1bNB1/3p4/3Q4/PP3PPP/R2R2K1 w - - 0 20
placement_bundle,64,23,-1.783,1.410,-3.193,10,1r2k3/p2qbp2/2Rp1nrp/1P1pp3/P2B2PR/4NP2/2Q2P2/4K3 w - - 0 33
placement_bundle,70,19,-0.772,2.420,-3.192,11,5qkr/1pP2p2/6p1/1B1P3p/3pn3/6P1/3B1P1P/R4K1R w - - 0 36
placement_bundle,43,26,0.600,-2.590,3.190,9,3rk2r/1ppb1ppp/p3p3/3nP3/P1RN4/1P1P2P1/1b1B1PBP/5K1R b k - 10 22
placement_bundle,65,17,1.179,-2.010,3.189,13,1r2bq1k/8/B6p/4Npp1/3P4/2P3P1/PP6/3RR1K1 b - - 0 33
hlmr_more1_lightning,92,18,-1.958,1.230,-3.188,11,2r5/5p2/1R4pp/2p1kr2/1p1p4/1NpP3P/5PP1/2R2K2 w - - 4 47
placement_bundle,56,20,-2.156,1.030,-3.186,12,6k1/2p2ppp/p1bp1q2/2p1r3/7P/1PQ1BN2/P3PK2/R7 w - - 0 29
placement_bundle,53,20,1.025,-2.160,3.185,9,r3k3/1p2p1bp/2p1N3/5Q1n/3P4/Pq6/1p1BPp1P/5R1K b q - 2 27
placement_bundle,37,21,-1.245,1.940,-3.185,11,r1b1k1Q1/1p3p1p/p2p4/P1p1p3/8/8/1PqPKPP1/2B2B1R b q - 0 19
placement_bundle,43,25,1.630,-1.550,3.180,9,r3r1k1/1b2qp1p/p5p1/PpPp4/1B3Pn1/1PQBP3/6PP/4RRK1 b - - 4 22
placement_bundle,35,24,-1.666,1.510,-3.176,12,2r1k2r/1Bqp1ppp/p3pn2/2p4P/2P4N/1PN1P3/P3Q3/R1B2K2 b k - 0 18
placement_bundle,63,23,-1.584,1.590,-3.174,9,1r2k3/p2qbp2/2Rppnrp/1P1p4/P2B2PR/4NP2/2Q2P2/4K3 b - - 0 32
away_blitz,48,24,-2.299,0.870,-3.169,11,2b2r2/rp4kp/p1n2pp1/2qp3n/6N1/2BQ2P1/4PPBP/R4RK1 w - - 0 25
hlmr_more1_lightning,53,18,1.489,-1.680,3.169,12,4n2r/4ppk1/3p2p1/1Q1P3p/P7/5P2/1P4PP/r4NK1 b - - 3 27
placement_bundle,56,25,-0.887,2.280,-3.167,8,2r1kr2/pp2b2p/1q1pb2n/5pp1/4P3/P1N2N1P/1PQ3PB/R2R3K w - - 4 29
placement_bundle,64,19,-1.327,1.840,-3.167,12,rk1r4/1p1b3R/pb1p2N1/3B1p2/2P3pP/1P5P/6K1/3R4 w - - 3 33
placement_bundle,67,18,0.505,-2.660,3.165,11,b5k1/3N1r2/4p2p/5pp1/2P5/1P2PPP1/3QK2P/q2B4 b - - 0 34
placement_bundle,36,25,-0.934,2.230,-3.164,10,r2r2k1/pb3ppp/5n2/2ppQ3/2P1pP2/1P2P3/qB1RB1PP/5RK1 w - - 0 19
placement_bundle,79,24,1.404,-1.760,3.164,9,1r2r1k1/5pp1/pq6/2p2nPp/2Pp1P2/Pb3Q1P/3BN2R/1R2K2B b - - 5 40
placement_bundle,35,21,0.822,-2.340,3.162,11,rn5r/pp3ppp/3k2b1/3P4/1pB5/4P3/P3N1PP/R4RK1 b - - 1 18
placement_bundle,17,30,-0.662,2.500,-3.162,9,r3kbnr/pp2pppp/1qPp4/7b/2nN4/2N2PP1/PP2P2P/R1BQKB1R b KQkq - 0 9
placement_bundle,19,28,2.067,-1.090,3.157,10,r1b1k2r/pp1pppbp/6p1/q1PB4/8/2P1PN1P/P1P2PP1/R1BQK2R b KQkq - 2 10
away_blitz,32,22,-2.166,0.990,-3.156,14,rn3rk1/bp4pp/4p3/4p3/6n1/2N3P1/PP2PPBP/R4RK1 w - - 0 17
hlmr_more1_blitz,60,21,-1.083,2.070,-3.153,12,2rn1k2/p4p1p/Qp1p2p1/2pP1q2/1P2RP2/P1B4P/6P1/7K w - - 1 31
hlmr_more1_lightning,49,25,0.762,-2.390,3.152,9,1r3r1k/1ppq3p/p3p1p1/3p4/P1nP1P1P/3Q1pP1/1PP5/RR4KB b - - 5 25
placement_bundle,17,31,0.672,-2.480,3.152,11,r2qkb1r/1p1bpppp/2n2n2/p1P5/Q1Pp4/4PNP1/PB1P1P1P/RN2KB1R b KQkq - 0 9
hlmr_more1_blitz,58,22,-1.261,1.890,-3.151,12,2rn2k1/p4p1p/Qp1p2p1/2pP1q2/1P2rP2/P1B4P/6P1/4R2K w - - 0 30
ship_lightning,56,21,1.838,-1.310,3.148,10,2r3k1/5ppp/2p2q2/2Q1p3/2P1P3/P1PPBP2/2r3PP/R5K1 w - - 1 29
placement_bundle,39,26,1.968,-1.180,3.148,12,r3r1k1/2pb1p1p/3p2p1/pN1Pb1q1/4P3/1Q3PB1/PPP3PP/1K1RR3 b - - 0 20
placement_bundle,36,23,-1.705,1.440,-3.145,12,2r1k2r/1q1p1ppp/p3pn2/2p4P/2P4N/1PN1P3/P3Q3/R1B2K2 w k - 0 19
hlmr_more1_lightning,58,20,-0.842,2.300,-3.142,10,r2r2k1/1p3p2/2p3pp/p1QP4/3B3P/4P1q1/PP6/2RRK3 w - - 0 30
placement_bundle,102,20,-0.538,2.600,-3.138,8,1k3q1b/p7/2p1b2p/2p2p1P/P1P2P1N/3BP1r1/4Q3/4K2R w - - 5 52
placement_bundle,58,17,0.968,-2.170,3.138,11,4r1k1/3q2pp/p7/8/P3bB1P/6P1/1P3P1R/2r1Q1K1 w - - 0 30
placement_bundle,58,22,-0.557,2.580,-3.137,8,3k3r/4n1p1/1p2Pp2/p2p2P1/1bbP4/qP2Q1P1/4N1B1/N1R3K1 w - - 1 30
placement_bundle,48,23,-1.997,1.140,-3.137,10,7r/2qk1p2/1rp1p3/3pbb1p/1P4p1/2PB4/P5PP/R1BQR2K w - - 2 25
placement_bundle,39,27,0.745,-2.390,3.135,9,2rqrk2/1B3pp1/pp2bn1p/2p1b3/1P5B/P1NP2P1/2PQ1P1P/RR4K1 b - - 1 20
placement_bundle,59,19,1.995,-1.130,3.125,12,2r3k1/p4p1p/2p1p1p1/q3P3/2Q1P2P/P4NP1/1P6/1K5B b - - 1 30
placement_bundle,35,29,1.273,-1.850,3.123,9,r3r1k1/3n2pp/p1pbb1q1/1pp2pB1/2P1P3/Q2P1N1P/PP1N1PP1/2RR2K1 b - - 2 18
placement_bundle,27,23,1.571,-1.550,3.121,10,r1b1kb1r/p4p1p/2p1qp2/8/7P/2Q4R/PPP1PPP1/3RKB2 b kq - 3 14
placement_bundle,46,19,-0.747,2.370,-3.117,11,r4rk1/1p3pp1/3q4/p2p1Q1p/P6N/4P3/1P1NK1P1/5R2 w - - 3 24
placement_bundle,52,19,-0.751,2.360,-3.111,11,4rk2/p4p1p/p5p1/2p5/Q2b4/P3qP2/5pKP/1R3R1N w - - 4 27
placement_bundle,66,25,-1.190,1.920,-3.110,9,1r3nk1/1r4p1/2pb1q1p/3p4/P1bPpP2/1NN1P2P/PB4Q1/K2R2R1 w - - 2 34
placement_bundle,48,25,-0.939,2.170,-3.109,9,1r2k2r/1q1np1b1/3p3p/p1p2Pp1/2pPP3/5BR1/PPQ1NP2/2KR4 w k - 2 25
placement_bundle,82,23,-1.128,1.980,-3.108,10,1rr1q1k1/7p/Q4p2/ppPppp2/P3n2P/3NP1P1/2R2P2/2R3K1 w - - 0 42
placement_bundle,31,27,0.596,-2.510,3.106,9,r1bqr1k1/ppb2ppp/n7/2Nn4/1P5P/P2BP3/1BQP1PP1/R3K2R b KQ - 2 16
nmp_standard,40,25,-1.233,1.870,-3.103,13,r2r1nk1/pp1bb3/4p3/3pPp2/3N1p1p/3B1N2/PPP2KPP/6RR w - - 6 21
placement_bundle,32,27,-0.733,2.370,-3.103,10,r3k2r/p1nqpp2/1p1p1n2/2pP4/2P1P1pb/1QN5/PP1BNP2/3RK2R w Kkq - 1 17
hlmr_more1_lightning,35,28,0.813,-2.290,3.103,9,2rqk1nr/pp4p1/2n1p1p1/b2pP2p/Q2P2P1/PP6/1B2B1PP/RN3RK1 b k - 0 18
placement_bundle,68,22,0.891,-2.210,3.101,11,2kr4/5Q2/ppq2b2/2p1pp1p/6bP/2P1B1P1/PP3P2/R3K1R1 w Q - 0 35
hlmr_more1_lightning,47,21,0.910,-2.190,3.100,12,3r1b1r/Np1n2p1/1k4p1/2p4p/7P/2B3P1/PPP1B1P1/2KR4 b - - 1 24
placement_bundle,52,22,0.968,-2.130,3.098,10,6k1/1Brnqppp/1p1br3/8/3P1P2/6P1/Pp3BQP/1R2R1K1 w - - 0 27
stack_blitz,56,18,1.174,-1.920,3.094,12,4kb2/p1p5/2b1P1pp/8/2n2B2/2P4Q/q4PPP/3B2K1 w - - 1 29
nmp_lightning,36,25,-1.440,1.650,-3.090,10,r2qr1k1/pp4pp/4bp1n/2Q1p3/8/5NPP/nP1NPPB1/R4RK1 w - - 1 19
placement_bundle,34,27,-2.216,0.870,-3.086,11,1rb1kb1r/3nnppp/p4q2/B1pP4/Q3P3/8/PPB2PPP/2KR2NR w k - 1 18
ship_blitz,26,32,-0.642,2.440,-3.082,11,rn1qr1k1/pb1nb2p/4p1pB/1p1pPp2/2pP4/2N2BQ1/PPP2PPP/R3K1NR w KQ - 4 14
stack_lightning,39,24,-1.432,1.650,-3.082,11,2kr1b1r/1p3p1p/3p2p1/p3p3/4n3/BP2PN2/bKP3PP/3R1BR1 b - - 1 20
placement_bundle,35,28,0.570,-2.510,3.080,12,2k1rr2/pppq3p/3ppb1p/4p3/2PnP3/1PNPQN2/P4PPP/1R2R1K1 b - - 3 18
placement_bundle,33,29,0.586,-2.490,3.076,8,3r1k1r/1p3pp1/pq1b1n1p/n1pP1b2/5P1P/N2P2P1/PPQB2BN/R3K2R b KQ - 0 17
placement_bundle,22,31,-1.005,2.070,-3.075,11,r1b1kbnr/5p2/p1Ppp1pp/q3n3/Pp2P3/2NQBN2/1PP2PPP/R3KB1R w KQkq - 1 12
placement_bundle,24,30,-1.733,1.340,-3.073,12,r2qk2r/pp2ppbp/2pp1np1/8/2PPN3/4PNP1/PP1K1P1P/n1BQ1B1R w kq - 0 13
hlmr_more1_lightning,63,19,0.613,-2.460,3.073,12,8/pBr1k2p/2P1p1p1/pP3p2/2N2P2/1n2PKP1/1P5P/8 b - - 2 32
hlmr_more1_lightning,59,23,1.042,-2.030,3.072,10,1r2r1k1/1p1b2qp/5n2/pR3p2/2PPp2B/P4PPB/2Q4P/4R1K1 b - - 0 30
placement_bundle,93,15,0.940,-2.130,3.070,12,4k3/8/3rp3/3q1p1p/1Qn2N1P/P4P2/P7/2K1R3 b - - 25 47
hlmr_more1_lightning,73,17,0.719,-2.350,3.069,12,1r1k4/8/3pb3/3N4/4P2p/pPb2r2/P2RBP2/1K3R2 b - - 4 37
placement_bundle,38,22,0.759,-2.310,3.069,12,r1b1rk2/p1b2ppB/p4q2/8/1P5P/P3P3/2QP1PP1/R3K2R w KQ - 1 20
placement_bundle,46,25,-1.228,1.840,-3.068,9,4rk1r/p4pb1/Bpq3p1/2p1n2p/4P2P/N1B1Q1P1/bP3P2/2KR3R w - - 1 24
placement_bundle,76,15,-1.997,1.070,-3.067,12,8/3R1p2/1p3p1k/p1p1bK1P/7P/P5r1/1P5R/8 w - - 1 39
placement_bundle,14,30,-0.517,2.550,-3.067,11,r2qkb1r/ppp1pppp/2n3b1/8/1n1P4/2N2NP1/PP2PPBP/R1BQK2R w KQkq - 3 8
placement_bundle,67,19,-1.555,1.510,-3.065,11,6k1/p4ppp/P2n2n1/1Pp3q1/2Pp4/3P2P1/5P2/3Q1K1R b - - 3 34
placement_bundle,56,22,1.053,-2.010,3.063,10,6k1/2rnqppp/Bp1b4/8/3P1P2/6P1/Pp1r1BQP/1R3RK1 w - - 4 29
away_blitz,19,29,0.672,-2.390,3.062,9,r1b1k2r/pp1pppbp/2n2np1/8/1qPN4/2N1B1P1/P3PPBP/2RQK1R1 b kq - 3 10
placement_bundle,56,18,-0.582,2.480,-3.062,9,2r5/ppk3rp/2p5/4pp2/3b4/PQ3PP1/5PKP/4R3 w - - 0 29
ship_blitz,53,21,-1.551,1.510,-3.061,12,6k1/pp1bb2p/1q2p3/3p2p1/6Q1/2rN4/PPP2P1P/3RR1K1 b - - 1 27
placement_bundle,63,20,2.070,-0.990,3.060,10,r3nk2/5pp1/1pb1p3/2q1P2Q/2pR1P2/2P5/6PP/1BB2K2 b - - 8 32
placement_bundle,29,27,2.078,-0.980,3.058,10,r4rk1/pppq1pbp/6p1/1NnP1n2/8/6PP/PPPBQPB1/2KR3R b - - 1 15
placement_bundle,45,21,0.963,-2.090,3.053,11,r4r2/2k3p1/p3pp2/Np1b4/4nPB1/P3P3/1P4PP/3R1K1R b - - 0 23
placement_bundle,49,28,0.581,-2.470,3.051,11,3k1q2/2rbnrb1/4p1pp/npp5/p3B1P1/P2PPN1R/QP1N1P2/1RB1K3 b - - 8 25
jun6_standard,17,30,1.130,-1.920,3.050,12,r1bq1rk1/pp2ppbp/2n2np1/2p5/2P1PB2/2NB1N2/PP2QPPP/R3K2R b KQ - 3 9
placement_bundle,58,21,-1.350,1.700,-3.050,11,3k3r/1pq4r/nNp1p1p1/4p3/4P3/3P2p1/PQP1K1P1/R4R2 w - - 4 30
placement_bundle,51,23,-1.850,1.200,-3.050,10,3r1rk1/3nn2b/1q2pp2/1ppP4/2p1P1QB/5NN1/4BPP1/5RK1 b - - 2 26
placement_bundle,62,23,-1.457,1.590,-3.047,9,1r2k3/p2qbp2/2Rppnrp/1P1p4/3B2PR/P3NP2/2Q2P2/4K3 w - - 5 32
hlmr_more1_lightning,56,24,-0.515,2.530,-3.045,10,5rk1/ppq3b1/3p2pp/P1pPp1r1/1P2P2N/2Q3PP/2P5/R3R1K1 w - - 1 29
hlmr_more1_blitz,44,20,-0.502,2.540,-3.042,11,4r1k1/p1pR1ppp/2pbr3/8/5P1P/1P6/b1P2BB1/2K2R2 w - - 1 23
placement_bundle,36,23,-0.591,2.450,-3.041,10,r3k2r/3pnp1p/1p2pP2/1Pq5/3p1p2/P2Q2P1/5PKP/RN1R4 w kq - 0 19
placement_bundle,31,28,0.889,-2.150,3.039,9,r1bq1rk1/1p2npp1/p2p1n1p/3P4/1bN2B1P/2N3Q1/PP2BPP1/2KR3R b - - 3 16
placement_bundle,80,14,-0.798,2.240,-3.038,12,8/5R2/1p3p1k/p3bK1P/2p4P/P4r2/1PR5/8 w - - 2 41
placement_bundle,46,30,-0.786,2.250,-3.036,10,2r1r2k/p2nqpb1/1pbp3p/2p1p1p1/1PP1P1B1/P1NPB1PP/1Q1N1P2/4K2R w K - 11 24
placement_bundle,21,30,0.814,-2.220,3.034,10,2rqkb1r/Qb1n1ppp/p2p1n2/1p2p3/P3P3/2N1BN2/1PP1BPPP/2KR3R b k - 1 11
placement_bundle,58,21,-1.424,1.610,-3.034,9,r3r1kq/8/p1pQ1Rpp/4Pb2/2pP4/7P/Pn1N2P1/R6K w - - 2 30
