tag,ply,pieces,our_pawns,sf_pawns,gap_pawns,our_depth,fen
placement_bundle,65,19,3.488,-3.190,6.678,10,q7/N3ppk1/5bp1/3rn3/Q2pR2p/1P6/P2B3P/5RK1 b - - 3 33
placement_bundle,48,17,-0.914,5.740,-6.654,11,4k2r/1Q1p1pp1/2r1p3/4b3/qB6/4P1P1/5P2/1R3RK1 w k - 5 25
placement_bundle,33,26,2.628,-4.020,6.648,9,2r1k2r/pp1q1pp1/2n5/1B1p3p/2pP2bP/2N1B3/PPQ2P1P/R4RK1 b k - 0 17
placement_bundle,50,22,-1.304,5.330,-6.634,8,r5k1/4rppp/pp6/n3P1q1/P5N1/3pPP2/BP4QP/3R2K1 w - - 4 26
away_lightning,56,21,-3.362,3.260,-6.622,9,3k1b1r/5pp1/p1qp1n1p/1r6/5B2/Q4P2/PP3P1P/R2R2K1 w - - 8 29
timed_probe,75,16,2.451,-4.130,6.581,9,r4k2/8/6R1/p1Qprq2/6p1/P4PP1/1P2N1P1/4K3 b - - 4 38
placement_bundle,83,23,1.938,-4.640,6.578,11,3rr3/kp1N2p1/2pQ1p2/q1P1p3/2P3Pp/p3P3/P2RBP1P/K7 b - - 4 42
placement_bundle,71,20,5.142,-1.410,6.552,11,qR6/2Pb1p1k/P2B1bpp/3n4/8/2p5/2P1BPPP/5K1R b - - 4 36
hlmr_more1_lightning,63,14,2.701,-3.840,6.541,11,3r4/2k3p1/p3b2p/8/2N5/8/p2N1PPP/4R1K1 b - - 1 32
hlmr_more1_blitz,55,21,1.199,-5.340,6.539,10,1r3k2/p2q3p/3rbp2/b4p2/3B4/3B1PQP/PP4P1/RK5R b - - 0 28
placement_bundle,61,19,0.857,-5.650,6.507,12,4r3/pp5k/5P2/3b4/3nnP1B/P1P1bR2/7P/RN1B3K b - - 2 31
nmp_lightning,59,16,2.918,-3.560,6.478,10,3r2k1/p1q4p/6p1/8/4Q3/bPp2PP1/7P/1R2R1K1 b - - 1 30
hlmr_more1_lightning,67,16,1.076,-5.380,6.456,10,7R/1p1b1kpp/1Q2p3/3pn3/8/1P6/3q2PP/1KR5 b - - 0 34
placement_bundle,29,32,2.207,-4.220,6.427,11,r3k1nr/1p3pb1/2ppb1p1/p1n1p2p/NqP1P3/1P1P2PP/PB2NPB1/R2Q1K1R b kq - 8 15
placement_bundle,93,14,1.754,-4.550,6.304,14,1R6/5pk1/1p5p/1P3r1P/2Pp2p1/3P4/3KP3/8 b - - 1 47
ship_lightning,25,27,0.843,-5.460,6.303,12,B2q1rk1/2p2ppp/1p1p1n2/p3p3/P3Pb2/1QPP1P2/1P3P1P/RN3RK1 b - - 0 13
placement_bundle,48,19,-2.288,3.980,-6.268,11,4r3/p1Pk4/bp2p2p/5n2/2PbBp2/P7/3R3P/1N2K2R w - - 4 25
placement_bundle,48,21,-1.418,4.770,-6.188,10,N1bk2r1/1p3p2/3p4/q1nP3N/p2QP3/2P2pP1/P1K2P2/R7 w - - 0 25
placement_bundle,65,21,2.235,-3.940,6.175,9,5k2/8/2p1pPpr/p1n3qn/PrPNR3/R3P3/2QN1P2/4K3 b - - 6 33
hlmr_more1_lightning,74,18,-1.253,4.920,-6.173,11,2k5/R5p1/1pP2p2/p1P1pK2/4R2p/2Pr3P/P5P1/5r2 w - - 6 38
placement_bundle,81,23,4.898,-1.250,6.148,11,3rr3/kp1N2p1/q1pQ1p2/2P1p3/2P3Pp/p3P3/P3BP1P/K2R4 b - - 2 41
placement_bundle,90,17,-0.706,5.440,-6.146,11,4k3/4p3/2qpPp1P/5P2/p1p1Pr2/P1P1R3/6K1/2Q5 w - - 3 46
jun6_blitz,32,25,-1.720,4.400,-6.120,9,r1b1kb1r/5ppp/p3pP2/1p6/2p2P2/1BN1B1R1/PPP4q/R2QK3 w Qkq - 0 17
placement_bundle,62,19,-0.761,5.330,-6.091,10,1rr5/3k2b1/1P4p1/p1RNpp1p/P1Rn1P2/8/1B5P/5K2 w - - 3 32
placement_bundle,98,15,-2.834,3.240,-6.074,9,4r1k1/3n1ppp/8/B1p5/7Q/5P2/2q3PP/3R1K2 w - - 0 50
