fen,phase_score,is_endgame,status,result_white,our_total,sf_static_cp,pieces,capture_gains,passed_pawn_support,latent_threat,central,imbalance_white,imbalance_black,pair_bonus,piece_value_boost
7r/5R2/2k2Pp1/3p4/3p1BP1/PP1K1P1p/7P/8 b - - 0 43,101,1,white_winning,1.0,-14638,512,-7653,-1825,-887,0,0,0,0,0,-2750
r1b1kb1r/1pq1pp1p/2pp1np1/p7/3P1P2/2P2N2/PPQNBPPP/R3R1K1 w kq - 0 12,10,0,near_equal,1.0,-911,5,-686,0,0,75,-400,0,0,100,0
r3k2r/2qn1ppp/2p1p3/p1Bp4/1P1Pn3/Q3PN2/P4PPP/2RR2K1 b k - 5 19,21,0,near_equal,1.0,-608,40,-733,200,0,75,-350,0,0,200,0
6r1/1pk1bp2/2p2n2/p4bBp/P1P1p2P/1PR5/3NPPB1/4K3 w - - 7 30,74,1,near_equal,0.0,679,-17,679,0,0,0,0,0,0,0,0
1kn1N3/1p2q1b1/2p3p1/7p/p1B1P3/2P3PP/PPK2Q2/8 w - - 4 29,64,0,near_equal,1.0,775,4,-1407,1207,397,-50,-158,0,786,0,0
1r3k2/3b1p2/p5p1/2q1p1N1/B7/P1P4r/4P1QP/5R1K w - - 0 31,37,0,white_winning,1.0,1181,191,2606,-1544,0,-26,145,0,0,0,0
4kb1r/Qpqnp2p/p4pp1/8/8/5N2/PP2NPPP/6KR w k - 6 27,42,0,black_winning,0.0,635,-168,717,0,0,75,43,0,0,-200,0
1B2r1k1/Q3q3/4p3/p2p2pp/2p5/8/P5PP/2R2R1K w - - 2 40,48,0,white_winning,1.0,-7192,674,-4672,-1069,-625,380,136,0,0,0,-1342
8/5kq1/4p3/2Qp1p2/8/8/5K2/5B2 b - - 11 71,80,1,near_equal,0.5,533,-9,968,0,-435,0,0,0,0,0,0
1r1qkb1r/ppp1n1p1/2n1ppp1/1B1p4/3P2PP/4PQ2/PPPN1P2/R1B1K2R b KQk - 1 10,10,0,near_equal,1.0,-561,76,-767,0,0,0,306,0,0,-100,0
8/5pk1/pR5p/P4p2/4pP1P/4P1P1/2r5/5K2 b - - 3 47,106,1,near_equal,0.5,-1457,0,-367,-1090,0,0,0,0,0,0,0
R4rk1/3P4/4R1p1/1rp3P1/1nNb4/1p6/1P3N2/5K2 b - - 4 68,64,0,white_winning,1.0,3427,199,-677,3922,-30,-406,77,0,0,-200,741
r2rn1k1/pp3ppp/4bn2/2R5/4p2P/1P1PP1P1/1P1B1PB1/4NK1R w - - 1 20,53,0,near_equal,0.0,-771,8,-758,56,0,-6,37,0,0,-100,0
2k5/pR6/R1np3r/8/1N5P/1P4P1/P1r2PK1/8 w - - 1 44,74,1,white_winning,1.0,-6007,481,-4364,0,285,0,0,0,0,0,-1188
r7/1p1r4/2p5/2kn2Q1/p3B3/4P2P/PP3PP1/R5K1 w - - 1 42,64,0,white_winning,1.0,-11197,814,-9880,0,0,0,-245,-30,0,0,-1042
6k1/7p/2N3p1/1r4P1/5p2/2P1nP2/P4QBq/2K3R1 w - - 1 37,48,0,near_equal,0.5,-5956,53,-5050,0,0,122,-100,0,0,0,-928
r3k2r/1bqp1p2/pp2p1p1/4n2p/2P1Pb1P/5N1R/PPQ1NPP1/3RKB2 b kq - 3 17,10,0,near_equal,0.0,2183,-131,1092,1045,0,0,-307,0,0,100,253
7k/5rpp/p1r5/7P/PP4nR/4BqP1/5P2/R5K1 w - - 0 33,53,0,black_winning,0.0,8563,-352,7368,0,0,192,87,0,0,0,916
8/6k1/P1q1B1pp/8/3b1P1P/P2R2P1/2Q5/5K2 b - - 0 39,64,0,white_winning,0.5,-9089,271,-10263,6550,250,-767,-33,-2835,0,0,-1991
6R1/1k6/1pb5/pNp2p1r/P1P2R1P/4rP2/2P5/2K5 w - - 7 55,74,1,near_equal,1.0,897,58,-478,1090,285,0,0,0,0,0,0
4k2r/pp2pp1p/3p4/n1rP2p1/P7/qpbBP1P1/3N1PP1/1Q2K2R w Kk - 0 23,32,0,black_winning,0.0,10316,-490,7750,1090,-75,0,-219,0,0,0,1770
5k2/R7/8/4PP2/8/5K2/8/2r5 w - - 5 63,106,1,white_winning,1.0,-6059,413,-4395,0,520,0,0,0,0,0,-1052
r2k3r/1pq5/1npp2p1/4ppPp/p2P4/2P2QP1/PP2RPNP/4R1K1 w - - 0 25,32,0,near_equal,1.0,-894,126,142,-1045,0,75,-66,0,0,0,0
3r4/R4pkp/4p1p1/8/p2pP3/2r3P1/R4P1P/3B1K2 w - - 4 35,80,1,white_winning,1.0,-4709,289,-112,-1825,-920,0,0,0,0,0,-1112
2r1kb1r/pp1bpppp/2np1n2/3N2N1/Pq2P3/3BB2P/1P3PP1/R2QR1K1 b k - 12 13,0,0,near_equal,1.0,1270,127,580,1015,0,75,-400,0,0,0,0
2r2k1r/p2qpp1n/Q2p2p1/BPpP2Pp/7P/P2PP3/5P1b/1R2KR1B b - - 4 27,21,0,white_winning,1.0,-1787,252,-1062,0,0,-75,-350,0,0,-300,0
6rr/3k4/p6p/3n2B1/7P/P2P4/5bP1/R2K3R w - - 0 30,69,1,black_winning,0.0,3077,-323,2090,0,0,0,0,0,0,0,292
3r4/2k2p2/1p2b3/p1p4r/P4R1P/2P1NP2/2P1K3/7R w - - 5 38,74,1,near_equal,1.0,350,37,-85,0,435,0,0,0,0,0,0
r1b1k2r/pp1pppb1/n5p1/q1P4p/2P5/2N1Q1P1/PP2PPBP/2R1K1NR b Kkq - 2 10,10,0,near_equal,1.0,-608,12,-1233,1060,0,-135,-400,0,0,100,0
1b4r1/1N2kp2/1p4pp/p2bP3/8/3rP1P1/6BP/1R3RK1 b - - 5 37,64,0,black_winning,1.0,3675,-288,2246,974,105,-113,-300,-69,0,300,532
8/5ppp/3p1k2/r1p5/1p2Bn1b/5P1P/1PP2P1R/2K1R3 b - - 3 26,80,1,black_winning,0.0,-902,-167,143,-1045,0,0,0,0,0,0,0
r7/8/3BP3/p5kp/R7/4P1K1/8/8 w - - 1 62,101,1,white_winning,1.0,-9229,577,-5128,0,-695,0,0,0,0,0,-1536
8/pk2n3/r1pr2p1/2R2p1p/P2N4/1P1NP3/3K1PPP/7R w - - 3 26,69,1,white_winning,1.0,-7964,588,-5911,0,0,0,0,0,0,-200,-913
3q1rk1/1p4pp/p1p5/2p1pr1P/2P5/PNb1BN1P/R1Q2P2/5K1R w - - 4 22,21,0,white_winning,1.0,-5752,318,-3343,-1245,0,0,350,0,0,-200,-1314
r2kr3/p2p4/bpn4n/2p1b1N1/2P2Np1/4P1PP/PP2BP2/R1BR2K1 b - - 0 24,42,0,white_winning,1.0,-3385,341,-2851,0,0,75,-49,0,0,0,-560
r1b3k1/1p2r3/p3p3/5p1p/P4qp1/2P1R3/RP2QPBP/6K1 w - - 3 37,32,0,near_equal,0.0,105,-15,-121,0,0,105,121,0,0,0,0
8/pp2rp1p/2r2Nk1/5R2/P1PPp1P1/1P2K3/7b/5R2 w - - 2 41,74,1,white_winning,1.0,-4739,313,-237,-1825,-845,0,0,0,0,0,-537
r3rk2/1p4nQ/2p3B1/3nq1p1/p7/4P2P/PP3PP1/R2R2K1 w - - 0 36,26,0,white_winning,1.0,444,170,328,-535,0,101,350,0,0,200,0
4k2r/2r1Ppbp/n1p3p1/3q4/P2P4/1NQ2NP1/1P3P1P/R3R1K1 b k - 4 25,21,0,white_winning,1.0,-3362,331,-5103,2097,417,-62,-350,0,0,-200,-161
7r/pp2k1r1/2bpp3/2p1p3/2P1P3/1P1P3N/1K2BP2/7R w - - 1 34,80,1,black_winning,0.0,5306,-423,3492,0,0,0,0,0,0,0,874
3r2k1/5p2/2pBp1p1/r6p/p1R2P1P/2P3P1/P1P1B3/2KR4 b - - 2 32,74,1,white_winning,1.0,-10968,597,-8106,0,0,0,0,0,0,-300,-1977
8/2k5/2pp1p2/4p1p1/p3r3/B1R5/8/3K4 b - - 1 48,101,1,black_winning,0.0,8061,-377,6710,0,-452,0,0,0,0,0,1108
r7/8/pp2R1p1/4B1P1/2nPk3/P7/4K3/8 b - - 0 46,96,1,near_equal,0.5,-1625,-10,-1581,0,45,0,0,0,0,0,-89
3nk3/8/R5P1/1p1Bp3/3bP2P/p1p2P2/P3K3/8 b - - 0 62,101,1,white_winning,1.0,-5816,505,-3695,0,-300,0,0,0,0,0,-1080
8/4p2k/6p1/1p2Q3/4PP1P/q1P5/3K4/8 b - - 8 64,85,1,near_equal,0.5,-2267,53,-1883,0,0,0,0,0,0,0,-384
4r3/4P3/3K4/7p/2b5/7k/8/3R4 b - - 0 80,101,1,black_winning,0.5,7394,-161,4188,0,593,0,0,0,0,0,1608
2r1r1kb/ppnb1p2/q2p2p1/2pPp1Nn/2P1P3/P1NBBP1p/1P5Q/1K2R1R1 w - - 4 25,0,0,near_equal,0.0,-733,137,2035,-1852,-500,-16,-400,0,0,0,0
3r1k2/1pqbnp1r/4p1pp/p3p2n/P1PpP3/1P1B1QPP/2NB1P2/2R1R1K1 w - - 0 23,10,0,near_equal,0.0,-403,46,84,0,-646,-20,279,0,0,-100,0
r3k2r/ppp1qpp1/2npb2p/8/3P4/P1PBnN2/2PQ1PPP/R3R1K1 w kq - 0 13,16,0,near_equal,1.0,80,68,3224,-3250,0,75,-169,0,0,200,0
8/8/2kp4/2p1pp2/p3r1p1/6R1/1B6/3K4 w - - 0 52,101,1,black_winning,0.0,8530,-422,7788,0,-1737,0,0,0,0,0,1108
r3r1k1/1pq2ppp/2p2n2/3n4/p2Pp3/N3P2P/PPQ1BPP1/R2R2K1 b - - 5 23,21,0,near_equal,1.0,966,-34,366,0,0,50,350,0,0,200,0
2b2knr/1pNn3p/rq2p1p1/p7/Q1B2B2/8/PP2NbPP/R4K1R w - - 4 15,0,0,white_winning,1.0,55,255,943,-735,0,16,-169,0,0,0,0
rn1qk2r/p3ppbp/1ppPb1pn/8/3P4/1QP2N2/PP2BPPP/RNB1K2R w KQkq - 1 10,0,0,near_equal,1.0,-1287,80,-887,0,0,0,-400,0,0,0,0
7k/5rpp/p2r4/7P/PP1B2nR/5qP1/5P2/R5K1 w - - 2 34,53,0,black_winning,0.0,8467,-317,7244,0,0,221,86,0,0,0,916
r2qk2r/1p3pp1/2n2n1p/p1p1p2b/2P4P/P2BPPP1/1PQ4N/R1B1K2R b KQkq - 0 15,10,0,near_equal,0.5,-111,-70,-411,0,0,0,400,0,0,-100,0
r2q1k1r/pb3pp1/1p5p/2nNQ3/8/P5P1/1P2PPBP/3R1RK1 w - - 1 22,21,0,white_winning,1.0,-3141,424,-2364,0,0,-204,-350,0,0,0,-223
r2q1k2/p2pbB1r/1p2pnQp/2p1N3/2PP4/1PN1P1P1/P4P1P/R1B1K2b b Q - 0 14,16,0,white_winning,0.5,-2810,200,-1778,0,0,-381,-400,0,0,-200,-51
5k2/4p3/8/1K3P1P/4Q3/2q5/8/8 w - - 1 78,85,1,near_equal,0.5,-1310,9,-1434,0,200,0,0,0,0,0,0
r1bqk2r/pp1nbppp/2np4/2p1p1P1/2P1P3/2N2N1P/PP1P1P2/R1BQKB1R w KQkq - 1 9,0,0,near_equal,0.0,665,-51,-216,860,0,0,21,0,0,0,0
2r1k3/pb6/8/1p2p2p/4P2P/5P2/PP2RK2/3R4 w - - 0 35,90,1,white_winning,1.0,-5288,516,-3649,0,0,0,0,0,0,0,-944
1r1bk2r/p2q1p2/Rpn1p3/1QPp1p2/5P2/2P1P1B1/1P4BP/5RK1 w k - 2 23,21,0,near_equal,1.0,-695,38,-239,0,0,75,-231,0,0,-300,0
8/2q1bpk1/4p3/3pN2p/Q2P2p1/P2B2PP/5PK1/8 b - - 2 44,69,1,white_winning,1.0,-5602,388,-3951,0,0,0,0,0,0,0,-711
r3k1nr/ppq1ppbp/1nppb1p1/P7/3PP3/2N2N1P/1PP1BPP1/R1BQ1RK1 b kq - 0 9,0,0,white_winning,1.0,-397,175,-72,0,0,75,-400,0,0,0,0
5k2/p1q1p3/6p1/1p1P1p2/2rb3r/1QB3RP/1P2PP2/3RK3 b - - 14 38,32,0,near_equal,0.5,856,-92,407,0,0,149,300,0,0,0,0
2r3k1/1b1rnpp1/1p1bp2p/1P1p2P1/p1PP3P/P2BBP2/3N4/2R3KR b - - 1 24,53,0,near_equal,0.0,-108,-133,3,56,0,-126,-41,0,0,0,0
r3r3/1pp2pk1/p1nb3p/6p1/3P4/4N3/PPP1BPPP/2KR3R b - - 2 20,64,0,white_winning,1.0,-1424,153,-1354,0,0,0,-70,0,0,0,0
rn1qk2r/pp2ppbp/2p1b1p1/3n4/2pP1B2/2N1PNPP/PPQ2P2/R3KB1R b KQkq - 0 9,0,0,near_equal,0.0,-854,-144,415,-869,0,0,-400,0,0,0,0
r1bqkb1r/1p1p1ppp/p1n1p3/8/P1BQP3/7P/1PP2PP1/RNB1K2R w KQkq - 3 9,10,0,near_equal,0.5,-572,-3,-172,0,0,0,-400,0,0,0,0
r1b1kbnr/1pq1pppp/2pp4/p7/3P1n2/2P1PN2/PPQNBPPP/R4RK1 w kq - 0 10,5,0,black_winning,1.0,-538,-193,2737,-3250,0,75,-400,0,0,300,0
r2r2k1/pp2bppp/4bn2/2pnp3/7P/1PNPP1P1/1P1B1PB1/2R1NK1R b - - 3 16,42,0,near_equal,0.0,1228,-83,928,0,0,0,300,0,0,0,0
1r6/k7/6p1/6P1/5P1R/1P6/5rP1/3K4 w - - 1 67,96,1,black_winning,0.0,4462,-359,2898,0,0,0,0,0,0,0,869
r1bqk2r/ppp2ppp/2n2b2/3np3/1P6/P3P1P1/3P1P1P/RNBQKBNR w KQkq - 1 8,0,0,near_equal,0.5,769,-51,369,0,0,0,400,0,0,0,0
r1bqk1nr/pp1pbppp/2n5/2p5/4P3/3Q2P1/PPP2PBP/RNB1K1NR b KQkq - 2 7,0,0,near_equal,1.0,-392,33,8,0,0,0,-400,0,0,0,0
r1b1kb1r/1p1npp1p/pqp2np1/8/P1BP4/4PN2/1PQ2PPP/RNB1K2R b KQkq - 0 9,0,0,near_equal,0.0,-1023,48,-623,0,0,0,-400,0,0,0,0
rnb1k1nr/3q1pb1/2p1p1pp/1p6/pPPP1B2/P1N2N2/2B1QPPP/R3R1K1 w k - 3 18,0,0,white_winning,1.0,-2613,425,-1879,-155,0,-149,-400,0,0,0,-30
r4k1r/pp1bqpp1/2p2n2/P3p1Np/R3P2P/1PN1Q1P1/2P2PB1/4K3 b - - 2 22,26,0,black_winning,0.0,1809,-182,2052,0,0,-75,-350,0,0,-200,382
rn2k2r/pp2ppbp/1qP2np1/5b2/3P4/1QN1P3/PP3PPP/R1B1KBNR b KQkq - 0 8,0,0,near_equal,0.0,-2013,100,-2290,1000,0,-133,-400,0,0,0,-190
8/pp6/3kp3/8/2P1pr2/1NK5/5P2/8 w - - 2 48,112,1,black_winning,0.0,7637,-483,4602,0,0,0,0,0,0,0,1785
2r1k2r/1p3p2/2bqpnpp/3p4/Pp1P3P/1Q1BP3/1P3PP1/R3NK1R b k - 1 20,21,0,near_equal,0.5,524,8,99,0,0,75,350,0,0,0,0
r3kb1r/pp1b1ppp/n3p3/8/3N4/1PB1P3/P2N1PPP/R3K2R b KQkq - 1 15,53,0,near_equal,0.5,-905,-47,-771,0,0,0,-234,0,0,100,0
r2qkb1r/pQp1npp1/2n4p/3p1b2/3P4/P1N2N2/1P2PPPP/R1B1KB1R b KQkq - 0 8,0,0,near_equal,0.5,-1178,61,-1451,0,0,0,273,0,0,0,0
6k1/7p/6p1/4R3/4P1b1/1r4P1/3K1P1P/8 w - - 6 51,101,1,black_winning,0.5,2173,-169,1611,0,-83,0,0,0,0,0,645
2Q2b1r/1p3kpn/p2q4/3np3/P7/4B2p/1PP1BPPP/R3R1K1 b - - 0 22,26,0,white_winning,1.0,-7501,401,-6094,-815,0,0,350,0,0,-100,-842
1kr5/p3pb2/1p3bp1/2q2p1p/2r2P1P/2N3R1/PQ3P2/1NR1K3 b - - 3 29,21,0,black_winning,0.0,7855,-657,3811,2090,0,504,350,0,0,100,1000
r1b1kb1r/ppp1pp1p/2n2Pp1/3q4/P7/2P2N1P/2PP1PP1/R1BQKB1R w KQkq - 1 9,10,0,white_winning,1.0,-396,161,-733,0,0,0,337,0,0,0,0
8/1p5p/3R2p1/1kp5/p7/8/7r/4K3 w - - 0 54,106,1,black_winning,0.0,12225,-636,8068,0,420,0,0,0,0,0,2272
rn1qk1nr/1p2bppp/p2pb3/2pQ2B1/2B1P3/2N5/PPP2PPP/R3K1NR w KQkq - 4 8,0,0,near_equal,0.0,-2462,-16,-759,-1015,0,-95,-400,0,0,0,-193
rn2kb1r/1pq1pp1p/p1p2np1/3p1b2/2PP4/4PN1P/PPBN1PP1/R1BQK2R b KQkq - 2 8,0,0,near_equal,0.5,-184,7,206,0,0,0,-390,0,0,0,0
8/R5p1/1p3kp1/p1p1p3/P1Pn4/6P1/1B5P/6K1 w - - 4 39,106,1,white_winning,1.0,-4968,449,-2900,0,90,0,0,0,0,0,-1308
r2qkb1r/1p2pp1p/p1n1bnp1/2Pp4/3N1B2/P1N4P/1PP1PPP1/R2QKB1R b KQkq - 2 8,0,0,near_equal,0.0,-977,46,-1290,0,0,0,313,0,0,0,0
8/p2p1k2/1p2p3/4P3/2P1P3/1Pp4r/P3R2P/2K5 w - - 2 28,106,1,near_equal,0.5,-942,22,58,0,-1000,0,0,0,0,0,0
3r4/1B6/2Pk2p1/p1rbpp1p/7P/R3PPP1/3NK3/8 b - - 0 41,80,1,black_winning,0.0,6851,-455,2703,2102,-85,0,0,0,0,0,1265
r1b1k2r/p4pp1/1p1bpn1p/3p4/1nPP4/1P2BN2/P2N1PPP/RB3K1R w kq - 0 13,42,0,near_equal,0.0,46,-23,6,0,0,75,-35,0,0,0,0
r1bqk2r/pp2bppp/8/2p5/1P2pB2/6P1/PP1Q1P1P/RN2K1NR b KQkq - 0 12,16,0,near_equal,1.0,58,148,-1641,1000,0,199,400,0,0,100,0
k2r3q/1p6/pQb5/4R3/1P1PP3/P4PPB/8/4K3 b - - 0 42,53,0,near_equal,0.5,-4334,114,-6168,3450,193,-697,-300,0,0,0,-812
3r1k1r/5pp1/1pp1p3/p2qP3/P2P1B2/2b2PP1/5Q2/1R1R2K1 w - - 8 39,32,0,near_equal,1.0,1291,-143,1596,6,0,-30,-281,0,0,0,0
2r3k1/p4ppp/4p3/P1rqb3/R7/2P1P2P/1BQ2PP1/2R3K1 w - - 3 29,32,0,near_equal,1.0,564,22,-773,1060,0,0,277,0,0,0,0
r1b1kb1r/pp3p2/3ppnpp/2p5/1q1nP3/P1NP1NP1/1PPQ1PBP/R1B1R1K1 b kq - 0 11,0,0,near_equal,0.0,3,98,25,0,0,75,-97,0,0,0,0
1r5r/5kp1/1p1bpn1p/pP1p1p2/3P3P/1P2N1P1/4PPB1/R4K1R b - - 0 27,64,0,black_winning,0.5,844,-168,756,0,0,0,88,0,0,0,0
1nr1kb1r/pp1b1ppp/3p4/q2n4/3BN3/P1NQ4/1P2PPPP/2KR1B1R b k - 2 15,0,0,near_equal,1.0,-316,48,9,0,0,75,-400,0,0,0,0
6bk/7p/1p5P/p3r3/PR3p2/5B2/6N1/5K2 b - - 0 62,90,1,near_equal,0.0,2356,-42,-844,3175,-825,0,0,0,0,0,850
2rqk1nr/1p3ppp/3p4/1N2p3/1PPpP3/2P5/5PPP/1R1QK2R w Kk - 1 17,32,0,near_equal,1.0,226,118,116,45,0,0,65,0,0,0,0
r2q1rk1/1p4p1/3n2Qp/p1p3P1/2P4P/PPp2P2/7N/R1K1R3 b - - 3 26,32,0,black_winning,0.5,-1311,-156,391,0,-500,-998,-204,0,0,0,0
r1r3k1/4n1b1/pp1q2p1/P1pPp2p/2Q1Pp2/2N2P2/1P3BPP/3R1RK1 w - - 1 25,21,0,white_winning,0.5,-913,199,-1063,0,500,0,-350,0,0,0,0
r3k2r/1pp2pp1/2n1b2p/p2P4/2P5/P2BRN2/5PPP/R5K1 b kq - 0 18,64,0,white_winning,1.0,-525,316,-182,0,0,-43,-300,0,0,0,0
r3k2r/5p2/4p3/pP1pP1pp/Q1p1P3/4q3/P5PP/B1RR3K b - - 1 28,37,0,white_winning,1.0,-1197,317,-2114,1000,-280,497,-300,0,0,0,0
2r1kbnr/pp3ppp/q1n1p3/2ppP3/P2P2Q1/2P1B2P/1P2NPP1/RN2K2R b KQk - 6 11,10,0,near_equal,1.0,-437,-14,-37,0,0,0,-400,0,0,0,0
4k1n1/4b3/8/2qQPprp/1p3N2/3R3P/1P1N1PP1/6K1 w - - 0 32,42,0,white_winning,1.0,-5506,520,-3900,0,160,-638,-300,0,0,-200,-628
r3k2r/3n3p/p2qNbp1/1PpP4/4BP2/2P4N/1P4RP/R2Q1K2 b kq - 0 21,16,0,white_winning,1.0,-6766,641,-6524,1000,517,-254,-400,0,0,-200,-905
8/2r1k3/1R2p1pb/7p/p1Nr3P/1P1p1R2/P4PP1/3K4 w - - 0 38,74,1,near_equal,0.0,1737,0,2189,135,-700,0,0,0,0,0,113
4kbnr/p5p1/2p1N3/3pPp1p/qn1P4/1R2B2P/1P3PP1/1N1Q2K1 b k - 0 22,32,0,white_winning,1.0,-1447,325,-1654,0,650,-143,-300,0,0,0,0
1k1r3r/pp2n1b1/4b1pp/1NP1np1P/3p4/B2P2P1/3N1PB1/2R1K2R w K - 1 26,42,0,near_equal,0.5,3053,-42,1327,1034,0,3,252,0,0,0,437
3r1k1r/pp1bq1p1/2p2p2/P3p2p/R3P1nP/1PN2NP1/2P1QPB1/4K3 w - - 2 25,26,0,black_winning,0.0,2690,-233,2616,0,0,-75,-33,0,0,-200,382
2r1kb1r/pp2pppp/2npbn2/q7/P3P3/2NBBN1P/1P3PP1/R2Q1RK1 w k - 7 11,0,0,near_equal,1.0,712,82,910,0,0,75,-273,0,0,0,0
7r/pN2kp2/R3p1p1/1R2P2p/4n3/P1r1bBP1/8/4K3 b - - 0 34,64,0,black_winning,0.0,5625,-366,2825,1078,0,740,-181,-726,1053,0,836
r7/p2pkq1r/1p2pnQ1/4P1B1/2PpP3/1PN3P1/P6P/R3K2b w Q - 0 20,32,0,white_winning,0.5,10354,170,2133,6750,-500,-139,-300,0,0,0,2410
r3k2r/pp2bppp/n1pp1n2/q7/2PPp1b1/1PN1P1N1/PB1Q1PPP/R3KB1R w KQkq - 6 10,0,0,near_equal,1.0,-441,122,653,-1060,0,0,-34,0,0,0,0
8/8/8/2p1kp2/p1rp2p1/4p1R1/1B6/3K4 b - - 5 63,101,1,black_winning,0.0,10104,-442,8916,0,-2427,0,0,0,0,0,1108
r3k2r/ppp1n1bp/1n1q1pp1/3P1b2/2PN4/2B3P1/PP2QPBP/RN2K2R b KQkq - 0 12,0,0,white_winning,0.5,-1412,291,-875,0,0,-137,-400,0,0,0,0
rnb2rk1/1pp4p/3p1n2/p7/2PNp3/5P2/PP1B2PP/R3KB1R b KQ - 2 13,53,0,near_equal,1.0,-185,21,-120,0,0,-75,110,0,0,-100,0
4n1k1/2r2pp1/1pP4p/p1rB4/8/4P2P/P4PP1/2RR2K1 b - - 1 28,74,1,white_winning,1.0,-2072,179,-2441,0,750,0,0,0,0,0,-381
1r4k1/4n1pp/Qn1Rp3/2p1Pq2/4N3/2N3P1/PPP2r1P/2K4R b - - 2 18,21,0,white_winning,0.0,-5691,209,-2235,-2190,0,0,-302,0,0,0,-964
2r1r1k1/ppnb1pb1/1q1p1npp/2pPp3/2P1P1P1/P1NBB2P/1PQN1P2/1K1R2R1 w - - 0 19,0,0,white_winning,0.0,-386,188,14,0,0,0,-400,0,0,0,0
1r2k3/1q1n1p2/p2p2p1/4pb2/B1P5/P1P2N1r/4PQ1P/3R1RK1 b - - 1 25,21,0,near_equal,1.0,-100,-121,464,-1030,0,133,333,0,0,0,0
r4k1r/1p3pp1/p1nbb2p/2pp3P/1P5R/2P1NNn1/1P2PPB1/R1B1K3 b Q - 0 19,42,0,near_equal,1.0,211,-71,1292,-1250,0,-75,244,0,0,0,0
2r5/5pk1/p6p/P4p2/1R2pP1P/4P1P1/R1p2K2/8 w - - 0 44,96,1,near_equal,0.5,-5414,-80,-3413,0,0,0,0,0,0,0,-1481
r5k1/1pq1r3/p3b3/4pp1p/P7/1PPQ1R2/R5BP/6K1 w - - 1 41,32,0,near_equal,0.0,2701,-110,988,1030,-660,624,218,0,0,0,501
2k2r1r/pp1bb1pp/2pp4/8/2PP1P2/1PNn1BPP/P4P2/R1B2K1R b - - 0 22,53,0,white_winning,1.0,-2697,207,-2057,200,0,0,-297,0,0,0,-543
1r4k1/p4ppp/Prp1q3/R2nP1b1/2QP4/1p4P1/1P2N1NP/5R1K w - - 2 33,21,0,near_equal,1.0,689,-47,1239,0,0,0,-350,0,0,-200,0
8/8/4pk2/2r2p2/1RPR3P/2r5/8/5K2 b - - 0 67,85,1,near_equal,0.0,1604,-145,1439,0,165,0,0,0,0,0,0
r3k2r/1p1np1bp/p1n1p1p1/2qp4/5B2/P1N3QP/1PP1PPP1/R2K1B1R w kq - 0 13,10,0,black_winning,0.0,225,-171,-380,0,0,305,400,0,0,-100,0
3q1rk1/1p4pp/p1p5/2p1p2P/2P5/PNQ1Br1P/R4P2/5K1R w - - 0 23,32,0,white_winning,1.0,-6935,226,-3631,-2099,0,50,300,0,0,0,-1555
2k5/R7/4PK2/5P2/8/8/8/4r3 w - - 5 67,106,1,white_winning,1.0,-8526,566,-4488,0,-780,0,0,0,0,0,-1052
1r2k2r/pq1n1pb1/3pp1p1/1B3bN1/2P3p1/P1N1Q3/1P2PP1P/2R2RK1 b k - 6 19,10,0,black_winning,1.0,1133,-152,461,0,0,172,400,0,0,100,0
r3k2r/5p2/1q2p3/pPppP1pp/Q2Bn3/4PP2/P5PP/2RR2K1 w - - 1 26,32,0,white_winning,1.0,-2804,257,-114,-2250,265,172,-300,0,0,0,-577
r3k2r/pp2ppbp/2npbnp1/q1p5/2P3P1/2NPBN1P/PP2PPB1/1R1QK2R b Kkq - 2 10,0,0,near_equal,1.0,347,15,337,0,0,0,10,0,0,0,0
4kb1r/pp3ppp/4b3/2rp4/4P2P/P1B5/1P3PP1/2KR1B1R w k - 0 22,64,0,near_equal,1.0,-172,99,-106,-118,0,103,-51,0,0,0,0
3r2k1/4b3/2n1Pp2/pqp2P1p/1p1pQ1pP/3P4/BnPN3B/6RK w - - 4 35,32,0,white_winning,1.0,240,153,2040,0,-316,-1474,90,0,0,-100,0
4k1r1/pb2np1p/q3pp2/1p1p4/3P3P/1P4P1/3NPPB1/2Q1K2R w K - 1 20,42,0,near_equal,0.5,998,-42,786,0,0,0,212,0,0,0,0
r1b2rk1/4qppp/p1pb1n2/4p3/Np1PP3/1B3N2/PPP3PP/R2Q1RK1 w - - 0 14,10,0,near_equal,0.5,768,9,223,845,0,0,-400,0,0,100,0
3r4/8/5k1p/6p1/2BpKn1P/8/4P3/8 w - - 0 38,106,1,black_winning,0.0,11077,-561,7223,0,0,0,0,0,0,0,2494
3k4/8/3p3r/8/P6P/1R4P1/5PK1/8 w - - 0 53,106,1,white_winning,1.0,-6787,560,-5039,0,375,0,0,0,0,0,-1428
r3k2r/ppp1npbp/1n1q2p1/3Ppb2/2P5/2BP1NP1/PP2QPBP/RN2K2R b KQkq - 4 10,0,0,white_winning,0.5,-2534,188,-707,-1045,0,0,-400,0,0,0,-382
r4rk1/6p1/p2qpn1p/1p2N3/1n1P3P/2Np3R/PP1Q4/1K1R4 w - - 2 26,21,0,near_equal,0.5,2086,-97,2753,-798,-500,0,350,0,0,0,281
1r4k1/6pp/Qn1Rp3/2pnPq2/8/2N3P1/PPP2N1P/2K4R b - - 0 19,32,0,white_winning,0.0,-5087,252,-7596,3250,0,57,111,0,0,0,-909
