fen,phase_score,is_endgame,status,result_white,our_total,sf_static_cp,pieces,capture_gains,passed_pawn_support,latent_threat,central,imbalance_white,imbalance_black,pair_bonus,piece_value_boost
1R6/2p1k3/p1r5/4p2r/2P3p1/4Bb2/P4P2/5KR1 w - - 0 39,74,1,black_winning,0.5,3989,-282,1390,1135,0,0,0,0,0,0,724
8/8/5R1p/6p1/4p1P1/3p2kP/2r5/5K2 w - - 1 50,106,1,black_winning,0.0,7972,-505,4688,0,140,0,0,0,0,0,1004
3r4/p1k1n3/r1p3p1/2R1Np1p/3N4/1P2P3/P2K1PPP/7R w - - 5 24,69,1,white_winning,1.0,-6522,498,-5767,1045,0,0,0,0,0,-200,-705
rnb1kb1r/p3pp1p/5np1/1qpP4/1P6/4PB2/P4PPP/RNBQK1NR w KQkq - 1 10,0,0,white_winning,0.0,-1816,167,-1226,0,0,0,-400,0,0,0,-190
3nr1k1/2B1b3/4Pp1Q/1q3P1p/ppppB1pP/3P4/3N4/6RK b - - 0 40,37,0,white_winning,1.0,-2324,322,284,-45,-546,-1442,-152,0,0,-300,-123
2k5/7R/3p4/1p1P2p1/p3P1K1/P7/1r3P2/8 w - - 0 53,106,1,near_equal,0.5,-539,18,-449,-90,0,0,0,0,0,0,0
8/7k/2R3p1/2pr2P1/2NbN3/1p6/1P2K3/8 b - - 2 74,90,1,white_winning,1.0,-4454,333,-2466,0,0,0,0,0,0,-200,-803
r1bk1r1b/pp1p3p/2nN3n/2pQq1pN/2P1p3/4P1P1/PP2BP1P/R1B2RK1 w - - 6 17,0,0,white_winning,1.0,-1124,192,-425,-1060,0,-39,400,0,0,0,0
r1b1kb1r/1p6/p3pq2/4np1p/P2p2p1/6P1/1PP1QPBP/R1BNR1K1 b kq - 5 23,10,0,near_equal,0.0,1478,-87,898,0,0,180,400,0,0,0,0
7r/3R1p2/4pk2/8/7P/6P1/2BpK3/8 w - - 5 52,101,1,white_winning,1.0,-8250,349,-2534,-2372,-315,0,0,0,0,0,-2147
